1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,14,23,465,-15,0,46,0,24,0,-113,135,304,1,130,13,-14,0,0,-14,467,465,0,0,476,364,112,1,10,-5,-17,0,0,-17,2,0,2,0,0,0,-7
1962:Q4,18,23,1186,-20,0,950,0,830,0,98,22,259,0,-3,14,-14,0,0,-14,1195,1184,0,0,1215,1741,-526,-8,0,-5,-18,0,0,-18,11,0,11,0,0,0,4
1963:Q1,21,25,-1196,4,0,-1041,0,-928,0,113,-226,81,1,-240,14,-15,0,0,-15,-1197,-1200,0,0,-1197,-597,-600,0,5,12,-20,0,0,-20,3,0,3,0,0,0,-6
1963:Q2,23,26,957,3,0,49,0,-85,0,7,127,778,1,127,14,-15,0,0,-15,949,950,0,0,949,393,556,0,0,0,1,0,0,1,-1,0,-1,0,0,0,-12
1963:Q3,27,28,658,16,0,230,0,431,0,-149,-52,470,0,-58,16,-16,0,0,-16,646,648,0,0,642,728,-86,0,5,12,-11,0,0,-11,-2,0,-2,0,0,0,-13
1963:Q4,30,29,294,1,0,-281,0,-676,0,20,375,202,1,372,15,-16,0,0,-16,272,281,0,0,279,431,-152,3,0,5,-6,0,0,-6,-9,0,-9,0,0,0,-21
1964:Q1,30,35,-914,22,0,-442,0,-149,0,6,-299,-169,1,-325,16,-17,0,0,-17,-929,-927,0,0,-899,-1892,993,0,10,-1,-37,0,0,-37,-2,0,-2,0,0,0,-20
1964:Q2,30,36,1017,-5,0,778,0,452,0,76,250,1,0,243,17,-17,0,0,-17,1006,1004,0,0,1015,2239,-1224,0,0,-6,-5,0,0,-5,2,0,2,0,0,0,-17
1964:Q3,31,37,-159,-5,0,307,0,514,0,77,-284,-163,1,-298,17,-18,0,0,-18,-170,-172,0,0,-168,-972,804,0,10,8,-22,0,0,-22,2,0,2,0,0,0,-18
1964:Q4,32,38,705,-3,0,110,0,-161,0,20,251,-154,1,752,18,-19,0,0,-19,692,690,0,0,190,940,-750,4,0,2,494,0,0,494,2,0,2,0,0,0,-19
1965:Q1,34,45,-821,6,0,-570,0,-419,0,57,-208,-38,0,-219,19,-19,0,0,-19,-837,-838,0,0,-835,-902,67,1,10,7,-21,0,0,-21,1,0,1,0,0,0,-27
1965:Q2,37,47,1476,11,0,1028,0,555,0,85,388,20,1,417,19,-20,0,0,-20,1448,1455,0,0,1431,1353,78,-2,0,-3,29,0,0,29,-7,0,-7,0,0,0,-38
1965:Q3,42,49,-2077,11,0,-1411,0,-915,0,-81,-415,-172,1,-505,20,-21,0,0,-21,-2110,-2102,0,0,-2032,-2162,130,-2,10,18,-96,0,0,-96,-8,0,-8,0,0,0,-40
1965:Q4,50,52,1820,2,0,728,0,487,0,-301,542,566,-2,524,23,-21,0,0,-21,1768,1789,0,0,1796,1558,238,0,0,11,-18,0,0,-18,-21,0,-21,0,0,0,-55
1966:Q1,48,43,-1196,19,0,-844,0,-173,0,-120,-551,151,1,-522,21,-22,0,0,-22,-1227,-1221,0,0,-1258,-924,-334,-1,10,8,20,0,0,20,-6,0,-6,0,0,0,-26
1966:Q2,50,44,1414,16,0,698,0,-91,0,285,504,166,1,534,22,-23,0,0,-23,1397,1391,0,0,1376,1037,339,1,10,-17,21,0,0,21,6,0,6,0,0,0,-12
1966:Q3,51,46,-1461,18,0,-708,0,75,0,-294,-489,-398,0,-373,24,-24,0,0,-24,-1478,-1484,0,0,-1608,-1860,252,1,10,8,105,0,0,105,6,0,6,0,0,0,-11
1966:Q4,54,47,2321,20,0,1640,0,849,0,141,650,45,2,616,22,-24,0,0,-24,2325,2296,0,0,2329,2341,-12,-7,10,3,-39,0,0,-39,29,0,29,0,0,0,11
1967:Q1,53,52,-12,62,0,144,0,398,0,318,-572,529,1,-747,7,-8,0,0,-8,-38,-41,0,0,91,-736,827,0,10,38,-180,0,0,-180,3,0,3,0,0,0,-25
1967:Q2,72,52,56,66,0,-1039,0,-1430,0,-145,536,504,0,525,9,-9,0,0,-9,0,3,0,0,38,-499,537,-1,10,-24,-20,0,0,-20,-3,0,-3,0,0,0,-37
1967:Q3,83,52,1372,38,0,292,0,275,0,-169,186,939,0,103,8,-8,0,0,-8,1299,1303,0,0,1352,1075,277,0,10,36,-95,0,0,-95,-4,0,-4,0,0,0,-42
1967:Q4,82,54,1768,40,0,256,0,-2,0,37,221,1242,0,230,9,-9,0,0,-9,1688,1699,0,0,1688,1105,583,1,10,6,-6,0,0,-6,-11,0,-11,0,0,0,-52
1968:Q1,82,73,-1005,134,0,-379,0,-15,0,-52,-312,-571,0,-189,9,-9,0,0,-9,-1061,-1058,0,0,-1226,-636,-590,0,10,50,108,0,0,108,-3,0,-3,0,0,0,-47
1968:Q2,105,73,1323,150,0,-204,0,-63,0,215,-356,1921,0,-544,8,-8,0,0,-8,1252,1250,0,0,1443,-710,2153,0,20,-7,-206,0,0,-206,2,0,2,0,0,0,-40
1968:Q3,102,75,2520,124,0,1906,0,1638,0,-6,274,245,1,245,8,-9,0,0,-9,2455,2447,0,0,2441,1010,1431,2,20,31,-47,0,0,-47,8,0,8,0,0,0,-38
1968:Q4,96,79,831,67,0,-677,0,-777,0,-115,215,1246,-1,195,10,-9,0,0,-9,749,751,0,0,796,1071,-275,-1,10,-26,-28,0,0,-28,-2,0,-2,0,0,0,-65
1969:Q1,88,88,-3836,22,0,-1711,0,-1033,0,-203,-475,-1734,0,-413,10,-10,0,0,-10,-3889,-3890,0,0,-3966,-571,-3395,0,10,10,56,0,0,56,1,0,1,0,0,0,-53
1969:Q2,59,92,1267,-17,0,1028,0,387,0,-9,650,-430,1,686,8,-9,0,0,-9,1248,1245,0,0,1276,-512,1788,1,20,-65,13,0,0,13,3,0,3,0,0,0,-52
1969:Q3,6,97,-2866,-43,0,-764,0,-254,0,14,-524,-1625,0,-434,9,-9,0,0,-9,-2832,-2835,0,0,-2946,112,-3058,0,20,19,72,0,0,72,3,0,3,0,0,0,-57
1969:Q4,-36,100,2518,-41,0,1583,0,862,0,11,710,260,0,716,10,-10,0,0,-10,2616,2596,0,0,2610,172,2438,-14,20,-16,-4,0,0,-4,20,0,20,0,0,0,-38
1970:Q1,-46,117,-2274,-64,0,-234,0,427,0,196,-857,-1178,0,-798,9,-9,0,0,-9,-2211,-2211,0,0,-2241,-1072,-1169,0,10,-28,48,0,0,48,0,0,0,0,0,0,-100
1970:Q2,-21,120,-1123,-97,0,-1085,0,-1535,0,-167,617,-766,0,825,10,-10,0,0,-10,-1082,-1080,0,0,-1276,-1148,-128,0,10,-11,197,0,0,197,-2,0,-2,0,0,0,-100
