1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057,0,0,0,0,0,0,0,0,0,0,2057,2057,0
1954:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,0,0,0,0,0,0,0,0,0,0,2382,2382,0
1954:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741,0,0,0,0,0,0,0,0,0,0,2741,2741,0
1955:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2790,0,0,0,0,0,0,0,0,0,0,2790,2790,0
1955:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737,0,0,0,0,0,0,0,0,0,0,2737,2737,0
1955:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828,0,0,0,0,0,0,0,0,0,0,2828,2828,0
1955:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924,0,0,0,0,0,0,0,0,0,0,2924,2924,0
1956:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2797,0,0,0,0,0,0,0,0,0,0,2797,2797,0
1956:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2860,0,0,0,0,0,0,0,0,0,0,2860,2860,0
1956:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,0,0,0,0,0,0,0,0,2999,2999,0
1956:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013,0,0,0,0,0,0,0,0,0,0,3013,3013,0
1957:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2940,0,0,0,0,0,0,0,0,0,0,2940,2940,0
1957:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2643,0,0,0,0,0,0,0,0,0,0,2643,2643,0
1957:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2824,0,0,0,0,0,0,0,0,0,0,2824,2824,0
1957:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898,0,0,0,0,0,0,0,0,0,0,2898,2898,0
1958:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835,0,0,0,0,0,0,0,0,0,0,2835,2835,0
1958:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4856,0,0,0,0,0,0,0,0,0,0,4856,4856,0
1958:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5052,0,0,0,0,0,0,0,0,0,0,5052,5052,0
1958:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4953,0,0,0,0,0,0,0,0,0,0,4953,4953,0
1959:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330,0,0,0,0,0,0,0,0,0,0,5330,5330,0
1959:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5617,0,0,0,0,0,0,0,0,0,0,5617,5617,0
1959:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6223,0,0,0,0,0,0,0,0,0,0,6223,6223,0
1959:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6438,0,0,0,0,0,0,0,0,0,0,6438,6438,0
1960:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6079,0,0,0,0,0,0,0,0,0,0,6079,6079,0
1960:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6135,0,0,0,0,0,0,0,0,0,0,6135,6135,0
1960:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795,0,0,0,0,0,0,0,0,0,0,5795,5795,0
1960:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7022,0,0,0,0,0,0,0,0,0,0,7022,7022,0
1961:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6796,0,0,0,0,0,0,0,0,0,0,6796,6796,0
1961:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6727,0,0,0,0,0,0,0,0,0,0,6727,6727,0
1961:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6798,0,0,0,0,0,0,0,0,0,0,6798,6798,0
1961:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8423,0,0,0,0,0,0,0,0,0,0,8423,8423,0
1962:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7832,0,0,0,0,0,0,0,0,0,0,7832,7832,0
1962:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6206,0,0,0,0,0,0,0,0,0,0,6206,6206,0
1962:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5731,0,0,0,0,0,0,0,0,0,0,5731,5731,0
1962:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8041,0,0,0,0,0,0,0,0,0,0,8041,8041,0
1963:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8548,0,0,0,0,0,0,0,0,0,0,8548,8548,0
1963:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9438,0,0,0,0,0,0,0,0,0,0,9438,9438,0
1963:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10281,0,0,0,0,0,0,0,0,0,0,10281,10281,0
1963:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9895,0,0,0,0,0,0,0,0,0,0,9895,9895,0
1964:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10914,0,0,0,0,0,0,0,0,0,0,10914,10914,0
1964:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11379,0,0,0,0,0,0,0,0,0,0,11379,11379,0
1964:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11599,0,0,0,0,0,0,0,0,0,0,11599,11599,0
1964:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11289,0,0,0,0,0,0,0,0,0,0,11289,11289,0
1965:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19546,0,0,0,0,0,0,0,0,0,0,19546,19546,0
1965:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18328,0,0,0,0,0,0,0,0,0,0,18328,18328,0
1965:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19950,0,0,0,0,0,0,0,0,0,0,19950,19950,0
1965:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19840,0,0,0,0,0,0,0,0,0,0,19840,19840,0
1966:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18350,0,0,0,0,0,0,0,0,0,0,18350,18350,0
1966:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18206,0,0,0,0,0,0,0,0,0,0,18206,18206,0
1966:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15681,0,0,0,0,0,0,0,0,0,0,15681,15681,0
1966:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19948,0,0,0,0,0,0,0,0,0,0,19948,19948,0
1967:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20383,0,0,0,0,0,0,0,0,0,0,20383,20383,0
1967:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18984,0,0,0,0,0,0,0,0,0,0,18984,18984,0
1967:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20901,0,0,0,0,0,0,0,0,0,0,20901,20901,0
1967:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19714,0,0,0,0,0,0,0,0,0,0,19714,19714,0
