1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,3554,235,1928,611,745,543,0,202,0,35,0,35,0,3554,0,3529,25,0,0
1959:Q3,1909,304,543,293,688,506,0,182,0,81,20,61,0,1909,0,1862,47,0,0
1959:Q4,3950,104,1425,64,2228,284,0,1944,0,129,70,59,0,3950,0,3950,0,0,0
1960:Q1,-854,-516,538,121,-908,-67,0,-841,0,-89,-28,-61,0,-854,0,-838,-16,0,0
1960:Q2,2469,664,879,386,569,58,0,511,0,-29,-60,31,0,2469,0,2402,67,0,0
1960:Q3,-534,-46,-314,32,-215,-580,0,365,0,9,-12,21,0,-534,0,-621,87,0,0
1960:Q4,1985,596,1109,-24,89,35,0,54,0,215,73,142,0,1985,0,1949,36,0,0
1961:Q1,-1901,-327,-11,113,-1641,-1446,0,-195,0,-35,-12,-23,0,-1901,0,-2291,390,0,0
1961:Q2,1142,1062,-298,243,-1,-98,0,97,0,136,-10,146,0,1142,0,990,152,0,0
1961:Q3,867,-132,-210,181,999,300,0,699,0,29,-46,75,0,867,0,1009,-142,0,0
1961:Q4,4098,267,1453,64,1962,901,0,1061,0,352,195,157,0,4098,0,4174,-76,0,0
1962:Q1,-1365,210,-498,158,-1474,-1118,0,-356,0,239,132,107,0,-1365,0,-1242,-123,0,0
1962:Q2,1742,-118,1384,530,-60,755,0,-815,0,6,80,-74,0,1742,0,1908,-166,0,0
1962:Q3,1456,175,571,185,506,142,0,364,0,19,-37,56,0,1456,0,1349,107,0,0
1962:Q4,5143,191,2184,241,2611,870,0,1741,0,-84,-130,46,0,5143,0,5130,13,0,0
1963:Q1,-2169,-290,-493,66,-1357,-760,0,-597,0,-95,-119,24,0,-2169,0,-2325,156,0,0
1963:Q2,3315,596,1033,582,984,591,0,393,0,120,-34,154,0,3315,0,3169,146,0,0
1963:Q3,1427,-383,231,129,1315,587,0,728,0,135,36,99,0,1427,0,1226,201,0,0
1963:Q4,5173,421,2653,380,1442,1011,0,431,0,277,-5,282,0,5173,0,5229,-56,0,0
1964:Q1,-3574,-233,-587,180,-3112,-1220,0,-1892,0,178,-24,202,0,-3574,0,-3602,28,0,0
1964:Q2,6520,805,1652,482,3447,1208,0,2239,0,134,-72,206,0,6520,0,6467,53,0,0
1964:Q3,-1110,-503,607,136,-1564,-592,0,-972,0,214,-2,216,0,-1110,0,-1175,65,0,0
1964:Q4,6324,1271,3146,-51,1504,564,0,940,0,454,110,344,0,6324,0,6457,-133,0,0
1965:Q1,1080,-825,2197,491,-1409,-507,0,-902,0,626,135,491,0,1080,0,1012,68,0,0
1965:Q2,6605,-17,3006,631,3198,1845,0,1353,0,-213,-40,-173,0,6605,0,6682,-77,0,0
1965:Q3,-591,-363,1193,202,-1655,507,0,-2162,0,32,39,-7,0,-591,0,-726,135,0,0
1965:Q4,8529,778,4481,245,3031,1473,0,1558,0,-6,-9,3,0,8529,0,8824,-295,0,0
1966:Q1,-1399,-1161,978,622,-1735,-811,0,-924,0,-103,-110,7,0,-1399,0,-1461,62,0,0
1966:Q2,9403,1746,4464,954,2237,1200,0,1037,0,2,33,-31,0,9403,0,9427,-24,0,0
1966:Q3,-2847,-585,1176,28,-3370,-1510,0,-1860,0,-96,-30,-66,0,-2847,0,-2997,150,0,0
1966:Q4,6119,671,1956,646,2830,489,0,2341,0,16,3,13,0,6119,0,5902,217,0,0
1967:Q1,-2841,-890,436,199,-2525,-1789,0,-736,0,-61,-72,11,0,-2841,0,-2924,83,0,0
1967:Q2,4807,557,3164,745,527,1026,0,-499,0,-186,3,-189,0,4807,0,4830,-23,0,0
1967:Q3,-1227,-1513,-811,-41,997,-78,0,1075,0,141,79,62,0,-1227,0,-1306,79,0,0
1967:Q4,15831,9872,3766,457,1584,479,0,1105,0,152,5,147,0,15831,0,15845,-14,0,0
1968:Q1,-11209,-8428,-206,238,-2634,-2005,7,-636,0,-179,-48,-131,0,-11209,0,-11361,152,0,0
1968:Q2,6725,1300,3837,864,868,1571,7,-710,0,-144,-71,-73,0,6725,0,6624,101,0,0
1968:Q3,286,-852,667,-50,630,-389,9,1010,0,-109,-38,-71,0,286,0,162,124,0,0
1968:Q4,10851,1384,6065,411,3018,1930,17,1071,0,-27,-44,17,0,10851,0,10882,-31,0,0
1969:Q1,-1585,-1942,1227,869,-1583,-1016,4,-571,0,-156,-14,-142,0,-1585,0,-1832,247,0,0
1969:Q2,8221,1026,4573,1030,1712,2218,6,-512,0,-120,9,-129,0,8221,0,8029,192,0,0
1969:Q3,-2845,-849,-517,591,-1802,-1918,4,112,0,-268,-72,-196,0,-2845,0,-3209,364,0,0
1969:Q4,8865,1985,4635,257,1899,1714,13,172,0,89,68,21,0,8865,0,8553,312,0,0
1970:Q1,-6887,-2358,-2283,-39,-2227,-1143,-12,-1072,0,20,48,-28,0,-6887,0,-7728,841,0,0
1970:Q2,5968,552,3411,616,1380,2520,8,-1148,0,9,-9,18,0,5968,0,5999,-31,0,0
1970:Q3,2719,-118,1796,71,1132,-16,0,1148,0,-162,-158,-4,0,2719,0,1694,1025,0,0
1970:Q4,6755,1860,3191,-235,1947,799,9,1139,0,-8,-23,15,0,6755,0,6356,399,0,0
1971:Q1,-3976,-2339,-1773,549,-542,-221,18,-339,0,129,-22,151,0,-3976,0,-3787,-189,0,0
1971:Q2,7084,1725,3038,945,1206,1550,9,-353,0,170,21,149,0,7084,0,7193,-109,0,0
1971:Q3,457,-839,1941,107,-1100,-1967,14,853,0,348,80,268,0,457,0,109,348,0,0
1971:Q4,6927,1521,1813,574,2540,1587,1,952,0,479,104,375,0,6927,0,6512,415,0,0
1972:Q1,924,-1693,1014,425,857,-24,33,848,0,321,5,316,0,924,0,484,440,0,0
1972:Q2,9746,1728,4486,1363,1717,914,8,795,0,452,73,379,0,9746,0,9740,6,0,0
1972:Q3,3325,-1205,1771,-85,2302,701,-4,1605,0,542,55,487,0,3325,0,2605,720,0,0
1972:Q4,15457,1858,6655,1053,5264,3364,57,1843,0,627,63,564,0,15457,0,15860,-403,0,0
1973:Q1,10974,1446,10374,1572,-2685,-475,73,-2283,0,267,22,245,0,10974,0,10644,330,0,0
1973:Q2,12938,372,9196,2122,578,2459,69,-1950,0,670,159,511,0,12938,0,12568,370,0,0
