1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019:Q1,126567849,38561661,88006188,12685556,8678985,4172873,4506112,427585,1443274,28937,54325,2551991,1226468,31207278,19278751,11928527,1411449,3985423,316209,129553,6085893,34207901,16010959,110556890,6.857179737988255,9.861789387493548,24.656560069326417,35.46032213166365
2019:Q2,129031250,39157503,89873747,12536662,9156926,4423364,4733562,439774,1507801,30726,55512,2699749,1238861,32133154,19785367,12347787,1442461,4109997,326260,130337,6338732,34808144,16216347,112814903,7.096672985804448,10.188654821715042,24.903389092251963,35.753660322148384
2019:Q3,129939167,39487470,90451697,12790707,9345115,4439481,4905634,452230,1568977,32323,56942,2795162,1272851,31952746,19741189,12211557,1425958,4097816,324573,127041,6236169,35090278,16418365,113520802,7.191915287648347,10.331608067396827,24.590542802079348,35.32575680249759
2019:Q4,133538695,39872299,93666396,13358390,9347493,4310786,5036707,457353,1602440,33164,58257,2885493,1264821,34378752,21176746,13202006,1517723,4427428,355325,136581,6764949,35316940,16612942,116925753,6.9998381452029035,9.979558209525683,25.744412000139334,36.70339982096183
2020:Q1,127459712,40626831,86832881,14263546,8947994,4263875,4684119,417292,1555561,32275,52149,2626842,1404589,26511255,16344615,10166640,1183434,3476538,265247,102029,5139392,35705497,16675581,110784131,7.020253056447682,10.304845626127511,20.79971368325656,30.531355045208013
2020:Q2,135324478,41313031,94011447,15414766,8923040,3909613,5013427,442803,1658678,35190,55881,2820875,1392773,32309027,20006660,12302367,1405878,4211643,328866,123465,6232515,35971840,16681155,118643323,6.593811090987997,9.491440374436868,23.875227325699402,34.36711993428479
2020:Q3,140085749,42354498,97731251,15572729,9031328,3744007,5287321,462179,1735928,37207,57911,2994096,1348567,35190248,22063600,13126648,1481091,4515045,351207,128635,6650670,36588378,16938158,123147591,6.446999910764638,9.240982831479096,25.120505137546168,36.00715990495711
2020:Q4,148643969,43597055,105046914,16221799,9314156,3829036,5485120,477602,1794913,39116,59835,3113654,1376879,40917033,26055118,14861915,1663451,5123794,402772,144651,7527247,37217047,17205889,131438080,6.266084169438931,8.866663338811097,27.52687079442804,38.95119974537452
2021:Q1,153866415,45086703,108779712,17195256,8774518,3247065,5527453,472910,1792588,36579,57962,3167414,1379009,43705180,28167223,15537957,1690610,5344184,432703,145032,7925428,37725749,17378753,136487662,5.7026854058399365,8.066318094854493,28.404626427763535,40.17769451164463
2021:Q2,161229042,47777316,113451726,17284222,8998987,3305208,5693779,486170,1856707,36723,57202,3256977,1401599,47043258,30509330,16533928,1783325,5698919,470441,148110,8433133,38723659,18102847,143126194,5.5814927408227595,7.931996807894667,29.177905959848694,41.4654408204882
2021:Q3,164966863,50036217,114930646,17429337,9182094,3389605,5792489,485004,1889118,36190,55795,3326382,1447561,47126492,30839080,16287412,1721501,5608416,464566,140107,8352822,39745162,18456568,146510295,5.566023524403819,7.989248050897547,28.56724741346181,41.0042869414487
2021:Q4,169151953,51205652,117946301,18062468,8945810,3049464,5896346,484457,1913747,36989,54427,3406726,1467251,49065428,31684692,17380736,1785250,5974276,504229,143366,8973615,40405345,18851462,150300491,5.2886236935907975,7.584646727744408,29.00671652331611,41.59980182137004
2022:Q1,171392769,55105019,116287750,18303297,8642233,3102975,5539258,450754,1813631,34174,51270,3189429,1573265,47013970,30981104,16032866,1644094,5571234,466693,132116,8218729,40754985,19049801,152342968,5.042355843081607,7.431765852329554,27.43054439576378,40.42899578992441
2022:Q2,166194569,57581170,108613399,18244585,8324393,3246491,5077902,409540,1713049,30860,46064,2878389,1534751,39257099,26006598,13250501,1379156,4640215,393280,107704,6730146,41252571,19405927,146788642,5.008823725636112,7.664241317688375,23.621168257138656,36.14388200603718
2022:Q3,163305322,56506363,106798959,18147394,8572654,3746540,4826114,387643,1658694,28784,43187,2707806,1474327,37487952,25122685,12365267,1298844,4361955,369781,99446,6235241,41116632,19733188,143572134,5.249464070348486,8.026908013933147,22.955744306486302,35.10142092034602
2022:Q4,164632584,55634386,108998198,17945884,9298429,4435893,4862536,388401,1707874,29938,42707,2693616,1416998,39736055,26474632,13261423,1399894,4684961,402903,105721,6667944,40600831,19950719,144681865,5.6479881747206395,8.53080973540316,24.136203279774595,36.455699187959986
2023:Q1,167886715,55644042,112242673,17886720,10118200,5100735,5017465,394002,1787634,31032,44152,2760645,1392767,42286062,28300909,13985153,1444794,4976661,432656,112254,7018788,40558924,19988792,147897922,6.026801899861647,9.014574822904413,25.18725923814792,37.673783999999586
2023:Q2,173346351,58066887,115279464,17864582,10322667,5231972,5090696,394652,1821582,31465,45099,2797898,1393529,44715422,29900108,14815314,1494416,5293088,468697,119911,7439202,40983264,20162068,153184283,5.954937770476524,8.954471997502903,25.795421418568313,38.788714115793844
2023:Q3,172120199,58503245,113616954,17865364,10300380,5330575,4969805,380032,1792723,30217,44007,2722826,1326561,43036010,28939066,14096943,1395129,5069679,457735,114109,7060291,41088640,20347227,151772973,5.984410739457713,9.065882601536652,25.00346260326758,37.87815817830657
2023:Q4,176246893,57908558,118338335,18141566,10920912,5728997,5191916,394451,1889227,32082,46057,2830099,1350567,47130397,31583801,15546596,1508323,5639949,516424,126217,7755683,40794893,20519739,155727154,6.196371557212396,9.228549941761166,26.74112198380462,39.826820817260646
2024:Q1,181428794,58912736,122516058,18330668,10971804,5676582,5295222,395539,1921185,32029,46908,2899561,1352659,50956499,34086614,16869885,1603166,6114930,567238,136667,8447884,40904427,20585061,160843732,6.047443871836695,8.955401172387626,28.086224886006615,41.59169007643802
