1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,60723,221,0,0,0,15845,0,5462,146,4251,5986,992,500,0,43165,43165,0,60728
1960:Q1,62603,223,0,0,0,16338,0,5663,159,4305,6211,1091,491,0,44460,44460,0,62608
1960:Q2,64484,229,0,0,0,16717,0,5724,171,4356,6466,1209,532,0,45797,45797,0,64489
1960:Q3,66365,236,0,0,0,16998,0,5653,184,4393,6768,1333,521,0,47277,47277,0,66370
1960:Q4,68245,243,0,0,0,17437,0,5711,196,4406,7124,1450,600,0,48515,48515,0,68250
1961:Q1,70220,251,0,0,0,17992,0,5855,214,4399,7524,1564,704,0,49709,49709,0,70224
1961:Q2,72194,260,0,0,0,18435,0,5872,233,4374,7956,1680,735,0,51084,51084,0,72198
1961:Q3,74168,269,0,0,0,18853,0,5865,252,4330,8406,1793,792,0,52461,52461,0,74172
1961:Q4,76141,277,0,0,0,19186,0,5800,271,4263,8852,1896,900,0,53882,53882,0,76146
1962:Q1,76076,285,0,0,0,19830,0,6025,325,4175,9305,1990,931,0,53040,53040,0,76081
1962:Q2,76011,294,0,0,0,20248,0,6075,343,4058,9772,2074,753,0,52642,52642,0,76016
1962:Q3,75947,302,0,0,0,20671,0,6125,380,3930,10236,2155,845,0,51974,51974,0,75952
1962:Q4,75883,307,0,0,0,20969,0,6100,395,3804,10670,2242,1000,0,51365,51365,0,75888
1963:Q1,77621,311,0,0,0,21386,0,6200,387,3682,11117,2331,1122,0,52471,52471,0,77625
1963:Q2,79358,313,0,0,0,22017,0,6475,381,3553,11608,2420,1249,0,53359,53359,0,79362
1963:Q3,81095,314,0,0,0,22492,0,6550,351,3426,12165,2512,1375,0,54402,54402,0,81099
1963:Q4,82831,313,0,0,0,22944,0,6510,347,3304,12783,2612,1500,0,55462,55462,0,82836
1964:Q1,84855,313,0,0,0,23660,0,6725,341,3194,13400,2716,1657,0,56509,56509,0,84860
1964:Q2,86878,313,0,0,0,24387,0,6975,375,3089,13948,2822,1782,0,57574,57574,0,86883
1964:Q3,88902,313,0,0,0,24881,0,7066,369,2991,14455,2937,1906,0,58865,58865,0,88907
1964:Q4,90925,311,0,0,0,25255,0,7030,381,2900,14944,3070,2000,0,60289,60289,0,90931
