1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q1,358113,11268,229719,35571,22235,46700,0,0,1120,11500,447082,0,366132,21559,7376,19667,10530,0,0,21818,-88969
1978:Q2,372828,11531,241512,36474,22851,47870,0,0,1140,11450,473762,0,389338,23113,7836,20539,10897,0,0,22039,-100934
1978:Q3,382675,11684,247814,37584,23953,49080,0,0,1160,11400,503576,0,415102,24594,8077,21163,11274,0,0,23366,-120901
1978:Q4,410681,11838,271823,38623,25524,50326,0,0,1190,11357,497772,0,407281,26018,8912,22572,11656,0,0,21333,-87091
1979:Q1,418010,12077,275152,40543,26361,51548,0,0,1240,11089,530927,0,438034,27421,9151,23021,12107,0,0,21193,-112917
1979:Q2,437138,12219,289137,42710,27378,52845,0,0,1270,11579,556968,0,459209,28676,9892,24027,12605,0,0,22559,-119830
1979:Q3,459238,12255,305384,44870,28676,54203,0,0,1300,12550,591590,0,490540,29563,10224,25158,13113,0,0,22992,-132352
1979:Q4,484469,12583,327378,46885,27767,55615,0,0,1340,12901,583836,0,479655,30154,11313,26463,13591,0,0,22660,-99367
1980:Q1,490422,12840,328407,48603,28609,57082,0,0,1400,13481,618670,0,511553,30642,12838,26878,14081,0,0,22678,-128248
1980:Q2,488391,13012,321601,50118,29247,58546,0,0,1500,14367,626689,0,510604,31168,13316,26900,14581,0,0,30120,-138298
1980:Q3,501625,13356,328719,51537,29832,60010,0,0,1600,16571,649744,0,530436,31791,14443,27613,15080,0,0,30381,-148119
1980:Q4,530817,13757,356520,52581,30033,61506,0,0,1700,14720,653199,0,529353,32492,15091,29217,15575,0,0,31471,-122382
1981:Q1,555608,13919,374568,54087,31462,63091,0,0,1800,16681,698042,0,572031,33031,15733,30482,16189,0,0,30576,-142434
1981:Q2,565398,14210,381680,56343,31484,64649,0,0,1900,15132,717303,0,588802,33808,16495,31017,16879,0,0,30302,-151905
1981:Q3,564396,14378,378052,57776,31209,66215,0,0,2000,14766,733681,0,603446,35180,17133,31069,17583,0,0,29270,-169285
1981:Q4,572317,14723,383423,58628,30572,67828,0,0,2100,15043,707942,0,574123,37028,17633,31551,18117,0,0,29490,-135625
1982:Q1,561256,14873,372047,59291,31624,69447,0,0,2200,11774,716262,0,580813,38721,18712,31190,18674,0,0,28152,-155006
1982:Q2,569858,15031,374910,61728,33484,71099,0,0,2300,11306,727303,0,587005,40591,19968,31687,19206,0,0,28846,-157445
1982:Q3,576498,15251,377195,63095,34969,72783,0,0,2450,10755,740562,0,598450,42703,19852,32091,19725,0,0,27741,-164064
1982:Q4,596243,15550,394163,63055,35325,74509,0,0,2600,11041,719775,0,569115,45009,22425,32899,20242,0,0,30085,-123532
1983:Q1,579606,16127,376759,61351,35546,76249,0,0,2692,10882,732169,0,581521,46965,23698,32231,20753,0,0,27001,-152563
1983:Q2,587455,16659,380096,62266,37472,77999,0,0,3221,9742,756751,0,602729,48878,24780,32688,21254,0,220,26202,-169296
1983:Q3,588668,17260,376903,62716,39169,79804,0,0,3083,9733,790005,0,630051,50683,25071,32866,21751,0,440,29143,-201337
1983:Q4,621134,17981,401994,62983,40336,81623,0,0,5086,11131,791414,0,626517,52404,26191,34398,22239,0,660,29005,-170280
1984:Q1,634335,18659,410679,62914,42926,83503,0,0,4027,11627,832860,0,662415,54394,27510,35090,22871,0,880,29700,-198525
1984:Q2,660440,19478,429080,64770,45535,85435,0,0,4133,12009,870911,0,693100,56277,29795,36415,23603,0,1100,30621,-210471
1984:Q3,665059,20214,428203,66508,47291,87428,0,0,4727,10688,898988,0,717799,57892,31057,36765,24321,0,1320,29834,-233929
1984:Q4,678668,21111,436676,67829,47479,89461,0,0,5465,10647,878542,0,694120,59293,31273,37508,25000,0,1540,29808,-199874
1985:Q1,679529,21729,433874,67916,50496,91551,0,0,4199,9764,912871,0,724675,60657,33352,37683,25644,0,1760,29100,-233342
1985:Q2,692399,22590,437622,69987,53373,93724,0,0,5280,9823,928057,0,736169,61926,35083,38424,26253,0,1980,28222,-235658
1985:Q3,696008,23655,434607,70920,56180,95945,0,0,5699,9002,942027,0,746326,62957,36123,38725,26759,0,2200,28937,-246019
1985:Q4,744747,24224,479653,66558,58119,98210,0,0,7998,9985,939013,0,739342,63798,34952,41283,27190,0,2420,30028,-194266
1986:Q1,698981,24941,444559,54197,60178,100548,0,0,6745,7813,928308,0,724905,69046,34455,39252,28457,0,2640,29553,-229327
1986:Q2,698401,25508,439233,50678,65151,102911,0,0,7294,7626,948500,0,739512,71303,35161,39528,29549,0,2860,30587,-250099
1986:Q3,713262,25881,445482,49627,71063,105315,0,0,7077,8817,972637,0,759201,73364,34213,40386,31005,0,3080,31388,-259375
1986:Q4,753988,26486,477971,51446,72737,107724,0,0,7632,9992,957963,0,741486,74822,32630,42216,32062,0,3300,31447,-203975
1987:Q1,767916,29297,477734,54924,75048,110188,0,0,8787,11938,996462,0,772240,75513,37905,42807,33097,0,3676,31224,-228546
1987:Q2,767224,29914,473369,53811,76347,112681,0,0,8424,12678,1015196,0,788985,75274,39389,43037,33842,0,4096,30573,-247972
1987:Q3,784144,30018,482992,54615,78794,115227,0,0,8892,13606,1041089,0,811164,75167,40469,43964,34607,0,4564,31154,-256945
1987:Q4,837422,43105,522356,56506,80214,117813,0,0,6828,10600,1092288,51818,805346,76252,40608,45983,35651,0,5084,31546,-254866
1988:Q1,852452,43741,524786,60292,82883,120427,0,0,8300,12023,1134691,52512,841376,78516,41759,46643,37137,0,5467,31281,-282239
1988:Q2,865347,44405,534527,57996,85428,123119,0,0,9413,10459,1177905,53230,877010,81939,41875,47514,39068,0,5879,31390,-312558
1988:Q3,868829,45069,531229,57922,86539,125840,0,0,9012,13218,1197563,53960,890081,85529,40550,47804,40996,0,6321,32322,-328734
1988:Q4,923243,45709,576096,63925,88180,128620,0,0,8548,12165,1213240,54690,895916,88294,40682,50757,42460,0,6797,33644,-289997
1989:Q1,937783,49781,577312,65171,90818,131467,0,0,8463,14771,1252772,56182,927042,90464,42390,51488,43489,0,7097,34620,-314989
1989:Q2,953242,53833,581921,64939,94295,134396,0,0,8532,15326,1288222,57698,955263,92268,43782,52449,44171,0,7397,35194,-334980
1989:Q3,959312,57881,577571,66361,95893,137363,0,0,8216,16027,1301158,59202,964676,93781,43963,52866,44701,0,7697,34272,-341846
1989:Q4,985412,61944,597901,66469,96799,140418,0,0,8005,13876,1282113,60666,937992,95080,43876,54242,45276,0,8722,36259,-296701
1990:Q1,974098,64759,588308,67828,94174,143577,0,0,6095,9357,1294771,62157,943706,96140,46080,53795,45835,0,10370,36688,-320673
1990:Q2,986245,67577,593497,67270,95581,146740,0,0,5866,9714,1336995,63600,979042,96941,47088,54533,46317,0,12329,37145,-350750
1990:Q3,1013352,70403,616321,65278,95060,149965,0,0,5720,10605,1380171,65041,1012945,97495,46090,55975,46769,0,14658,41198,-366819
1990:Q4,1031874,73241,626310,66417,91002,153326,0,0,6103,15475,1337586,66526,967178,97817,42141,56691,47238,0,17427,42568,-305712
1991:Q1,1000541,75492,587704,69889,88244,156685,0,0,5774,16753,1320225,67534,950905,97716,41281,55161,47734,0,18364,41530,-319684
1991:Q2,1017924,77760,600650,66997,88837,160065,0,0,6469,17146,1351708,68578,980610,97500,40363,56201,48290,0,19352,40814,-333784
1991:Q3,1037506,80031,616179,65630,89161,163507,0,0,6202,16796,1369112,69630,995877,96420,39797,57271,48786,0,20393,40938,-331606
1991:Q4,1076101,82286,649415,67752,85478,167005,0,0,6785,17380,1336761,70666,961380,96724,37508,59091,49102,0,21490,40800,-260660
1992:Q1,1060031,83452,627620,70839,84605,170576,0,0,6002,16937,1355973,71283,977573,97908,38176,58386,49210,0,22366,41071,-295942
1992:Q2,1084769,84618,646811,69787,86007,174157,0,0,6432,16957,1400151,71900,1019494,99961,35602,59795,49085,0,22283,42031,-315382
1992:Q3,1099084,85784,655379,70374,85310,177744,0,0,6554,17939,1413865,72519,1031412,102668,32351,60597,48953,0,23132,42233,-314781
1992:Q4,1133813,86950,682817,74065,82677,181351,0,0,7389,18564,1376210,73138,988942,103812,30831,62201,49040,0,25775,42471,-242397
1993:Q1,1130233,88888,666438,77383,83807,185014,0,0,8101,20602,1416624,74205,1025995,106272,30550,61958,49327,0,26010,42307,-286391
1993:Q2,1139382,90827,668865,75235,85357,188762,0,0,9931,20405,1449470,75274,1057388,107041,28921,62638,49790,0,26552,41866,-310088
1993:Q3,1154763,92765,678048,74097,87373,192537,0,0,10437,19506,1477779,76341,1082549,107576,29103,63516,50291,0,25225,43178,-323016
1993:Q4,1202954,94704,719258,75547,85628,196360,0,0,10069,21388,1437966,77410,1035046,108731,28443,65802,50693,0,28357,43484,-235012
1994:Q1,1196652,95856,701141,79327,86141,200227,0,0,12256,21704,1473436,78557,1064540,112710,27736,65516,51253,0,28955,44169,-276784
1994:Q2,1228531,97008,728065,77869,87192,204171,0,0,9989,24237,1526472,79702,1111514,116549,26966,67321,51812,0,27904,44704,-297941
1994:Q3,1248695,98161,742957,78658,86684,208240,0,0,10257,23738,1549880,80849,1125020,121182,26560,68439,52372,0,31217,44241,-301185
1994:Q4,1309726,99312,796530,82964,85408,212372,0,0,9149,23991,1543041,81996,1106979,125024,24664,71244,52931,0,35170,45033,-233315
1995:Q1,1310872,101791,786451,88932,83866,216586,0,0,9021,24225,1577686,82973,1131862,130824,25058,71266,54023,0,38152,43528,-266814
1995:Q2,1333314,104270,799388,88473,83125,220898,0,0,9330,27830,1610168,83950,1156199,133440,23833,72562,55115,0,41208,43861,-276854
1995:Q3,1374996,106749,832922,90680,82747,225223,0,0,9997,26678,1668174,84929,1205810,137647,22561,74635,56206,0,42284,44102,-293178
1995:Q4,1429364,109227,877498,96728,80945,229594,0,0,10261,25111,1665575,85906,1184941,140320,23073,77310,57298,0,50947,45780,-236211
1996:Q1,1430930,111560,863816,106292,81286,233999,0,0,11613,22364,1715237,87640,1222302,146401,23879,77378,58390,0,52891,46356,-284307
1996:Q2,1471997,113893,889439,113253,82725,238499,0,0,13026,21162,1775869,89374,1269179,156103,22697,79590,59474,0,52352,47100,-303872
1996:Q3,1473502,116226,876673,118371,83470,243089,0,0,14461,21212,1816256,91108,1295612,162696,23291,79785,59609,0,54895,49260,-342754
1996:Q4,1546371,118300,927011,128525,82046,247833,0,0,14282,28374,1813753,93198,1273063,169841,23992,82902,59338,0,60094,51325,-267382
1997:Q1,1543905,120706,905003,137737,80463,252601,0,0,17663,29732,1867091,95074,1311149,177235,24778,82877,63455,0,61052,51471,-323186
1997:Q2,1571201,123112,917933,147113,79485,257418,0,0,16356,29784,1933859,96950,1365473,188027,25403,84326,64036,0,59255,50389,-362658
1997:Q3,1612353,125518,938196,154235,76869,262316,0,0,23629,31590,1975890,98826,1388629,193636,21918,86328,64117,0,71417,51019,-363537
1997:Q4,1672646,127924,992089,160442,73769,267315,0,0,19938,31169,1972147,100702,1361106,204925,20752,89245,62229,0,80971,52217,-299501
1998:Q1,1695665,129805,1003982,166922,72104,272354,0,0,19532,30966,2022828,103167,1395370,212329,22456,90449,64934,0,83375,50748,-327163
1998:Q2,1701991,131686,1000609,172566,70734,277533,0,0,20869,27994,2066298,105632,1432830,216784,22279,90879,65738,0,83047,49109,-364307
1998:Q3,1743519,133567,1022821,184084,70163,282851,0,0,21782,28251,2132488,108097,1480470,227918,24305,91882,66416,0,83735,49665,-388969
1998:Q4,1780463,135448,1049696,190752,66198,288235,0,0,18932,31202,2105271,110562,1448432,233142,22254,96255,63954,0,84971,45701,-324808
1999:Q1,1797483,136923,1052365,197517,66671,293743,0,0,19429,30835,2163973,111283,1501928,241091,23847,98344,66193,0,79981,41306,-366490
1999:Q2,1871321,138398,1094026,206961,69107,299368,0,0,31539,31922,2253824,112004,1582779,251419,24520,99936,68053,0,75042,40071,-382503
1999:Q3,1959038,139873,1163247,216520,70564,305130,0,0,30022,33682,2341863,112725,1659489,263327,25668,101526,68819,0,71011,39298,-382825
1999:Q4,2104691,141348,1228170,225220,72015,311080,36241,15992,30859,43766,2410697,113446,1657593,272556,22859,104942,98392,10971,67182,62756,-306006
2000:Q1,2184319,142860,1276515,235288,78144,317205,39540,16648,33766,44353,2526505,115974,1740248,288726,25429,106684,103445,11266,70518,64215,-342186
2000:Q2,2299675,144372,1359541,248504,79477,323357,42845,17304,39405,44870,2669601,118502,1851019,310127,26889,107549,107151,11561,69696,67107,-369926
2000:Q3,2408320,145884,1447654,258764,80897,329611,46143,17958,35912,45497,2786019,121030,1932418,327177,27667,109189,111271,11854,74179,71234,-377699
2000:Q4,2519939,147396,1541422,266732,77678,336029,49442,18610,35915,46715,2817778,123558,1939233,342148,28146,109867,109764,12145,83311,69606,-297839
2001:Q1,2495001,147246,1506208,266340,80619,342638,53558,19882,35339,43171,2839497,123783,1947028,342111,31652,110969,115275,12787,78420,77472,-344496
2001:Q2,2480102,147096,1479788,264596,81570,349450,57678,21168,33321,45435,2856177,124008,1951662,342653,33828,113602,119580,13441,77796,79607,-376075
2001:Q3,2465707,146946,1451015,262910,84292,356129,61792,22438,36136,44049,2836558,124233,1909069,343626,37647,113441,124845,14081,83797,85819,-370851
2001:Q4,2461111,146796,1437691,261979,80897,362983,65910,23719,39211,41925,2743183,124458,1817916,343919,35470,115862,124082,14732,89123,77621,-282072
2002:Q1,2486241,151127,1440835,267840,82282,369964,70044,26702,36347,41100,2802999,125643,1855375,348578,35898,116322,130771,15990,88680,85742,-316758
2002:Q2,2506389,155458,1441265,273730,84298,376991,74183,29681,30582,40201,2844747,126828,1875524,353327,34660,116701,138244,17241,86799,95423,-338358
2002:Q3,2533775,159789,1441937,280682,84450,384078,78316,32653,31767,40103,2814986,128013,1832497,358077,32480,116507,141716,18488,84404,102804,-281211
2002:Q4,2580226,164120,1457412,287373,81414,391241,82451,35641,37418,43156,2700042,129198,1719534,362826,32197,118433,141918,19750,83499,92687,-119816
2003:Q1,2561010,165756,1417649,283884,104448,398473,82790,37085,28501,42424,2794332,130283,1799889,356544,45581,118357,145716,20669,83645,93648,-233322
2003:Q2,2568097,167392,1395469,275150,122536,405576,83133,38541,35253,45047,2791397,131368,1797930,350261,48735,116943,147504,21596,83563,93497,-223300
2003:Q3,2582315,169028,1391531,267762,141020,412775,83472,39991,32468,44268,2770949,132453,1783467,343979,48424,116151,147393,22518,82451,94113,-188634
2003:Q4,2608983,170664,1402680,261193,153571,419999,83816,41446,28218,47396,2701201,133538,1701793,337696,51277,116471,143554,23447,92329,101096,-92218
2004:Q1,2681445,174759,1436135,270966,162256,427323,83250,45191,34599,46966,2831441,135946,1805212,344356,57635,119497,146066,25248,91268,106213,-149996
2004:Q2,2709645,178854,1443397,274221,167726,434757,82683,48936,32077,46994,2913274,138354,1860975,351016,60967,120233,148431,27047,99636,106615,-203629
2004:Q3,2758708,182949,1471093,278523,171224,442276,82111,52680,34236,43616,2953100,140762,1883098,357675,59836,122473,149124,28845,103688,107599,-194392
2004:Q4,2808539,187044,1499936,284875,168971,449958,81546,56435,36040,43734,2904675,143170,1830643,364335,61768,124937,141856,30654,102613,104699,-96136
2005:Q1,2886214,190970,1536003,302334,179621,457722,82558,58156,34972,43878,3045877,145638,1944055,380986,62466,128684,143737,31417,98496,110398,-159663
2005:Q2,2975468,194896,1589494,312562,189662,465601,83575,59885,35049,44744,3173271,148106,2031068,397638,67175,133144,146443,32187,98198,119312,-197803
2005:Q3,3085501,198822,1655679,322805,199590,473640,84584,61617,45227,43537,3282063,150574,2108390,414289,69305,138494,146924,32961,99888,121238,-196562
2005:Q4,3159120,202748,1699382,334529,202635,481877,85600,63347,43079,45923,3305081,153042,2108248,430941,70992,142374,144042,33733,99771,121938,-145961
2006:Q1,3188655,206830,1708719,341285,206183,490253,84494,66905,35902,48084,3400557,155068,2167880,440929,69468,143500,145964,34787,115461,127500,-211902
2006:Q2,3278912,210912,1760837,342694,213579,498817,83386,70447,48938,49302,3485676,157094,2235216,450917,71816,147247,147871,35833,106523,133159,-206764
2006:Q3,3307831,214994,1777183,345994,214219,507455,82281,74020,43328,48357,3476902,159120,2217738,460905,71108,148622,147193,36883,101831,133502,-169071
2006:Q4,3362829,219076,1812989,348868,208857,516156,81176,77633,48279,49795,3371451,161146,2099243,470893,59397,151330,149816,37940,108274,133412,-8622
2007:Q1,3410433,223292,1825123,357432,218470,525125,78060,80748,51652,50531,3477687,163620,2180375,484579,61231,152779,147379,37807,111529,138388,-67254
2007:Q2,3497184,227508,1859504,363136,232637,534272,74948,83917,65473,55789,3595309,166094,2265597,498264,63511,155585,147762,37679,108750,152067,-98125
2007:Q3,3525435,231724,1864257,369456,239438,543520,71831,87066,62129,56014,3651717,168568,2302048,511950,66496,156360,144750,37548,104586,159411,-126282
2007:Q4,3566192,235940,1898892,374905,238176,552938,68718,90102,45842,60679,3630737,171042,2262207,525635,60593,159166,139061,37410,111654,163969,-64545
