1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018:Q1,5002109,356114,2386792,594631,334413,964214,70539,174989,42898,77519,5187064,261314,3206257,815351,67852,208702,179405,102031,32104,314048,-184955
2018:Q2,5139263,358168,2503078,598282,335422,976082,72635,178797,38037,78762,5382840,262698,3364394,827761,68952,217098,185438,101847,31966,322686,-243577
2018:Q3,5330783,360222,2653107,600828,360115,988148,74738,182615,33899,77111,5578762,264082,3523569,840170,72686,227778,187780,101661,31711,329325,-247979
2018:Q4,5393510,362276,2690361,598949,382266,1000277,76839,186337,16787,79418,5590572,265466,3512687,852580,75420,230254,186053,101473,33925,332714,-197062
2019:Q1,5456289,374413,2709790,585105,414399,1012667,77492,189782,14911,77730,5741554,265176,3670835,830240,75820,230645,190412,103100,33291,342035,-285265
2019:Q2,5556395,386550,2791484,569798,419660,1025507,78147,193169,15024,77056,5917452,264886,3856003,807901,77356,235292,196049,104723,32892,342350,-361057
2019:Q3,5663315,398687,2881917,560009,411632,1038476,78799,196534,15484,81777,6003473,264596,3960589,785561,75825,240938,193919,106349,32484,343212,-340158
2019:Q4,5717244,410824,2920483,541957,415545,1051629,79450,199940,15777,81639,6080943,264306,4053223,763222,73524,242373,192669,107976,34559,349091,-363699
2020:Q1,5650602,417709,2754846,574245,435995,1064995,82226,221831,20135,78620,6018838,269925,3916900,807374,73364,230950,202739,113592,36940,367054,-368236
2020:Q2,5547537,424594,2567466,608130,447093,1078036,85001,243969,17807,75441,5838335,275544,3664252,851525,80559,215147,210287,119205,35468,386348,-290798
2020:Q3,5765331,431479,2699888,642909,453216,1091406,87774,266036,16729,75894,6083509,281163,3823312,895677,81638,225357,212954,124820,32645,405943,-318178
2020:Q4,5910760,438364,2764601,673356,450579,1105026,90547,288129,18542,81616,6263510,286782,3916190,939828,84852,229572,210746,130433,35147,429960,-352750
2021:Q1,6051357,446195,2806012,690633,483849,1119014,95295,304842,19683,85834,6481247,289726,4067059,959844,91867,234974,220487,132957,34195,450138,-429890
2021:Q2,6227511,454026,2904104,711642,503803,1133221,100043,321590,15913,83169,6736745,292670,4248326,979861,93364,253102,229154,135481,36284,468503,-509234
2021:Q3,6387939,461857,2995336,730814,508726,1147646,104786,338285,17564,82925,6850659,295614,4299621,999877,96030,260831,239370,138006,35206,486104,-462720
2021:Q4,6648439,469688,3194373,741700,508402,1162494,109532,355011,22437,84802,7026849,298558,4414261,1019894,95478,275525,233387,140531,38164,511051,-378410
2022:Q1,6815478,477921,3318501,754453,512850,1177939,113310,359051,21930,79523,7211613,301855,4554232,1030681,97466,285107,246733,139545,36165,519829,-396135
2022:Q2,7038769,486154,3507007,763523,507699,1194173,117083,363044,19262,80824,7452631,305152,4739248,1048001,95055,298937,256786,138557,37246,533649,-413862
2022:Q3,7112648,494387,3551520,771732,493843,1210653,120857,367091,19586,82979,7544199,308449,4801254,1059080,96264,302628,255993,137573,38551,544407,-431551
2022:Q4,7205188,502620,3595291,784636,496999,1227349,124630,371216,20028,82419,7654487,311746,4876777,1070668,95374,306595,259726,136593,41942,555066,-449299
2023:Q1,7143459,510494,3476612,787302,500347,1244132,130143,394590,19109,80730,7673019,315312,4847264,1075820,99794,298474,276800,138631,39780,581144,-529560
2023:Q2,7225746,518368,3492347,792313,505585,1260953,135655,417953,22799,79773,7743856,318878,4864060,1084254,100886,299926,286383,140670,41443,607356,-518110
2023:Q3,7414177,526242,3615035,793515,514705,1278265,141165,441249,21440,82561,7883851,322444,4947090,1087049,103539,308599,293660,142707,42341,636422,-469674
2023:Q4,7405953,534116,3558956,788879,510395,1295878,146675,464642,18456,87956,7877387,326010,4893405,1088000,103313,304348,304320,144746,45718,667527,-471434
2024:Q1,7395666,542103,3503289,791992,512710,1313764,149771,477103,21266,83668,7872588,329382,4846517,1092281,107283,300670,318630,149082,45583,683160,-476922
