date,LA384104005.Q,LA154104005.Q,LA153165105.Q,LA153166000.Q,LA144104005.Q,LA104104005.Q,LA314104005.Q,LA214104005.Q,LA794104005.Q,LA264104005.Q
1945:Q4,352402,29442,18706,6800,55940,44653,254385,12635,5692,5520
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,343964,36067,23100,9777,63908,49889,231306,12683,5245,7823
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,356685,44913,28267,13298,72561,56780,224898,14313,5260,11904
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,369120,53423,33422,16332,79968,62811,220012,15717,7301,13116
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,384453,61273,37406,19374,82933,64394,223629,16618,8617,13469
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,411373,74845,45250,23947,92084,70439,223234,21210,11335,13614
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,774513,231794,150111,62079,209878,149684,256548,76293,38072,23646
1961:Q4,788596,237897,154027,63435,214708,152991,258176,77815,40940,24413
1962:Q1,800217,241979,157045,64323,217941,154537,260736,79561,39917,25173
1962:Q2,813930,247269,160433,66340,223077,157694,262629,80955,41317,25643
1962:Q3,825118,253278,164277,67648,227388,160115,262285,82167,43018,25591
1962:Q4,842334,259748,168307,69344,232772,163470,266044,83770,46345,26268
1963:Q1,855287,265529,171943,71309,236663,165593,268037,85058,44018,27109
1963:Q2,871505,273045,175980,73129,241370,167943,270284,86806,47671,28392
1963:Q3,883320,280355,180606,75440,245714,170151,269330,87921,50338,28674
1963:Q4,900618,288207,185106,77870,252160,174188,271008,89243,54125,29353
1964:Q1,914262,295158,189423,80555,256246,176590,272343,90515,53177,29929
1964:Q2,930822,302628,193538,82769,262035,179981,273916,92243,57749,30755
1964:Q3,947190,309327,198039,85288,267791,183450,276082,93990,58175,31319
1964:Q4,965255,317126,202335,87352,274196,187929,278309,95624,61043,32937
1965:Q1,981834,323883,206582,90344,281387,193189,279189,97375,60637,34125
1965:Q2,998873,331135,210488,93294,288852,197975,279373,99513,66508,34535
1965:Q3,1013004,337889,215034,95625,296185,202871,277467,101463,65816,34675
1965:Q4,1034076,345859,219449,97489,303791,208197,281252,103174,70150,35305
1966:Q1,1053481,352482,224085,100006,313353,214566,282763,104883,70819,36010
1966:Q2,1073035,359679,227382,101373,323873,222361,282469,107014,77287,36598
1966:Q3,1086123,363409,230300,102281,331875,228551,282300,108539,76635,36568
1966:Q4,1102733,368389,232742,103422,338206,232928,286101,110037,81898,37277
1967:Q1,1119242,371777,234955,104389,346567,239692,289406,111492,80112,38650
1967:Q2,1131871,376520,237210,105421,355877,246049,285886,113588,79412,39594
1967:Q3,1154358,382306,241614,106874,364082,251644,292284,115686,81315,40500
1967:Q4,1190912,402313,245974,108567,370865,255254,300362,117372,85926,41452
1968:Q1,1204740,397669,250119,110508,380965,263718,306990,119116,85671,42391
1968:Q2,1228186,407891,253803,112911,391182,270520,308055,121058,91323,42715
1968:Q3,1253286,415109,258280,115599,401548,278279,313637,122992,93921,43302
1968:Q4,1280418,426687,262934,119324,413387,286805,314219,126125,98996,44127
1969:Q1,1299620,429576,265603,122479,424567,295198,315342,130135,97066,44892
1969:Q2,1317927,438266,269871,125419,438856,304812,307375,133430,106380,45858
1969:Q3,1341131,443618,274629,127326,451410,313228,309983,136120,109957,46453
1969:Q4,1366289,453267,278689,129231,462182,320277,312583,138257,122797,47121
1970:Q1,1381280,451256,277740,130530,475164,340259,314500,140360,127173,47790
1970:Q2,1404938,453903,278865,131338,490307,351045,317154,143574,132327,48343
1970:Q3,1431689,459349,281771,132924,502770,358709,323589,145981,132533,48693
1970:Q4,1458429,467157,286015,133660,513928,365371,327027,150317,139512,49993
1971:Q1,1484628,475664,291470,138226,525351,372803,328923,154690,137222,51254
1971:Q2,1523922,485229,295430,141017,540560,380947,339263,158870,136894,52322
1971:Q3,1560849,496017,302126,144770,554738,389654,347468,162626,139706,53265
1971:Q4,1599204,511303,309454,149243,566409,395247,354745,166747,150061,54179
1972:Q1,1634979,524671,317906,153380,582869,406926,356270,171169,150912,55548
1972:Q2,1673365,540098,324324,158564,600714,415269,358194,174359,156528,55827
1972:Q3,1712122,553144,333264,162799,617329,424654,364207,177442,160460,56159
1972:Q4,1764103,571260,343552,168757,639383,436833,372750,180710,175760,57569
1973:Q1,1818610,590517,353598,176766,665674,452647,378186,184233,175918,58848
1973:Q2,1864038,604553,361862,183161,692830,468869,379668,186987,189218,60598
1973:Q3,1908445,620759,371042,187983,718200,489095,379074,190412,201220,60514
1973:Q4,1949734,636669,382218,192980,736457,506316,381829,194779,215065,62240
1974:Q1,1991562,649073,392321,196565,761378,522214,381929,199182,215509,62694
1974:Q2,2043125,664213,400813,199933,790645,540484,385635,202632,229930,67122
1974:Q3,2089371,678860,410404,202348,814076,553784,390234,206201,246173,69951
1974:Q4,2128604,691463,419339,201926,832471,565222,396457,208213,258627,73051
1975:Q1,2166769,700256,427459,202454,843284,570317,412756,210473,254517,76701
1975:Q2,2213099,708387,435481,199092,851443,572345,440620,212649,255697,78831
1975:Q3,2262670,724097,445509,202035,859902,576400,464591,214080,253280,81149
1975:Q4,2320336,747467,459087,206996,867584,579983,485926,219359,269285,86086
1976:Q1,2379293,767638,474026,211812,880679,584730,505967,225009,269980,89672
1976:Q2,2445670,788201,485633,216337,897828,595318,528227,231414,276394,92920
1976:Q3,2507335,808287,500528,221278,916964,607149,546903,235181,282284,96583
1976:Q4,2571117,836251,517073,228961,937324,620242,559712,237830,302149,102217
1977:Q1,2643297,864809,536389,236168,965753,637665,572404,240331,300148,104063
1977:Q2,2717707,897922,556489,246398,992711,653208,580529,246545,317054,106663
1977:Q3,2810271,931219,579584,255421,1019771,670302,607628,251653,326978,110736
1977:Q4,2899617,966499,602997,264892,1054347,694536,622606,256165,357794,112420
1978:Q1,2990911,1002802,627038,274811,1085605,714469,637105,265399,361273,116886
1978:Q2,3093601,1046971,650880,289868,1120805,734520,650943,274882,387833,120044
1978:Q3,3197670,1088856,678732,301165,1151793,749186,672723,284298,401788,122522
1978:Q4,3293544,1128011,708641,311305,1187814,769608,682118,295601,435869,132210
1979:Q1,3383292,1170217,740030,322611,1224876,793376,685071,303128,444461,134927
1979:Q2,3484724,1211369,766252,333789,1269922,815006,693719,309714,476182,138641
1979:Q3,3599118,1255569,795664,345271,1312240,837024,714755,316554,498967,149584
1979:Q4,3692020,1296896,826724,354616,1346999,854983,725909,322216,533822,155569
1980:Q1,3792721,1338608,860063,359093,1386800,876745,739509,327804,548651,158948
1980:Q2,3859837,1352030,875720,352773,1407447,883840,767360,333000,566063,165421
1980:Q3,3945930,1381252,900209,354263,1434561,895758,791355,338762,581797,169808
1980:Q4,4054534,1420187,926526,358044,1477729,922668,812184,344434,615271,175821
1981:Q1,4148097,1442338,944614,363365,1512102,938294,842366,351291,616723,182695
1981:Q2,4260780,1474872,966081,369096,1569321,979539,860707,355880,653857,190189
1981:Q3,4360408,1498878,980800,376062,1620679,1017418,876789,364062,691212,193836
1981:Q4,4467729,1526550,998261,377882,1661467,1041690,907658,372054,717712,222513
1982:Q1,4572815,1545004,1012723,383538,1703122,1070947,941829,382860,724939,233541
1982:Q2,4674532,1564464,1021850,388711,1749244,1101141,967057,393767,765686,245989
1982:Q3,4787845,1567289,1017038,391153,1792976,1127931,1024123,403457,781265,253667
1982:Q4,4903404,1597887,1031175,396718,1810714,1133059,1081029,413774,817162,267243
1983:Q1,5040049,1608036,1033170,402687,1861182,1164623,1146269,424562,819952,270981
1983:Q2,5199459,1652377,1057024,412172,1899544,1188302,1207253,440285,851396,278198
1983:Q3,5358194,1700844,1085787,425395,1948776,1220561,1258653,449921,881529,291000
1983:Q4,5500650,1759572,1116384,444878,1999189,1250208,1280780,461109,924353,265006
1984:Q1,5704968,1813139,1153101,464733,2074998,1298723,1344109,472722,940155,275194
1984:Q2,5909233,1870217,1182190,489551,2162725,1356793,1389644,486647,987151,291025
1984:Q3,6111019,1915438,1210049,507427,2239815,1404956,1450932,504834,1032423,290972
1984:Q4,6313465,1977628,1243294,526584,2325746,1463098,1496457,513634,1094786,287264
1985:Q1,6568545,2078562,1316829,551452,2383257,1494790,1567286,539440,1120588,286703
1985:Q2,6788255,2142766,1348447,571290,2449465,1534691,1628224,567800,1180118,287332
1985:Q3,7008169,2223574,1402267,592622,2506237,1578047,1688195,590163,1244709,287772
1985:Q4,7347807,2329728,1450249,610574,2578134,1645087,1762014,677931,1328602,290064
1986:Q1,7519478,2383822,1489804,624425,2642710,1689873,1811367,681579,1383438,298744
1986:Q2,7754149,2436276,1529839,641290,2716315,1744364,1885675,715883,1470167,297840
1986:Q3,7985000,2514104,1589114,657442,2792785,1804994,1949671,728439,1556631,304287
1986:Q4,8227080,2592227,1649024,666355,2875176,1874981,2007547,752130,1668311,300178
1987:Q1,8394174,2626546,1694524,662981,2938650,1919804,2044222,784756,1737711,304492
1987:Q2,8601877,2706761,1757670,674860,2992100,1961383,2101468,801548,1827174,299203
1987:Q3,8787474,2774485,1804085,688353,3058948,2014689,2132373,821668,1898408,300605
1987:Q4,8979424,2818757,1829012,698640,3136377,2071514,2181714,842576,1936673,310447
1988:Q1,9186530,2894766,1887976,713264,3207540,2121675,2231681,852543,1972545,312988
1988:Q2,9396191,2967780,1946178,725994,3286179,2177150,2277616,864616,2043826,313872
1988:Q3,9591705,3038213,1999611,735994,3352218,2218832,2324952,876322,2096129,312074
1988:Q4,9803715,3102094,2055294,745206,3439017,2289761,2369615,892989,2181135,351879
1989:Q1,9992252,3167159,2092542,773653,3507107,2344386,2417116,900870,2282698,353817
1989:Q2,10184960,3242022,2143831,787208,3579132,2403862,2454316,909489,2336536,346589
1989:Q3,10355043,3314099,2205558,796149,3619455,2432749,2500028,921461,2362451,350763
1989:Q4,10556822,3386019,2260581,809285,3679918,2482036,2550522,940363,2433969,354820
1990:Q1,10790967,3479871,2341845,813793,3733671,2529951,2618661,958764,2463754,354298
1990:Q2,10961321,3541854,2396456,818310,3768624,2566834,2681731,969112,2512543,363510
1990:Q3,11117486,3593752,2444404,826225,3794780,2593251,2753929,975024,2558375,368288
1990:Q4,11276267,3646226,2489811,824391,3811851,2613894,2830770,987420,2647008,368739
1991:Q1,11380446,3702064,2539212,824860,3789538,2595758,2889145,999699,2671252,381159
1991:Q2,11524246,3758136,2594630,822851,3789528,2595741,2961398,1015185,2704447,365330
1991:Q3,11650625,3788995,2614925,818093,3758457,2581306,3062723,1040450,2753596,370281
1991:Q4,11807376,3855229,2667879,815581,3726189,2556445,3147363,1078595,2828343,375474
1992:Q1,11952922,3907014,2717076,817269,3729586,2564391,3238034,1078287,2875040,377861
1992:Q2,12079007,3944262,2745769,815377,3722175,2564496,3328872,1083699,2954449,390516
1992:Q3,12242521,3996742,2791932,818575,3724301,2575092,3423745,1097733,3022395,393123
1992:Q4,12360072,4056076,2840902,824769,3717770,2574349,3491131,1095095,3075069,395548
1993:Q1,12494719,4098211,2865467,832774,3735137,2601185,3550017,1111355,3155622,405933
1993:Q2,12700340,4159159,2915005,843397,3768808,2638700,3641160,1131213,3223306,420295
1993:Q3,12897189,4230310,2957538,860654,3805889,2681076,3709639,1151351,3336652,446349
1993:Q4,13088474,4305539,2999676,886169,3845562,2722097,3784333,1153040,3432230,484808
1994:Q1,13245110,4377940,3042085,912689,3909260,2784416,3809948,1147963,3579923,458983
1994:Q2,13424819,4456482,3082411,946409,3959096,2830783,3879588,1129654,3670341,457055
1994:Q3,13601470,4528342,3118955,980405,4014239,2879972,3930823,1128066,3768052,459425
1994:Q4,13784512,4630251,3166443,1021168,4068940,2930133,3977825,1107497,3900378,473421
1995:Q1,13949821,4703847,3204269,1058385,4139212,2988772,4014760,1092002,3987462,489516
1995:Q2,14195601,4786121,3245219,1095019,4214326,3054811,4117882,1077272,4092574,505195
1995:Q3,14355313,4879834,3286334,1133141,4262664,3089683,4149242,1063573,4213372,527278
1995:Q4,14478695,4953383,3320508,1168160,4326587,3141422,4151993,1046732,4367231,602524
1996:Q1,14706323,5075518,3397073,1197356,4374163,3172844,4215265,1041378,4481944,616070
1996:Q2,14935565,5166158,3449816,1224879,4451640,3232368,4279858,1037909,4635696,627506
1996:Q3,15111198,5236811,3490823,1247457,4517724,3277778,4327646,1029017,4737303,658966
1996:Q4,15246647,5316548,3538631,1273878,4560827,3302601,4343083,1026189,4930615,689142
1997:Q1,15446571,5404130,3598313,1284329,4641216,3359401,4369736,1031489,5007720,698860
1997:Q2,15661627,5486690,3644020,1302783,4740036,3433968,4395842,1039059,5189644,718742
1997:Q3,15927030,5584663,3716165,1321301,4869144,3536464,4415850,1057373,5288889,747615
1997:Q4,16126386,5664707,3754709,1344165,4978241,3615465,4406492,1076946,5476183,763591
1998:Q1,16410061,5773936,3834901,1352528,5135888,3730028,4407670,1092568,5716063,790546
1998:Q2,16757664,5897658,3902165,1393784,5314274,3860225,4435299,1110433,5986296,813653
1998:Q3,16982177,5988170,3962557,1417348,5462271,3962963,4405501,1126235,6251273,808882
1998:Q4,17266009,6120178,4057983,1441272,5606992,4061527,4395086,1143753,6507468,805954
1999:Q1,17576485,6261576,4162821,1471714,5775414,4181781,4380185,1159310,6794482,809850
1999:Q2,17827798,6404099,4247851,1500711,5880269,4249799,4378872,1164558,7060910,807293
1999:Q3,18163802,6541848,4350426,1533015,6086663,4402618,4356927,1178363,7342547,824352
1999:Q4,18447242,6691711,4435042,1553622,6209522,4466788,4365000,1181009,7609471,776679
2000:Q1,18734631,6856531,4524890,1584412,6377615,4587536,4314730,1185755,7831266,799299
2000:Q2,18925672,6985169,4620936,1632955,6546667,4696720,4214690,1179146,8044156,785176
2000:Q3,19130986,7152286,4720827,1692853,6644879,4756412,4143885,1189936,8227327,809374
2000:Q4,19305383,7262343,4817296,1741267,6755123,4816481,4090025,1197892,8495313,837115
2001:Q1,19535161,7382637,4930837,1784759,6800062,4821240,4122911,1229551,8692614,848378
2001:Q2,19770346,7565146,5074527,1816504,6926563,4904742,4030300,1248336,8917344,836816
2001:Q3,20172677,7807548,5217749,1838308,6997397,4938088,4096886,1270846,9273019,811537
2001:Q4,20412800,7905615,5325436,1891827,7058597,4956181,4145237,1303350,9496602,829453
2002:Q1,20697368,8097967,5489339,1918895,7113593,4971162,4156460,1329349,9677167,848598
2002:Q2,21023861,8248390,5632948,1951616,7150655,4968611,4260360,1364455,9847067,870559
2002:Q3,21394462,8450777,5820234,1975317,7184518,4963911,4357679,1401488,10044556,873275
2002:Q4,21790500,8683646,6031605,1997008,7231626,4971856,4427328,1447900,10315852,944470
2003:Q1,22111620,8912153,6210194,2026273,7251457,4970840,4473103,1474906,10645382,922005
2003:Q2,22693279,9267481,6439104,2058502,7268250,4970973,4638594,1518954,10965619,942343
2003:Q3,23126279,9506391,6678897,2082493,7324530,5010150,4752624,1542735,11224934,913631
2003:Q4,23526868,9769280,6915404,2102932,7341118,5006546,4848035,1568435,11351666,1144398
2004:Q1,24751490,10008776,7099534,2135867,7486667,5082239,4912016,2344031,11591098,1171982
2004:Q2,25339898,10301024,7349858,2154712,7556482,5092475,5081330,2401062,11825185,1164646
2004:Q3,25871707,10560630,7596125,2187446,7687626,5161747,5173475,2449977,12062953,1209540
2004:Q4,26457413,10899894,7859676,2220119,7821318,5232785,5250883,2485318,12394363,1265367
2005:Q1,26998863,11140393,8080873,2248511,7969264,5302051,5352908,2536297,12629544,1280317
2005:Q2,27625336,11467368,8366835,2276583,8130525,5378613,5446929,2580514,12940057,1311729
2005:Q3,28181597,11793483,8654396,2300822,8263231,5424623,5502074,2622809,13017436,1331591
2005:Q4,28781162,12091762,8940857,2320555,8454585,5527501,5584775,2650040,13445267,1325682
2006:Q1,29495173,12484194,9228247,2385808,8668966,5638800,5690834,2651178,13801420,1350529
2006:Q2,30183700,12842004,9540675,2395813,8883596,5748111,5769608,2688492,14221558,1426586
2006:Q3,30664124,13131244,9776633,2426814,9032842,5794126,5773590,2726447,14471677,1528427
2006:Q4,31240347,13389395,9940823,2456716,9280354,5937952,5803923,2766675,14865400,1630200
2007:Q1,31879955,13596104,10123785,2484433,9534064,6074526,5925487,2824299,15436237,1683968
2007:Q2,32562119,13899859,10333039,2519121,9841508,6266697,5939237,2881515,15894770,1783573
2007:Q3,33183595,14107596,10517037,2566995,10166973,6476432,5994294,2914732,16530345,1880897
2007:Q4,33746825,14291481,10625531,2609477,10438852,6632002,6074315,2942177,16994927,1959704
2008:Q1,34302118,14446444,10695364,2645604,10647026,6753916,6243059,2965588,17358474,1968705
2008:Q2,34565709,14402053,10689030,2662410,10851290,6871137,6327804,2984562,17559935,1896714
2008:Q3,35291626,14490572,10666868,2657388,10988984,6937653,6821396,2990674,17834711,1657014
2008:Q4,35578890,14200622,10577810,2643789,11018493,6893113,7376817,2982958,17642842,1562126
2009:Q1,35890431,14140953,10577802,2622827,10943623,6830835,7787502,3018353,17125567,1577766
2009:Q2,36284345,14120143,10558540,2591475,10851143,6768313,8252399,3060661,16597616,1725716
2009:Q3,36511005,14071981,10491278,2576593,10715392,6665911,8638185,3085447,16178030,1872610
2009:Q4,36553670,14037324,10441897,2555017,10508167,6491925,8882645,3125534,15749362,1968899
2010:Q1,36918999,13986131,10317635,2536551,10481072,6471005,9296065,3155731,15140783,2044784
2010:Q2,37291051,13923264,10252463,2518416,10409906,6407348,9796052,3161828,14894065,2030746
2010:Q3,37671415,13824967,10158755,2522094,10454360,6455805,10217548,3174540,14678489,2205782
2010:Q4,37931675,13804804,9992875,2646811,10376827,6390110,10528562,3221482,14720433,2247711
2011:Q1,38130266,13822230,9959266,2672031,10384076,6413322,10724880,3199080,14653618,2335531
2011:Q2,38412492,13768107,9900258,2693088,10467373,6515061,10999912,3177098,14526228,2476286
2011:Q3,38843446,13714559,9829253,2720060,10544874,6611608,11403487,3180527,14354845,2445049
2011:Q4,39195847,13692768,9786082,2756225,10646989,6725759,11667250,3188840,14170080,2469789
2012:Q1,39613814,13687842,9728175,2791565,10733022,6769227,12002610,3190341,14174058,2451922
2012:Q2,40096461,13652181,9664736,2829849,10847324,6839059,12385649,3211308,13966094,2502213
2012:Q3,40504167,13620044,9593002,2865788,11026591,6976569,12643841,3213691,14077758,2659812
2012:Q4,40846434,13582619,9537717,2912905,11227343,7134803,12847828,3188644,13919748,2775457
2013:Q1,41264441,13619213,9504991,2963146,11299593,7185043,13154773,3190863,13969570,2832524
2013:Q2,41529718,13632936,9468008,3000935,11463136,7321438,13260000,3173647,13941581,2779515
2013:Q3,41879446,13644803,9452646,3045859,11661778,7494099,13414810,3158056,13881480,2858414
2013:Q4,42497471,13807816,9437773,3090468,11799629,7602613,13705127,3184899,14074393,2897470
2014:Q1,42973571,13873571,9418370,3150696,11993204,7728866,13923713,3183083,14069866,2978584
2014:Q2,43359476,13925674,9397364,3209897,12175493,7842500,14090250,3168059,14092844,3171674
2014:Q3,43652982,13865046,9378146,3265100,12368628,7965281,14311438,3107870,14240994,3157592
2014:Q4,44089397,13911635,9388069,3309540,12621438,8142620,14441054,3115270,14326589,3207799
2015:Q1,44442469,13967540,9379901,3361128,12847473,8312332,14495075,3132381,14300308,3217980
2015:Q2,45044201,14076260,9408588,3423990,13126586,8528268,14705362,3135993,14382426,3190104
2015:Q3,45381134,14146112,9427446,3485861,13312492,8649458,14780910,3141619,14440685,3102588
2015:Q4,45909266,14134794,9493968,3400223,13477602,8752224,15165626,3131244,14300300,3101084
2016:Q1,46514752,14226712,9512617,3466736,13762962,8944145,15383416,3141663,14458921,3162201
2016:Q2,47030154,14343809,9556748,3523362,13901960,8985843,15623983,3160402,14569972,3224563
2016:Q3,47579405,14472882,9608111,3585138,14088924,9077474,15849915,3167684,14571396,3240929
2016:Q4,47875881,14553974,9660274,3636436,14149503,9037664,16008291,3164113,14545818,3182663
2017:Q1,48251571,14694128,9735994,3685898,14428307,9202956,15981843,3147293,14607182,3313942
2017:Q2,48838513,14832724,9796651,3728930,14673818,9333429,16188806,3143165,14728504,3421387
2017:Q3,49396228,14937007,9857784,3772461,14877576,9421963,16441784,3139861,14884720,3518284
2017:Q4,50041219,15109433,9930828,3830752,15160675,9586598,16606939,3164172,14845634,3729971
2018:Q1,50747774,15241349,9995881,3876460,15325269,9681127,17037856,3143300,14895080,3806258
2018:Q2,51616071,15351917,10072444,3902843,15775850,10060417,17343877,3144427,14914747,3795482
2018:Q3,52195434,15479691,10149845,3957168,15968151,10177817,17600751,3146840,14984942,3852986
2018:Q4,52722032,15581893,10206576,4007042,16149437,10283596,17865026,3125676,15087938,3891069
2019:Q1,53283767,15686112,10261697,4052073,16392650,10498547,18095814,3109192,15154426,3929863
2019:Q2,53781724,15860031,10342477,4094626,16542149,10619417,18284524,3095020,15285535,4114872
2019:Q3,54641283,16013067,10417152,4146148,16765962,10818038,18760667,3101588,15451096,4175424
2019:Q4,55176241,16165222,10478730,4192191,16845658,10867206,19039898,3125463,15481027,4248605
2020:Q1,56595129,16305496,10548890,4205892,17676371,11613826,19480587,3132675,16633441,4047097
2020:Q2,60421683,16284692,10611388,4138608,18348961,12081908,22627127,3160904,16167040,4268692
2020:Q3,61113405,16503236,10747820,4165137,18354550,11971073,23050112,3205507,16164992,4338533
2020:Q4,61978062,16730561,10864952,4184853,18407109,11903062,23621060,3219332,16437902,4508767
2021:Q1,62747900,16981014,11010353,4225092,18630585,12031617,23889967,3246335,16687417,4654720
2021:Q2,64459370,17678716,11474840,4426566,18949150,12287295,24559333,3272170,17322152,4746232
2021:Q3,65024444,17996352,11694409,4483875,19167681,12452403,24564070,3296340,17538879,4946073
2021:Q4,66459613,18343340,11926693,4548530,19523509,12634137,25304484,3288280,17720988,5020957
2022:Q1,67832308,18619073,12091344,4634349,19993272,12982346,25951052,3268910,18290897,4834827
2022:Q2,68908869,18951501,12346119,4737012,20363247,13229572,26311827,3282295,18588395,4672002
