1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q4,56185,48890,10582,38308,5838,1457,56185,25845,-1092,-34,81,1042,0,-3,0,6013,291,0,20,13924,1541,4941,0,792,1074,0,1750
2003:Q1,31057,26815,1681,25134,4090,152,31057,-10099,203,-170,-3,1582,0,38,0,9394,1584,0,13,20474,7304,982,0,-319,-1677,0,1750
2003:Q2,59737,54848,-218,55066,3770,1119,59737,41625,-1469,-170,-32,4135,0,6,0,6827,1703,0,-8,-3595,6734,-310,0,-39,2580,0,1750
2003:Q3,12221,8830,2722,6108,2766,625,12221,-13627,3746,-170,318,5287,0,95,0,8880,1395,0,1863,-2553,-959,2094,0,1320,2282,0,2250
2003:Q4,34540,29964,6190,23774,3180,1396,34540,9045,793,-170,326,752,0,-48,0,8045,1510,0,1815,8829,-3507,416,0,4024,460,0,2250
2004:Q1,51924,41188,2742,38446,2138,8598,51924,26773,-1917,415,282,1289,0,46,0,13044,904,0,1802,1856,2190,-460,0,3548,-97,0,2250
2004:Q2,75117,63461,4810,58651,5540,6116,75117,52180,-926,415,259,3301,0,25,25,10274,936,0,2124,1254,-6938,1455,0,2273,6211,0,2250
2004:Q3,36562,33937,11096,22841,1285,1340,36562,31040,-811,415,454,2669,0,-382,-5,6390,926,0,-1949,-3667,-4372,-511,0,3006,2359,0,1000
2004:Q4,49171,43435,3592,39843,4223,1513,49171,39801,63,415,-299,1831,0,86,10,6161,1009,0,-1711,13867,-2039,-589,0,-8563,-1871,0,1000
2005:Q1,59763,53689,1265,52424,3119,2955,59763,20780,823,25,246,4845,0,13,0,11541,1075,0,-1615,13449,4094,269,0,-1468,4686,0,1000
2005:Q2,63724,47465,-9757,57222,2266,13993,63724,43550,-2523,25,462,3272,0,4,0,10966,542,0,-1700,5898,6303,637,0,-349,-4363,0,1000
2005:Q3,43899,26291,-2068,28359,5974,11634,43899,18489,2218,26,853,6276,0,-36,0,12029,608,0,76,-1686,2598,-417,0,-642,3007,0,500
2005:Q4,55994,36651,8869,27782,3359,15984,55994,29434,-218,24,277,3896,0,186,0,7573,340,0,75,9118,-169,-270,0,-2490,7718,0,500
2006:Q1,15070,5569,494,5075,2094,7407,15070,-11839,2367,329,-81,3647,0,133,0,5284,1290,0,86,15329,6706,-231,0,-1521,-6929,0,500
