1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q3,-48,-602,0,0,0,-602,-602,0,0,0,0,0,0,0,-554,-554,0,0,0,0,0,0,0,-554,157,-711,0,0,0,0,0
1978:Q4,-46,8666,0,0,0,8666,8666,0,0,0,0,0,0,0,8712,8712,0,0,0,0,0,0,0,8712,499,8213,0,0,0,0,0
1979:Q1,-37,4298,0,0,0,4298,4298,0,0,0,0,0,0,0,4335,4335,0,0,0,0,0,0,0,4335,-461,4796,0,0,0,0,0
1979:Q2,-32,3128,0,0,0,3128,3128,0,0,0,0,0,0,0,3160,3160,0,0,0,0,0,0,0,3160,49,3111,0,0,0,0,0
1979:Q3,-28,3611,0,0,0,3611,3611,0,0,0,0,0,0,0,3639,3639,0,0,0,0,0,0,0,3639,173,3466,0,0,0,0,0
1979:Q4,-32,-1273,0,0,0,-1273,-1273,0,0,0,0,0,0,0,-1241,-1241,0,0,0,0,0,0,0,-1241,369,-1610,0,0,0,0,0
1980:Q1,-39,4703,0,0,0,4703,4703,0,0,0,0,0,0,0,4742,4742,0,0,0,0,0,0,0,4742,-426,5168,0,0,0,0,0
1980:Q2,-57,1193,0,0,0,-7982,-7982,0,0,0,0,0,9175,0,1250,1250,600,600,0,0,0,0,0,650,53,597,0,0,0,0,0
1980:Q3,-48,-1151,0,0,0,-1870,-1870,0,0,0,0,0,719,0,-1103,-1103,719,719,0,0,0,0,0,-1822,1020,-2842,0,0,0,0,0
1980:Q4,-51,1467,0,0,0,2362,2362,0,0,0,0,0,-895,0,1518,1518,-895,-895,0,0,0,0,0,2413,-663,3076,0,0,0,0,0
1981:Q1,-55,-2385,0,0,0,-3950,-3950,0,0,0,0,0,1565,0,-2330,-2330,1565,1565,0,0,0,0,0,-3895,-333,-3562,0,0,0,0,0
1981:Q2,-52,1277,0,0,0,998,998,0,0,0,0,0,279,0,1329,1329,279,279,0,0,0,0,0,1050,243,807,0,0,0,0,0
1981:Q3,-51,4228,0,0,0,1326,1326,0,0,0,0,0,2902,0,4279,4279,2902,2902,0,0,0,0,0,1377,-464,1841,0,0,0,0,0
1981:Q4,-53,-13743,0,0,0,-3287,-3287,0,0,0,0,0,-10456,0,-13690,-13690,-456,-456,0,0,0,0,0,-13234,1508,-14742,0,0,0,0,0
1982:Q1,-65,6827,0,0,0,5712,5712,0,0,0,0,0,1115,0,6892,6892,1115,1115,0,0,0,0,0,5777,-107,5884,0,0,0,0,0
1982:Q2,-54,11377,0,0,0,9247,9247,0,0,0,0,0,2130,0,11431,11431,2130,2130,0,0,0,0,0,9301,1091,8210,0,0,0,0,0
1982:Q3,-61,-3598,0,0,0,-5895,-5895,0,0,0,0,0,2297,0,-3538,-3538,2297,2297,0,0,0,0,0,-5835,616,-6451,0,0,0,0,0
1982:Q4,-68,-5663,0,0,0,-3501,-3501,0,0,0,0,0,-2162,0,-5595,-5595,-2162,-2162,0,0,0,0,0,-3433,-1404,-2029,0,0,0,0,0
1983:Q1,-64,9080,0,0,0,9975,9975,0,0,0,0,0,-895,0,9144,9144,-895,-1059,164,0,0,0,0,10039,1723,8316,0,0,0,0,0
1983:Q2,-49,-177,0,0,0,-1170,-1170,0,0,0,0,0,993,0,-128,-128,993,791,202,0,0,0,0,-1121,-672,-449,0,0,0,0,0
1983:Q3,-55,-859,0,0,0,-669,-669,0,0,0,0,0,-190,0,-804,-804,-190,-342,152,0,0,0,0,-614,-915,301,0,0,0,0,0
1983:Q4,-72,13540,0,0,0,10255,10255,0,0,0,0,0,3285,0,13612,13612,3285,3530,-245,0,0,0,0,10327,2779,7548,0,0,0,0,0
1984:Q1,-101,-1048,0,0,0,-1727,-1727,0,0,0,0,0,679,0,-948,-948,679,-120,799,0,0,0,0,-1627,557,-2184,0,0,0,0,0
1984:Q2,-114,12614,0,0,0,18564,18564,0,0,0,0,0,-5950,0,12728,12728,-5950,-5841,-109,0,0,0,0,18678,-2427,21105,0,0,0,0,0
1984:Q3,-126,-683,0,0,0,-7831,-7831,0,0,0,0,0,7148,0,-557,-557,7148,7006,142,0,0,0,0,-7705,1907,-9612,0,0,0,0,0
1984:Q4,-126,-2906,0,0,0,-2192,-2192,0,0,0,0,0,-714,0,-2781,-2781,-714,-598,-116,0,0,0,0,-2067,149,-2216,0,0,0,0,0
1985:Q1,-133,19864,0,0,0,16810,16810,0,0,0,0,0,3054,0,19997,19997,3054,2360,694,0,0,0,0,16943,-1282,18225,0,0,0,0,0
1985:Q2,-172,-3309,0,0,0,-3589,-3589,0,0,0,0,0,280,0,-3137,-3137,280,-449,729,0,0,0,0,-3417,1605,-5022,0,0,0,0,0
1985:Q3,-144,25337,0,0,0,20058,20058,0,0,0,0,0,5279,0,25481,25481,5279,4548,731,0,0,0,0,20202,-1208,21410,0,0,0,0,0
1985:Q4,-135,18945,0,0,0,16846,16846,0,0,0,0,0,2099,0,19080,19080,2099,2109,-10,0,0,0,0,16981,2373,14608,0,0,0,0,0
