1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5155,5155,0,0,5155,517,0,0,85,50,2949,0,26,77,1446,9,5,0,0,0,-9,0,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q1,6836,6836,0,0,6836,636,0,0,-156,64,4808,0,0,-88,1420,20,28,0,0,0,104,0,0,ND,ND,ND,ND,ND,ND
1954:Q2,8560,8560,0,0,8560,-48,0,0,-168,72,6380,0,0,380,1780,20,32,0,0,0,112,0,0,ND,ND,ND,ND,ND,ND
1954:Q3,10108,10108,0,0,10108,-112,0,0,260,68,7712,0,0,-160,1952,20,40,0,0,0,328,0,0,ND,ND,ND,ND,ND,ND
1954:Q4,12168,12168,0,0,12168,328,0,0,324,56,8512,0,4,-36,2680,28,36,0,0,0,236,0,0,ND,ND,ND,ND,ND,ND
1955:Q1,12772,12772,0,0,12772,980,0,0,360,44,8280,0,16,392,2280,36,36,0,0,0,348,0,0,ND,ND,ND,ND,ND,ND
1955:Q2,13356,13356,0,0,13356,-64,0,0,236,32,10144,0,28,152,2120,36,40,36,0,0,596,0,0,ND,ND,ND,ND,ND,ND
1955:Q3,12484,12484,0,0,12484,-744,0,0,40,32,10024,0,28,-68,2148,44,44,84,0,0,852,0,0,ND,ND,ND,ND,ND,ND
1955:Q4,11708,11708,0,0,11708,344,0,0,0,44,7460,0,24,-8,3484,48,36,224,0,0,52,0,0,ND,ND,ND,ND,ND,ND
1956:Q1,11036,11036,0,0,11036,1376,0,0,-60,52,6816,0,16,-8,2760,52,40,280,0,0,-288,0,0,ND,ND,ND,ND,ND,ND
1956:Q2,11388,11388,0,0,11388,72,0,0,-48,48,8008,0,12,508,2396,60,36,308,0,0,-12,0,0,ND,ND,ND,ND,ND,ND
