1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q4,6264541,4000032,477456,1020699,2501877,978788,947655,717600,46301,520235,72716,78348,230055,192965,2107,34983,31133,23835,7298,-23053,615217,638270,1308774,1015565,424403,591162,293209,153003,140206,33221,157152,123931,6297762,-4255,-1746,160,5841,0
1992:Q1,6363103,4100401,496180,1037669,2566552,956816,956570,714208,47053,522346,67702,77107,242362,204439,2232,35691,246,-6642,6888,-20536,625287,645823,1326422,1026911,425612,601299,299511,154720,144791,32733,154791,122058,6395836,-4277,-1755,208,5868,-44
1992:Q2,6470765,4155660,500989,1047218,2607453,1013085,989876,736717,47960,539411,68744,80602,253159,214727,2051,36381,23209,13717,9492,-32788,626163,658951,1334808,1037683,424867,612816,297125,156037,141088,32056,157094,125038,6502821,-4268,-1764,208,5856,-32
1992:Q3,6566640,4226971,512092,1061050,2653829,1024161,1003649,748536,47706,548804,71653,80373,255113,216622,1936,36555,20512,14862,5650,-38488,639365,677853,1353996,1059861,437285,622576,294135,156915,137220,29210,148901,119691,6595850,-4259,-1740,180,5843,-24
1992:Q4,6680802,4307205,523064,1074810,2709331,1057962,1036618,768287,46780,564437,72789,84281,268331,227668,2063,38600,21344,17921,3423,-47140,641396,688536,1362775,1069076,440473,628603,293699,157904,135795,30309,147421,117112,6711111,-4251,-1721,160,5832,-20
1993:Q1,6729458,4349515,527852,1079129,2742534,1083829,1047889,776488,45777,565192,81227,84292,271401,229452,2042,39907,35940,38686,-2746,-55704,643606,699310,1351818,1063330,427837,635493,288488,152452,136036,37207,151953,114746,6766665,-4254,-1761,224,5835,-44
1993:Q2,6808939,4418581,547842,1086327,2784412,1094480,1070376,792371,45714,578523,77820,90314,278005,234681,2130,41194,24104,26892,-2788,-63187,653094,716281,1359065,1065872,425396,640476,293193,151340,141853,30651,154394,123743,6839590,-4270,-1689,156,5855,-52
1993:Q3,6882098,4487189,556638,1092528,2838023,1095852,1089254,798315,46530,583079,81419,87287,290939,246191,2197,42551,6598,16951,-10353,-68354,650897,719251,1367411,1076738,430681,646057,290673,148060,142613,36156,157411,121255,6918254,-4300,-1649,100,5897,-48
1993:Q4,7013739,4552651,573796,1105276,2873579,1153143,1136531,829642,46680,604710,86719,91533,306889,261438,2141,43310,16612,17132,-520,-73449,671600,745049,1381394,1086218,434042,652176,295176,150867,144309,20618,158642,138024,7034357,-4344,-1705,136,5957,-44
1994:Q1,7115653,4621223,588824,1116845,2915554,1201675,1156313,840715,46259,614178,85159,95119,315598,270831,2493,42274,45362,28645,16717,-80595,681232,761827,1373350,1089658,425463,664195,283692,141584,142108,27358,165407,138049,7143011,-4419,-1518,-68,6037,-32
1994:Q2,7246932,4683163,598721,1128094,2956348,1264949,1183538,855609,47185,623710,89809,94905,327929,282213,2422,43294,81411,62164,19247,-90572,706988,797560,1389392,1099099,425246,673853,290293,144128,146165,22849,176130,153281,7269781,-4492,-684,-936,6136,-24
1994:Q3,7331074,4752761,609310,1149581,2993870,1251748,1198525,872098,46781,638246,91641,95430,326427,279509,2577,44341,53223,41020,12203,-96868,736883,833751,1423433,1121368,437075,684293,302065,149443,152622,21295,190952,169657,7352369,-4580,-3065,1408,6257,-20
1994:Q4,7455289,4826713,631830,1163010,3031873,1307566,1232424,906989,47103,669315,91658,98913,325435,275256,2953,47226,75142,67751,7391,-101913,758646,860559,1422923,1122279,429507,692772,300644,146289,154355,20361,205683,185322,7475650,-4684,-1579,-108,6399,-28
1995:Q1,7522290,4862436,621252,1166855,3074329,1327586,1266407,944620,48439,699267,99163,97751,321787,267156,3261,51370,61179,62196,-1017,-105329,781570,886899,1437597,1130628,428942,701686,306969,150124,156845,29827,221252,191425,7552117,-4792,-1572,-164,6560,-32
1995:Q2,7580998,4933609,626914,1176984,3129711,1303989,1270230,956779,49008,714033,96817,96921,313451,257244,3150,53057,33759,43091,-9332,-109492,798851,908343,1452892,1142497,431908,710589,310395,149102,161293,32641,231696,199055,7613639,-4843,510,-2772,6629,476
1995:Q3,7683127,4998662,642543,1183692,3172427,1303249,1291923,965530,49133,723945,94347,98105,326393,267084,3182,56127,11326,27724,-16398,-74444,831399,905843,1455660,1148542,432233,716309,307118,147104,160014,18852,229867,211015,7701979,-4829,26572,-28348,6609,-4
1995:Q4,7772585,5055655,652242,1191651,3211762,1335135,1316704,982059,49225,736736,96079,100019,334645,274891,3157,56597,18431,20979,-2548,-69780,839421,909201,1451575,1145305,422809,722496,306270,144506,161764,30487,236517,206030,7803072,-4747,-1767,-432,6498,448
1996:Q1,7868468,5130615,659825,1211173,3259617,1355353,1348472,1003747,49153,750081,99995,104518,344725,286414,3082,55229,6881,5504,1377,-88795,847940,936735,1471295,1154479,424084,730395,316816,155745,161071,37266,240530,203264,7905734,-4856,-258,-1172,6294,-8
1996:Q2,8032840,5220499,676332,1239541,3304626,1418388,1387867,1026468,50273,767315,99728,109152,361399,302460,3115,55824,30521,18563,11958,-93709,859042,952751,1487662,1169909,430224,739685,317753,151918,165835,29006,239215,210209,8061846,-4709,-687,-700,6104,-8
1996:Q3,8131409,5274505,679382,1246505,3348618,1474350,1423280,1058965,52591,791479,102048,112847,364315,305475,3178,55662,51070,33427,17643,-114180,859577,973757,1496734,1175713,428780,746933,321021,148976,172045,25812,245765,219953,8157221,-4570,294,-1640,5924,-8
1996:Q4,8259771,5352763,689641,1268284,3394838,1480128,1445403,1083597,55324,808658,108073,111542,361806,302451,3403,55952,34725,28588,6137,-88822,903798,992620,1515702,1191454,434351,757103,324248,142562,181686,31392,260106,228714,8291163,-4442,14320,-15628,5758,-8
1997:Q1,8362654,5433105,705591,1281017,3446497,1522403,1472658,1107299,59023,830847,104454,112975,365359,303716,3784,57859,49745,45922,3823,-108839,918374,1027213,1515985,1196670,430183,766487,319315,140522,178793,23118,270176,247058,8385772,-4632,365,-1272,5603,-64
1997:Q2,8518826,5471267,696587,1277720,3496960,1590218,1501844,1129567,61686,847446,108359,112076,372277,308853,4058,59366,88374,80122,8252,-85201,954450,1039651,1542542,1218569,444505,774064,323973,142676,181297,30678,283027,252349,8549504,-4660,26743,-27644,5637,-76
1997:Q3,8662823,5579179,722779,1297345,3559055,1625251,1557316,1178364,65781,879571,115097,117915,378952,314902,4207,59843,67935,55362,12573,-96831,974057,1070888,1555224,1223760,439072,784688,331464,146975,184489,23080,286102,263022,8685903,-4845,3164,-4100,5861,-80
1997:Q4,8765907,5663610,737161,1307822,3618627,1644529,1566877,1181123,68335,874696,116487,121605,385754,322429,4202,59123,77652,67216,10436,-117014,968330,1085344,1574782,1243113,444514,798599,331669,144710,186959,16324,280978,264654,8782231,-5188,1172,-2188,6276,-72
1998:Q1,8866480,5721342,737702,1306679,3676961,1712324,1607224,1212378,71965,893836,117005,129572,394846,333098,4021,57727,105100,91436,13664,-135215,963021,1098236,1568029,1236791,427742,809049,331238,144422,186816,25354,289849,264495,8891834,-5344,1437,-2984,6879,12
1998:Q2,8969699,5832566,769238,1319924,3743404,1695773,1658433,1247103,74969,911353,120690,140091,411330,348962,3984,58384,37340,38007,-667,-162331,947295,1109626,1603691,1262624,440276,822348,341067,146789,194278,22496,293276,270780,8992195,-5751,9488,-11156,7403,16
1998:Q3,9121097,5926846,785044,1334820,3806982,1741622,1689202,1261652,75773,918236,128639,139004,427550,363454,4085,60011,52420,47424,4996,-174634,935263,1109897,1627263,1273083,436261,836822,354180,152369,201811,9570,282162,272592,9130667,-6097,6733,-8500,7848,16
1998:Q4,9293992,6028238,825189,1355160,3847889,1796964,1736947,1295444,78042,941947,124355,151100,441503,374566,4452,62485,60017,51727,8290,-178663,966337,1145000,1647453,1297932,447076,850856,349521,147127,202394,12225,281829,269604,9306217,-6381,-389,-1460,8214,16
1999:Q1,9411680,6102040,819948,1384945,3897147,1853062,1769668,1322305,78632,964087,127894,151692,447363,377649,4523,65191,83394,72258,11136,-212560,960764,1173324,1669138,1312069,444843,867226,357069,150298,206771,25931,297144,271213,9437611,-6487,-1755,-268,8502,8
1999:Q2,9526212,6230641,854805,1418267,3957569,1848342,1813230,1353960,79921,986521,133570,153948,459270,386186,4843,68241,35112,31937,3175,-247529,974597,1222126,1694758,1332246,445723,886523,362512,153523,208989,30921,313653,282732,9557133,-6614,-1249,-816,8668,11
1999:Q3,9686626,6335310,871191,1440072,4024047,1893735,1853219,1386594,80948,1010638,138155,156853,466625,391464,5017,70144,40516,43824,-3308,-276403,1005309,1281712,1733984,1363943,458379,905564,370041,155779,214262,28621,334162,305541,9715247,-6646,1335,-3436,8711,36
