1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2009:Q2,14381237,9805502,994700,2139774,6671028,1863650,2059651,1684966,149742,1193024,195537,146663,374685,305061,5180,64444,-196001,-170834,-25167,-358368,1521093,1879461,3070453,2423923,932341,1491582,646530,281148,365382,122766,660083,537317,14504003,-10441,2578,-4848,12712,-1
2009:Q3,14448883,9939406,1035104,2193373,6710929,1841416,2045422,1656037,148986,1175421,185023,146607,389385,318179,5489,65717,-204006,-174887,-29119,-423997,1594725,2018722,3092058,2447114,943685,1503429,644944,284568,360376,182426,700484,518058,14631309,-10329,-621,-1626,12576,0
2009:Q4,14651248,10004996,1014201,2222910,6767885,1998711,2050795,1659323,145421,1191608,169947,152347,391472,322096,5187,64189,-52084,-43400,-8684,-473255,1703508,2176763,3120796,2480682,967905,1512777,640114,288263,351851,175096,728789,553693,14826344,-10199,-989,-1229,12418,-1
2010:Q1,14764608,10101822,1021085,2245068,6835669,2038160,2039398,1659963,141968,1185083,180836,152076,379435,314781,4629,60025,-1238,3113,-4351,-509192,1759877,2269069,3133818,2500640,986329,1514311,633178,292029,341149,204285,740768,536483,14968893,-10155,-1291,-774,12238,-18
2010:Q2,14980192,10208145,1043901,2247333,6916911,2148794,2112087,1715746,141298,1236145,186118,152185,396341,330365,4946,61030,36707,39245,-2538,-542514,1819741,2362255,3165767,2517742,1006424,1511318,648025,298625,349400,206831,752536,545705,15187023,-10018,-325,-1729,12073,-1
2010:Q3,15141607,10300754,1052423,2262696,6985635,2236495,2123598,1762364,142473,1277630,187973,154288,361234,301756,4160,55318,112897,108266,4631,-553942,1877253,2431195,3158300,2508885,1006480,1502405,649415,297863,351552,198106,757947,559841,15339713,-9893,-888,-1129,11922,-12
2010:Q4,15309476,10430304,1078441,2320352,7031511,2238441,2171139,1801850,145443,1310691,190382,155334,369289,308544,4317,56428,67302,67122,180,-523586,1972116,2495702,3164317,2516921,1012398,1504523,647396,300480,346916,213311,788626,575315,15522787,-9780,-1816,-171,11786,-19
2011:Q1,15351449,10558195,1087927,2381108,7089160,2205963,2173885,1805118,146456,1315500,183291,159871,368767,307185,4345,57237,32078,29179,2899,-568477,2040407,2608884,3155768,2516417,1007763,1508654,639351,298211,341140,222887,803947,581060,15574336,-9722,-1716,-202,11665,-25
2011:Q2,15557538,10673018,1082903,2431554,7158561,2297352,2236305,1862009,151816,1359733,187958,162502,374296,310679,4561,59056,61047,56618,4429,-581092,2116132,2697224,3168260,2531981,1015442,1516539,636279,297283,338996,222471,829792,607321,15780009,-9611,-1228,-670,11532,-23
2011:Q3,15647682,10755029,1090755,2437020,7227254,2322841,2334873,1953756,157399,1426038,198351,171968,381117,315572,4790,60755,-12032,-9686,-2346,-567110,2156793,2723903,3136922,2501810,993514,1508296,635112,295137,339975,245818,845172,599354,15893500,-9491,-303,-1604,11387,11
2011:Q4,15842259,10809186,1112409,2448807,7247970,2504095,2400138,2008976,160151,1463163,207726,177936,391162,323218,5026,62918,103957,89763,14194,-601788,2150123,2751911,3130766,2495035,999670,1495365,635731,292031,343700,260552,832563,572011,16102811,-9361,-810,-1065,11231,5
2012:Q1,16068805,10959301,1138093,2490623,7330585,2567751,2487473,2073366,165406,1522221,198305,187434,414107,342384,5421,66302,80278,73721,6557,-602272,2189981,2792253,3144025,2517184,1006863,1510321,626841,289228,337613,246188,839378,593190,16314993,-9241,-247,-1344,11063,-231
2012:Q2,16207116,11005055,1133557,2482819,7388679,2636864,2545458,2126171,168227,1557264,209137,191543,419287,347094,5421,66772,91406,88976,2430,-565241,2215586,2780827,3130438,2503340,998503,1504837,627098,290089,337009,228096,815594,587498,16435212,-9141,-536,-1264,10943,-2
2012:Q3,16319541,11059393,1141673,2490133,7427587,2644119,2559690,2125950,166233,1550485,215880,193352,433740,359584,5431,68725,84429,92019,-7590,-523083,2227734,2750817,3139112,2519684,1006456,1513228,619428,287333,332095,229211,826730,597519,16548752,-9081,-419,-1371,10872,-1
2012:Q4,16420418,11165703,1163561,2510497,7491645,2638282,2609548,2148622,167036,1553572,227587,200427,460926,383104,5450,72372,28734,39391,-10657,-515875,2237498,2753373,3132308,2521550,987061,1534489,610758,282508,328250,227267,827784,600517,16647685,-9062,2190,-3876,10849,-101
2013:Q1,16648188,11277664,1189742,2546973,7540949,2746419,2661196,2175318,187831,1556438,236742,194307,485878,403077,6125,76676,85223,72292,12931,-499348,2255929,2755277,3123453,2524169,966826,1557343,599284,273253,326031,215897,834466,618569,16864085,-9429,831,-1949,10567,-20
2013:Q2,16728685,11315681,1187617,2522891,7605173,2780241,2697549,2188629,185418,1555154,256607,191450,508920,422432,6575,79913,82692,62156,20536,-498380,2261403,2759783,3131143,2531613,963223,1568390,599530,269338,330192,229015,845848,616833,16957700,-9259,1873,-2990,10376,0
2013:Q3,16953837,11408359,1191933,2553343,7663083,2892354,2755705,2230759,186807,1585248,264734,193970,524946,435561,6904,82481,136649,107135,29514,-482067,2285116,2767183,3135191,2530733,948818,1581915,604458,270822,333636,240418,850458,610040,17194255,-9170,2537,-3615,10277,-29
2013:Q4,17192018,11551229,1197851,2578383,7774995,2934291,2816948,2290541,188712,1640027,263939,197863,526407,436083,7016,83308,117343,94117,23226,-434019,2349240,2783259,3140517,2536463,946843,1589620,604054,270411,333643,235620,857920,622300,17427638,-9162,263,-1358,10268,-11
2014:Q1,17197737,11646001,1207539,2602782,7835680,2922764,2870769,2335499,186841,1690054,259136,199468,535270,442465,7261,85544,51995,46563,5432,-510088,2343602,2853690,3139060,2547392,950096,1597296,591668,262839,328829,237467,867822,630355,17435204,-9254,436,-1300,10261,-143
2014:Q2,17518509,11810451,1244233,2641621,7924597,3059096,2961342,2407208,191531,1755033,253797,206847,554134,457004,7631,89499,97754,83335,14419,-505404,2395168,2900572,3154366,2548426,943515,1604911,605940,267470,338470,228397,874590,646193,17746906,-9360,760,-1776,10379,-3
2014:Q3,17804229,11959790,1261260,2660653,8037877,3142048,3038113,2465578,195281,1795402,264152,210743,572535,471389,7977,93169,103935,90604,13331,-489358,2399191,2888549,3191749,2581399,963395,1618004,610350,267253,343097,252002,899782,647780,18056231,-9580,5295,-6336,10622,-1
2014:Q4,17912077,12081561,1276009,2652213,8153339,3172015,3086530,2492333,198598,1798572,282165,212998,594197,488988,8376,96833,85485,78270,7215,-530751,2376218,2906969,3189252,2571889,944142,1627747,617363,269578,347785,222768,883863,661095,18134845,-9912,-142,-1000,10990,64
2015:Q1,18063530,12119763,1291044,2605746,8222973,3282283,3107041,2497171,201768,1801525,274366,219512,609870,501286,8736,99848,175242,148223,27019,-526431,2299045,2825476,3187915,2574327,949261,1625066,613588,266977,346611,222741,853268,630527,18286271,-10066,-569,-761,11440,-44
2015:Q2,18279784,12264140,1317766,2641164,8305210,3291104,3139856,2510545,208499,1793409,282059,226578,629311,516526,9125,103660,151248,129262,21986,-509527,2300441,2809968,3234067,2601375,950781,1650594,632692,271606,361086,211983,872657,660674,18491767,-10375,120154,-121614,11791,44
2015:Q3,18401626,12382494,1326900,2666696,8388898,3303660,3176809,2521879,211053,1793711,283750,233365,654930,537153,9586,108191,126851,109944,16907,-538082,2260724,2798806,3253554,2615896,951078,1664818,637658,271320,366338,213160,876843,663683,18614786,-10596,-713,-734,12043,0
2015:Q4,18435137,12423353,1327463,2643739,8452151,3276880,3169730,2500420,212598,1781454,271149,235219,669310,548402,9871,111037,107150,91138,16012,-523238,2222279,2745517,3258142,2624356,955869,1668487,633786,274215,359571,232630,839572,606942,18667767,-10730,-985,-489,12195,9
2016:Q1,18525934,12523156,1338655,2632873,8551628,3244319,3181999,2488836,219132,1786083,242552,241069,693163,567267,10319,115577,62320,61176,1144,-511682,2181957,2693639,3270141,2621296,953919,1667377,648845,275730,373115,214626,859014,644388,18740560,-10900,-1102,-422,12463,-39
2016:Q2,18711703,12665124,1345902,2677922,8641300,3246383,3215897,2511643,221013,1805472,243212,241946,704254,575963,10603,117688,30486,27900,2586,-489370,2221936,2711306,3289566,2642923,955649,1687274,646643,274334,372309,215747,881354,665607,18927450,-11143,31314,-32948,12740,37
2016:Q3,18892642,12797126,1366320,2684449,8746357,3261574,3256248,2543679,223215,1827581,246465,246418,712569,582539,10829,119201,5326,4256,1069,-481229,2270000,2751229,3315171,2668281,967086,1701195,646890,274213,372677,219824,892685,672861,19112466,-11393,192,-1846,13026,21
2016:Q4,19089381,12921989,1375105,2710918,8835966,3360953,3302804,2571821,226741,1845069,253110,246901,730983,598232,11208,121543,58149,53080,5069,-530806,2268339,2799145,3337245,2680996,972610,1708386,656249,275871,380378,275263,938531,663268,19364644,-11650,-1351,-365,13320,46
2017:Q1,19280083,13097306,1385090,2759783,8952433,3363101,3356791,2603148,228883,1864585,265298,244382,753643,617538,11663,124442,6310,8823,-2513,-533420,2339728,2873148,3353096,2689905,969375,1720530,663191,279715,383476,272273,964255,691982,19552356,-11601,-1256,-637,13610,-116
2017:Q2,19438644,13188730,1394392,2768626,9025712,3432969,3407441,2640229,216316,1887316,292823,243774,767212,629869,11783,125560,25528,25158,370,-553499,2349681,2903180,3370444,2695724,973766,1721958,674720,286089,388631,264162,987137,722975,19702806,-11945,-1540,-588,14013,60
2017:Q3,19692595,13325065,1417806,2798223,9109036,3500142,3445283,2668855,216335,1912692,291831,247997,776428,638379,11690,126359,54859,50519,4340,-531498,2384524,2916022,3398886,2715851,976662,1739189,683035,287920,395115,308455,1059507,751052,20001050,-12387,5260,-7363,14531,-41
2017:Q4,20037087,13551401,1466355,2858582,9226464,3574446,3530448,2732168,223143,1967867,287261,253897,798280,656601,11609,130070,43998,40877,3121,-554897,2479107,3034004,3466137,2761375,994201,1767174,704762,296489,408273,326910,1113510,786600,20363997,-12926,-1798,-362,15164,-78
2018:Q1,20328554,13745074,1483333,2904589,9357152,3645635,3610589,2810324,237167,2035039,281529,256589,800265,658856,11124,130285,35046,32589,2457,-576031,2517268,3093299,3513876,2801299,1012349,1788950,712577,303844,408733,314822,1110850,796028,20643376,-13272,-2273,-111,15851,-195
2018:Q2,20580912,13891294,1488127,2921763,9481404,3662727,3666129,2846516,242463,2072951,268857,262245,819613,674968,10996,133649,-3403,811,-4213,-543823,2562172,3105995,3570714,2839147,1027140,1812007,731567,307586,423981,303471,1151025,847554,20884383,-13729,-1903,-751,16397,-14
2018:Q3,20798730,14002199,1491615,2930836,9579748,3788692,3690027,2870365,241367,2084931,276280,267787,819662,674947,10759,133956,98665,89800,8864,-618246,2535501,3153747,3626085,2885521,1045490,1840031,740564,313419,427145,268244,1131935,863691,21066974,-14031,-2266,-415,16758,-46
2018:Q4,20917868,14099199,1492248,2944320,9662631,3802029,3706704,2898677,244607,2084514,289374,280182,808027,664778,10469,132780,95325,88756,6569,-634207,2537415,3171622,3650847,2912959,1052690,1860269,737888,322662,415226,274692,1160824,886132,21192560,-14178,2353,-5057,16934,-52
2019:Q1,21104135,14148003,1481964,2946584,9719455,3850172,3734438,2929925,256622,2093736,289312,290255,804513,660591,10416,133506,115734,111427,4307,-598587,2544106,3142693,3704547,2939184,1067522,1871662,765363,333568,431795,291971,1176655,884684,21396106,-14128,2542,-5268,16925,-71
2019:Q2,21384777,14336764,1514365,3006352,9816047,3894869,3818646,2998527,258493,2118997,319130,301907,820119,672592,10845,136682,76223,76169,54,-615021,2545358,3160379,3768165,2998080,1091278,1906802,770085,320782,449303,291877,1197175,905298,21676654,-14145,-1917,-769,16945,-114
2019:Q3,21694283,14517726,1540970,3029264,9947492,3939339,3869539,3030936,257000,2129321,338253,306362,838603,687036,11569,139998,69800,69793,7,-584258,2532395,3116653,3821476,3040110,1099602,1940508,781366,333960,447406,279951,1172597,892646,21974234,-14186,-1589,-1164,16994,-55
2019:Q4,21902391,14667964,1553527,3043630,10070807,3885229,3858318,3012924,257849,2118094,329831,307150,845394,692123,12332,140939,26911,30251,-3340,-516146,2531943,3048089,3865344,3082281,1100458,1981823,783063,341497,441566,263783,1152421,888638,22166174,-14251,-2431,-398,17073,7
2020:Q1,21706515,14473122,1479785,3079696,9913641,3807760,3840708,2962222,264181,2086109,315715,296217,878486,719305,13722,145459,-32948,-19155,-13793,-518020,2416101,2934121,3943653,3139204,1115202,2024002,804449,349529,454920,272234,1074509,802275,21978749,-14207,-2315,-300,17180,-358
2020:Q2,19913146,13168944,1467597,2924255,8777092,3254274,3549233,2734417,242194,1935630,298006,258587,814816,666766,12685,135365,-294959,-242419,-52540,-531137,1811351,2342488,4021065,3207003,1204401,2002602,814062,365391,448671,180077,884887,704810,20093223,-14323,-2926,11,17321,-83
2020:Q3,21647644,14456175,1765961,3157371,9532843,3891230,3796371,2850464,247542,2023299,291112,288511,945907,775438,13619,156850,94859,84939,9920,-695747,2106577,2802324,3995986,3179680,1158296,2021384,816306,369433,446873,215855,991673,775818,21863499,-14467,6879,-11199,17495,1292
2020:Q4,22024502,14726685,1802238,3175600,9748847,4040154,3957371,2930676,256701,2093064,282504,298407,1026695,846731,12373,167591,82783,74317,8466,-760660,2266421,3027081,4018323,3187264,1156563,2030701,831059,374852,456207,191228,1020736,829508,22215730,-14637,-3012,91,17701,-143
2021:Q1,22600185,15217685,1924314,3317148,9976223,4031066,4075430,2993367,264425,2134968,289695,304279,1082063,896766,9235,176062,-44364,-39151,-5213,-792416,2382789,3175205,4143850,3320033,1241043,2078990,823817,368899,454918,230495,1092250,861755,22830680,-14630,15505,-18576,17940,-239
2021:Q2,23292363,15950863,2058403,3477974,10414486,4013283,4174509,3065155,247237,2198668,305221,314029,1109354,922831,6681,179842,-161226,-135239,-25987,-831971,2498270,3330241,4160188,3337106,1215517,2121589,823082,372940,450142,170467,1091523,921056,23462830,-14816,-3227,82,18168,-207
2021:Q3,23828974,16285113,1972724,3543159,10769230,4226608,4229884,3088878,241245,2223118,319564,304951,1141006,952219,5161,183626,-3276,-1809,-1467,-884277,2565968,3450245,4201530,3378145,1196207,2181938,823385,380215,443170,161093,1124926,963833,23990067,-14992,14503,-17749,18385,-147
2021:Q4,24654601,16718195,2070181,3662608,10985406,4594048,4338504,3166010,266057,2277695,317234,305024,1172494,978890,4862,188742,255544,219041,36502,-924289,2753126,3677415,4266647,3429798,1212688,2217110,836849,389769,447080,172053,1139840,967787,24826654,-15160,-3519,132,18591,-44
2022:Q1,25029117,17030634,2120715,3758540,11151379,4766754,4517777,3299767,286377,2384743,305160,323487,1218010,1015394,5848,196768,248977,220417,28560,-1089676,2837615,3927291,4321405,3473204,1206283,2266921,848201,395404,452797,148643,1154821,1006178,25177760,-15314,321057,-324245,18786,-284
2022:Q2,25544273,17415115,2122910,3891534,11400671,4739049,4618872,3403027,266898,2457326,345755,333048,1215845,1012804,6400,196641,120177,113032,7145,-1025567,3044272,4069839,4415676,3557149,1209447,2347702,858527,402818,455709,202009,1229380,1027371,25746282,-15467,13963,-17222,18974,-248
2022:Q3,25994640,17684189,2143128,3903684,11637377,4724622,4642294,3493149,273177,2518432,358822,342718,1149145,955092,6378,187675,82328,81945,383,-892026,3084498,3976524,4477855,3595511,1232355,2363156,882344,403970,478374,191254,1285534,1094280,26185894,-15615,87170,-90594,19155,-116
2022:Q4,26408404,17917039,2129012,3918633,11869394,4796161,4618418,3535959,273513,2547500,365504,349442,1082459,899900,6251,176308,177743,158929,18814,-877204,3013800,3891004,4572408,3654444,1267905,2386539,917964,423861,494103,185593,1340748,1155155,26593997,-15758,-3080,-409,19330,-83
2023:Q1,26813599,18269569,2194859,3938980,12135730,4725827,4702132,3641324,283393,2619009,380088,358834,1060808,888774,-2498,174532,23695,24433,-738,-825687,3064804,3890491,4643890,3702073,1302992,2399081,941817,427657,514160,158928,1390697,1231769,26972527,-15805,-3725,246,19499,-215
2023:Q2,27063012,18419007,2193586,3951071,12274350,4780289,4761733,3709121,288652,2666770,383564,370135,1052612,882134,-2566,173044,18556,14480,4076,-806092,2961759,3767851,4669808,3695458,1307174,2388284,974350,437155,537195,173088,1452748,1279660,27236100,-15944,-3793,266,19670,-199
2023:Q3,27610128,18679496,2204485,4027279,12447732,4915032,4813000,3730605,291536,2681048,388234,369787,1082395,899638,7016,175741,102032,83743,18289,-779231,3030751,3809982,4794831,3790156,1346278,2443878,1004675,445661,559014,164061,1499908,1335847,27774189,-16085,-151,-3511,19844,-97
2023:Q4,27956997,18914478,2202169,4053481,12658828,4954425,4884285,3783495,300425,2716899,392799,373372,1100790,904237,20450,176103,70140,59955,10185,-783734,3051660,3835394,4871828,3822650,1360076,2462574,1049178,459927,589251,160767,1485014,1324247,28117764,-16228,-3606,121,20020,-307
2024:Q1,28255929,19164218,2176619,4041513,12946086,5004419,4969533,3828106,303172,2749746,395859,379329,1141427,947319,10328,183780,34886,30794,4092,-850094,3080858,3930952,4937386,3877098,1375963,2501135,1060288,461193,599095,171565,1537330,1365765,28427494,-16269,-3942,11,20200,0
