1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q3,-1043,3158,68913,5651,7839,-1442,39653,7031,-1024,4650,-45,29041,3133,1380,1753,34,4558,172,26,-3186,2347,1014,641,8473,0,793,1162,6518,67399,69269,440,886,406,5392,65358,1271,-45,-4439,0,3091,5920,-32246,18796,-1870,-2727,891,-34,-5714,0,44565,6911,5721,17
2001:Q4,1725,3065,18642,7020,-2167,-435,17645,-19029,4551,3648,-346,28821,3711,-167,3878,-249,-11554,761,14,9238,2348,1014,651,-9355,0,-149,1160,-10366,24635,22289,-1587,354,-1883,22305,-25689,1281,-651,28159,0,2906,1123,23754,376,2346,4810,-1093,-1371,4653,0,22750,6915,5722,12
2002:Q1,2536,2803,75437,-1889,1658,5731,61240,-1151,8062,20126,423,33780,1239,625,614,34,4093,107,26,10826,2248,1019,1258,-12153,0,332,930,-13415,74839,75972,14976,616,284,26014,-14577,2983,-555,46231,0,8068,1422,20711,16030,-1133,-1855,1246,-524,-865,0,42795,4399,3354,17
2002:Q2,2005,2792,66691,-538,2783,2055,38721,1116,6611,14714,171,16109,1854,184,1670,175,5045,1783,61,2541,2250,1021,1251,7689,0,-130,929,6890,79219,78498,1468,317,-553,25429,46993,2979,-1431,3296,0,5211,6042,-21368,13411,721,-2288,1021,1988,11741,0,60984,4400,3354,16
2002:Q3,1795,2806,85153,9230,4752,2291,63255,1504,8976,21050,383,31342,1264,596,668,12,226,385,34,-11663,2247,1018,1247,10855,0,720,928,9207,78765,78994,-2478,505,-323,17752,53683,2972,-121,7004,0,3577,2623,-31549,32353,-229,-2300,1079,992,-7400,0,43021,4399,3348,15
2002:Q4,2109,2729,59819,-8704,-3519,-6549,62935,2111,9296,26415,291,24822,5140,836,4304,162,5045,225,98,4701,2248,1019,1262,-4244,0,-18,929,-5155,25216,25307,-1025,642,2498,395,42609,2988,910,-23710,0,3062,932,13288,-40992,-91,-45,-1544,1498,-35223,0,59483,4398,3351,14
2003:Q1,1343,2743,102364,8837,2287,7683,52929,-7376,506,6828,1584,51387,793,-384,1177,-80,1508,56,81,1538,2952,1132,919,21729,0,691,856,20182,101869,102307,5961,1137,-508,21134,18477,1444,-1990,56652,0,5784,2719,-1622,49771,-438,-1620,515,667,-1895,0,43361,6174,8409,22
2003:Q2,935,2794,83781,692,-4058,-2483,55756,-3212,-1796,6704,1703,52357,3838,464,3374,69,1597,297,192,13236,2953,1131,926,9635,0,341,856,8438,71290,71945,82,379,-423,21068,-5481,1455,139,54726,0,6538,2494,30212,15482,-655,-931,-1312,1588,-14350,0,51526,6175,8407,23
2003:Q3,458,2884,48884,2490,926,-1275,32321,372,-1089,2006,1395,29637,2706,-374,3080,18,839,179,242,14638,2950,1132,922,-9204,0,18,855,-10077,41482,42521,3151,809,-630,23242,4047,1450,326,10126,0,3982,7031,14057,-14944,-1039,-1540,142,359,-9828,0,48861,6171,8407,20
2003:Q4,522,2928,23405,589,-10442,-6517,22777,-7987,-6393,2508,1510,33139,4461,366,4095,33,-6649,308,137,18630,2952,1131,928,-4933,0,-96,855,-5692,25724,26435,-8368,646,-886,12896,4333,1454,-429,16789,0,5086,1286,31737,-21320,-711,144,-2062,1207,-87,0,54473,6174,8405,20
2004:Q1,2787,3008,94442,-1493,2961,1658,40017,-997,1505,2648,904,35957,1265,140,1125,-1,4189,-181,59,14601,5108,2237,1801,22221,0,-74,873,21422,98898,98900,653,-100,145,4766,34409,3745,1769,53513,0,7470,3054,-4502,47491,-2,-1132,-77,1207,4235,0,39905,12868,14650,39
2004:Q2,3496,3071,63691,4766,2098,-196,33105,-3375,-232,1864,936,33912,2920,1046,1874,79,3802,869,24,9414,5110,2237,1799,-2336,0,774,871,-3981,70115,59881,2244,696,1390,16349,27181,3745,-676,8952,0,4744,219,6262,-2273,10234,-1552,12474,-688,6849,0,51584,12869,14650,35
2004:Q3,4325,3184,61559,188,3428,-450,35228,-343,580,1494,926,32571,5131,1324,3807,55,2959,832,6,5918,5107,2236,1797,-876,0,335,872,-2083,63773,60397,-699,26,324,15087,42688,3743,-276,-496,0,3596,3428,-8290,770,3376,-1761,3609,1528,3355,0,51050,12865,14644,38
2004:Q4,4862,3254,50650,631,-5393,592,26270,-5929,-618,524,1009,31284,6731,1028,5703,-86,-5306,237,468,14408,5108,2236,1809,2945,0,470,871,1604,45695,45539,-3430,2493,896,15715,16608,3755,1090,8412,0,2939,5965,24379,-24871,156,-2316,2048,424,-3347,0,61490,12865,14646,35
2005:Q1,4865,2976,75170,-5790,3275,7189,44711,-5753,3621,10162,1075,35606,1648,344,1304,7,4804,357,-51,7865,1916,1066,763,7410,0,264,48,7098,68505,70489,6594,-489,-21,4575,31967,1721,-695,26837,-850,6813,1954,598,18322,-1984,-2422,553,-115,-4776,0,43614,-4557,4456,83
2005:Q2,4931,3058,34648,5904,-4294,-2198,19032,-799,3636,1214,542,14439,5037,1762,3275,-4,-600,597,-46,11115,1915,1063,769,-3642,0,710,47,-4399,37927,36942,-55,569,-808,1954,32995,1728,153,406,900,2537,1458,2044,-6533,985,-203,1908,-720,5152,0,40236,-4557,4450,85
2005:Q3,2242,3117,51436,1696,1411,-2732,27699,2274,4243,1987,608,18587,2875,518,2357,156,2305,1383,-2,4712,1916,1065,774,8178,0,-739,46,8871,49181,41544,813,88,685,10380,4177,1732,-818,24487,17,2912,5104,6766,9688,7637,-973,561,8049,-3130,0,27007,-4562,4453,82
2005:Q4,2003,3139,9807,-5508,-4398,-3279,11628,1159,3431,-1588,340,8286,6722,2119,4603,-181,-137,-923,-15,5778,1915,1063,771,-3629,0,640,47,-4316,7633,9262,196,119,-1045,2975,28260,1729,-343,-22629,799,2675,2398,6836,-35337,-1629,-966,-1481,818,-3309,0,40131,-4558,4449,81
2006:Q1,1847,2999,67656,2250,2631,-751,30544,1818,-455,6935,1290,20956,5197,1969,3228,-163,3740,-424,3,10348,5200,4793,1054,3234,0,199,1194,1841,71593,74859,3205,719,-482,28498,11470,3558,423,27468,44,4234,7571,1050,14569,-3266,-4977,2122,-411,2785,0,42295,13545,11300,131
2006:Q2,1300,3056,59613,711,7254,-136,17989,511,-754,-468,1685,17015,10910,3341,7569,-78,-12,-9,-86,7181,5194,4791,1046,4858,0,181,1193,3484,60090,56548,-600,345,1557,9612,26891,3550,-698,15891,-63,11394,4897,-3537,3200,3542,-4468,8435,-425,-1279,0,38350,13544,11287,130
2006:Q3,1938,3125,64935,675,5066,226,9944,1708,-734,-6080,-567,15617,7927,2775,5152,20,2559,796,18,6501,5197,4793,1050,20163,0,57,1194,18912,61295,57180,-3156,639,387,23060,14693,3557,514,17486,15,2107,3427,320,11617,4115,-2462,2766,3811,-4827,0,34291,13544,11296,130
2006:Q4,1928,3190,36698,5291,2341,598,-12662,649,-5014,-7357,485,-1425,6291,2392,3899,8,-7122,653,119,16215,5196,4791,1057,13922,0,164,1193,12565,35499,38843,926,1145,15,25599,2266,3561,2699,2632,-12,4220,2259,2264,-6099,-3344,-2643,-440,-261,-2461,0,30555,13541,11291,128
2007:Q1,-1531,3242,52710,3189,1333,-619,19565,3432,-4064,2236,1270,16691,5970,3454,2516,-97,6050,1664,63,6314,1843,2226,-134,5343,0,536,704,4103,50006,53312,-3478,1260,-544,13434,7555,3100,-1382,33367,42,2484,4510,7110,19221,-3306,-4557,135,1116,-7476,0,32312,10058,1175,133
2007:Q2,293,3289,59104,-2078,1587,890,15679,2804,-4363,1779,1325,14134,10536,4359,6177,-79,-13,1183,137,15141,1845,2225,-128,12179,0,30,703,11446,58901,59626,552,3227,377,17435,17634,3103,-1026,18324,-20,4329,1710,14966,-2661,-725,-4782,2095,1962,-3199,10080,57264,10059,1173,132
2007:Q3,2882,3337,55981,6887,950,109,17334,2094,-3542,2376,1074,15332,8671,3507,5164,14,1890,1596,250,8171,1841,2227,-132,6173,0,466,704,5003,53602,59686,775,6172,-74,12547,3976,3103,349,32838,1,2836,6455,7258,16288,-6084,-6057,-479,452,-2834,-4189,36714,10057,1170,133
2007:Q4,3749,3400,53069,-4955,2951,-132,-4788,5769,-5490,-1553,1049,-4563,11187,2033,9154,141,-3545,1374,150,19366,1843,2225,-138,27390,0,0,702,26688,40623,46660,1045,3385,-413,18526,22677,3095,622,-2277,-103,267,2882,2754,-8077,-6037,-5830,-2090,1883,-12097,-16809,51761,10055,1170,129
2008:Q1,-9306,3307,74244,5221,13119,356,16465,2759,7204,1232,1533,3737,10161,5060,5101,15,6817,1820,112,-3168,5295,3304,916,13811,0,1336,867,11608,61659,64602,1199,2984,-48,14902,37111,4244,-539,4749,-4,-1233,9385,-18847,15448,-2943,-6222,3958,-679,-25198,2425,38662,4113,20557,431
2008:Q2,-2700,3336,45102,9306,2566,170,18918,-368,14443,-8800,2606,11037,9836,4175,5661,-22,-9522,775,183,11055,5295,3305,926,-7689,0,392,867,-8948,38574,42616,2204,1315,-981,16353,9492,4255,-2008,11986,-431,4730,-371,-1096,9154,-4042,-2783,-992,-267,-12564,-4341,25741,4110,20559,430
2008:Q3,-22482,3336,48932,2438,2457,542,-3615,-6172,-523,10320,589,-7829,13033,8418,4615,-174,12691,1780,267,-7575,5293,3304,914,17577,0,-181,865,16893,19000,23200,-2091,8814,-1040,32488,73509,4242,-2312,-90410,29,-11938,2371,-22753,-58119,-4200,-1379,2521,-5342,-55750,-37261,78728,4112,20551,429
2008:Q4,-11005,3213,115180,9509,19254,4556,-935,-397,3505,4433,788,-9264,4213,2920,1293,-121,6684,547,349,-1343,5294,3302,902,62969,0,1625,866,60478,60565,55794,-8773,11029,228,27731,42852,4231,694,-22198,-13,-7722,199,-31860,17198,4771,1690,8867,-5786,-68833,-65289,39448,4108,20552,429
2009:Q1,390,3279,-38786,-13108,2874,4841,-24356,3559,7772,-414,2856,-38129,-9160,-5520,-3640,118,-4125,-703,29,-141,1940,-1583,604,3984,0,-493,434,4043,-6566,-8355,336,439,204,21719,-15445,307,-290,-15625,9,-10614,2919,11833,-19772,1789,-1450,1470,1769,29332,-9634,4892,19984,9371,407
2009:Q2,3530,3232,6173,-5009,-7179,-1804,25657,5532,5881,4168,6886,3190,-7398,-4035,-3363,196,4320,1882,18,18052,1940,-1583,633,-23552,0,-1654,433,-22331,11151,1217,-2397,-2041,1303,4183,-13836,337,398,13270,-10,-6865,1808,38717,-20380,9934,364,5402,4168,5276,4894,17698,19981,9366,409
2009:Q3,5779,3231,26337,-1862,-8493,844,28469,963,2396,740,4771,19599,-6957,-4486,-2471,131,-2766,1108,-77,11222,1939,-1584,650,3713,0,-382,431,3664,44227,34044,3481,-2716,1021,3402,-23348,353,88,51763,3,-8230,6034,37771,16185,10183,-132,3336,6979,20438,-2882,9171,19980,9365,406
2009:Q4,3501,3295,4555,-14008,-8923,-1392,40598,3064,5977,3896,7717,19944,-5285,1195,-6480,-17,5894,-1067,-257,13501,1940,-1584,624,-25469,0,-2355,433,-23547,-1797,1093,-1862,556,-604,13834,1685,328,1454,-14298,383,-6883,-686,25700,-32812,-2890,-1075,-1040,-775,-6146,-279,31005,19979,9366,406
2010:Q1,5811,2813,51358,-3002,-7426,1307,36336,-15144,7317,289,12160,31714,-5789,-974,-4815,61,13689,700,2,5400,-1624,-2247,-471,14422,0,2502,795,11125,35415,33682,-3371,-488,601,3148,18172,-1491,-479,17590,27,-2095,1168,5654,12836,1733,-1694,719,2708,-12945,3496,22590,3794,-4194,446
2010:Q2,4289,2823,62497,10383,-3651,-321,31922,3901,3783,1673,6410,16155,-3537,29,-3566,64,12431,934,9,7483,-1623,-2250,-522,11175,0,896,796,9483,67492,66635,716,-1257,329,5338,43024,-1545,46,19984,62,-6776,4756,-15753,37695,857,-3286,438,3705,6461,-193,26834,3788,-4194,444
2010:Q3,5129,2886,46827,1816,-5382,33,54376,7059,6867,952,12294,27204,1319,767,552,98,9162,233,52,4233,-1623,-2247,-449,-14794,0,-2900,794,-12688,49006,41369,1155,-231,492,15787,22159,-1470,1260,2217,11,-2182,6444,13692,-15748,7637,2018,1752,3867,4422,-1027,53976,3793,-4195,445
2010:Q4,1027,2944,3717,-7961,-4289,96,19922,-5149,3240,2336,5544,13951,-447,41,-488,140,10887,-366,-64,10357,-1624,-2250,-460,-20224,0,2153,794,-23171,38849,25651,-728,-113,184,2431,16466,-1480,-188,9079,-325,-3076,1507,10651,322,13198,-768,1775,12191,33216,860,28109,3787,-4198,443
2011:Q1,23,2973,42802,-4629,-1467,-3368,33932,-976,3001,-221,2791,29337,-164,-1026,862,113,4044,-80,55,-374,-731,49,253,15169,0,374,888,13907,40684,45429,2571,844,188,19856,6477,-2715,10,18198,62,-125,2890,11831,3540,-4745,-1826,-4665,1746,-5069,3620,33533,8992,-1627,663
2011:Q2,1459,3064,37959,1369,-1296,308,12808,-1476,1744,-1754,1910,12384,7374,2655,4719,110,4501,975,-208,781,-730,50,234,11683,0,481,887,10315,49582,46672,-245,50,1311,21367,14578,-2733,-161,12505,-795,-2336,2629,4756,8251,2910,-1935,1177,3668,10018,497,37906,8991,-1629,664
2011:Q3,1539,3193,102776,9909,1446,357,23174,4849,4650,-1065,1902,12838,9938,4113,5825,-28,-393,1377,1,-2625,-894,47,208,60259,0,-1250,888,60621,104649,107376,-1022,315,198,37549,38641,-2760,-1179,35634,133,-5096,6638,-1768,35727,-2727,-2997,-6802,7072,219,-1462,71514,8989,-1791,661
2011:Q4,5144,3285,30485,-3773,10848,-2615,5674,-15146,6038,-2428,2198,15012,6355,2196,4159,165,14181,706,-591,6880,-614,49,242,-7022,0,-70,886,-7838,28206,30990,596,330,2208,26671,4678,-2725,485,-1253,-583,356,2529,7967,-11522,-2784,-1832,1012,-1964,-419,-45382,38242,8988,-1516,662
2012:Q1,1835,3518,28983,-1469,-5629,2900,31226,1002,1592,-1604,3669,26567,2633,-1943,4576,380,-4068,1663,-30,472,3235,1125,2604,-6059,0,1836,965,-8860,28726,32699,2100,1264,-356,4373,39568,2631,857,-17738,50,-1253,2157,3133,-21825,-3973,-2393,-1006,-574,-1940,-425,41923,6254,1978,671
2012:Q2,5994,3601,-6984,4021,2444,215,-42089,6499,-4802,-12181,243,-31848,5424,1158,4266,2,531,1095,44,2338,2907,1123,2604,12357,368,1871,963,9155,2321,-3277,747,3547,125,-8346,-7292,2630,182,5130,2,2456,-1728,-3276,7676,5598,-2241,1331,6508,11698,6630,-21597,6256,1644,672
2012:Q3,5432,3601,39654,-3332,-2385,508,31961,4212,1205,-1193,2953,24784,4614,1304,3310,102,755,545,4,-3021,3080,1124,2604,3095,-2933,410,964,4654,-12833,52528,1582,-71,373,10385,11497,2631,457,25674,-11186,1113,6919,1614,27214,-65361,-1685,1516,-65192,-50656,6386,25246,6248,1822,669
2012:Q4,1679,3670,47550,2408,-881,-1312,23182,7272,2675,-2707,2349,13593,2883,1690,1193,191,771,1927,19,-284,2998,1123,2606,11919,0,-3451,963,14407,47257,47380,-2069,-1298,-803,11828,20606,2632,-287,16771,20,-2987,-425,171,19992,-123,-1595,1063,409,-2284,-1272,23922,6253,1733,669
2013:Q1,-2131,4103,22615,584,-10677,-3738,28331,-2720,-4093,-13,3454,31703,-2754,-3106,352,-503,-2920,-53,-106,-4796,5211,1457,-1095,13674,1,997,991,11685,25853,24331,8153,949,-389,7545,7375,-1706,-190,2594,-215,1010,1434,-603,968,1522,-1385,2476,431,-2995,203,8812,19942,3988,-1271
2013:Q2,-979,4054,35917,-10492,-229,750,28229,970,-2106,263,3236,25866,6761,1797,4964,188,-1341,887,7,-5477,5146,1455,-1096,11129,-1,1902,989,8239,30141,30749,583,1237,-671,12136,14617,-1705,-1901,6453,322,-6899,2821,-3702,13911,-608,-2261,2129,-476,-10810,1209,13111,19938,3916,-1269
2013:Q3,1336,4134,25871,8419,2111,205,22691,5098,-1915,-1588,2774,18322,8364,-431,8795,-251,-9673,1117,122,-7999,5198,1454,-1092,-4795,-1,-1005,990,-4779,26196,26448,-384,-923,-531,15528,18620,-1704,627,-4785,43,-1200,6680,-2487,-7821,-252,-2641,2027,362,-2473,-4049,26813,19935,3971,-1272
2013:Q4,4685,4224,57176,-6991,-3002,-3163,49830,7362,-4108,-822,5605,41793,9755,3170,6585,-57,4328,1575,802,-2032,5201,1455,-1095,570,-33,1109,989,-1495,25154,33452,-1671,678,-1668,15143,19949,-1705,141,2585,3,-1933,1600,1391,1524,-8298,-1987,-4254,-2057,-31562,4785,30275,19937,3970,-1273
2014:Q1,6767,4133,35463,6313,-922,-218,16651,-5240,2297,-756,1155,19195,5393,3238,2155,843,-9010,-1062,30,-12473,728,-1786,724,30252,0,980,1173,28099,34532,39056,32,379,22,15265,7087,718,134,15419,-3,-3065,5972,-4726,17241,-4524,-3725,-1033,234,1703,1610,15459,-1037,-5420,2549
2014:Q2,6893,4234,20273,-1218,-1019,-210,28036,-3173,2522,911,2170,25606,7005,1924,5081,-33,-9330,-458,71,-6574,738,-1787,722,4330,0,1374,1174,1782,28246,29049,2329,607,-8,18116,2853,716,-291,4727,-5,3922,5545,-3017,-1718,-803,-3028,1635,590,10632,2395,22768,-1033,-5410,2548
2014:Q3,7843,4336,39921,3214,2516,33,21573,-956,3314,-1291,2101,18405,10492,4202,6290,196,-1394,796,26,-10982,702,-1787,726,13810,0,-659,1170,13299,23935,26770,-672,335,806,19134,2209,721,-393,4630,-9,2971,2813,-1291,146,-2835,-4160,1391,-66,-12479,3014,19802,-1040,-5452,2549
2014:Q4,2999,4366,55877,-2608,3925,422,9430,496,6337,-12705,2728,12574,11948,3339,8609,-68,-4927,596,-38,-3968,715,-1787,723,41514,0,-470,1173,40811,45661,49879,-660,539,-899,23319,10978,716,43,15843,17,3821,791,-2890,14104,-4218,-3684,-557,23,-11583,-8888,32719,-1038,-5435,2546
2015:Q1,5491,4834,62727,43,-1858,-177,13728,-2799,1628,-4468,2543,16824,10764,5461,5303,-6,-5782,2736,121,-9706,4232,1291,3709,43632,0,1110,961,41561,58854,56952,258,2226,787,21461,-12,3984,1103,27145,-4,3044,3430,-1905,22580,1902,-5386,7003,285,-3216,19,23439,2608,-15294,-1880
2015:Q2,-294,4859,6529,-8242,-932,-264,23245,-3360,1195,-338,2491,23257,7626,-2776,10402,-256,-3459,725,351,-7290,4233,1291,3713,-14212,0,865,960,-16037,12073,12000,314,2216,-320,14584,23633,3983,87,-32497,81,-820,-124,-1444,-30190,73,-950,1057,-34,391,-3406,36592,2606,-15292,-1878
2015:Q3,922,4901,80141,11371,11300,437,36833,2833,4297,-2454,3108,29049,7475,-1892,9367,-713,26534,-193,25,-13077,4231,1290,3708,-9080,0,-220,961,-9821,68648,70515,-42,1028,-781,20543,29037,3984,-1313,18059,18,-3947,4394,-2366,19960,-1867,-2042,-39,214,-15472,-248,45554,2601,-15298,-1880
