1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2230,103,1618,12,0,-6,-10,-8,43,-1,-9,0,0,488,2230,1616,467,5,-56,111,0,0,1,7,0,8,0,0,71
1952:Q1,1790,43,1357,5,0,0,0,0,20,0,2,0,0,363,1790,1356,363,1,0,24,0,0,0,0,0,0,0,0,46
1952:Q2,345,55,-305,3,0,3,1,1,12,1,1,0,0,573,345,-305,561,2,0,15,0,2,2,3,0,3,0,0,62
1952:Q3,822,37,471,2,0,2,1,0,7,1,2,0,0,299,822,470,287,1,0,10,0,1,2,3,0,4,0,0,44
1952:Q4,488,-61,937,6,0,9,1,0,10,-1,3,0,0,-416,488,935,-432,1,0,17,0,0,2,6,0,6,0,0,-47
1953:Q1,833,68,357,4,0,2,0,1,25,1,3,0,0,372,833,357,359,2,0,29,0,2,2,3,0,4,0,0,75
1953:Q2,42,19,-427,3,0,3,1,2,16,1,4,0,0,420,42,-428,407,0,0,21,0,2,2,3,0,4,0,0,31
1953:Q3,668,63,218,2,0,4,1,1,9,1,3,0,0,366,668,216,352,3,0,10,0,2,2,4,0,4,0,0,75
1953:Q4,2191,-75,2688,3,0,5,1,3,10,1,7,0,0,-452,2191,2686,-466,2,0,14,0,0,3,4,0,4,0,0,-56
1954:Q1,-75,55,-472,5,0,3,1,1,28,1,4,0,0,299,-75,-473,284,1,-8,42,0,2,2,4,0,5,0,0,66
1954:Q2,-594,71,-1083,2,0,3,1,2,-3,1,3,0,0,409,-594,-1085,393,1,-21,22,0,2,3,4,0,4,0,0,83
1954:Q3,-432,71,-740,4,0,2,1,1,9,0,3,0,0,217,-432,-741,200,2,0,14,0,2,3,4,0,5,0,0,79
1954:Q4,839,-134,1137,12,0,3,-4,0,106,0,3,0,0,-284,839,1134,-302,2,93,27,0,2,2,5,0,5,0,0,-129
1955:Q1,259,77,-168,6,0,2,1,1,35,1,3,0,0,301,259,-169,283,2,0,42,0,2,3,4,0,6,0,0,86
1955:Q2,-872,84,-1501,1,0,3,2,2,27,1,4,0,0,505,-872,-1503,488,2,0,29,0,1,3,5,0,5,0,0,98
1955:Q3,-185,68,-647,3,0,4,1,1,12,1,4,0,0,368,-185,-648,349,4,0,14,0,2,3,5,0,6,0,0,80
1955:Q4,699,-122,1171,5,0,4,-1,1,18,0,6,0,0,-383,699,1167,-404,4,0,21,0,4,3,6,0,6,0,0,-108
1956:Q1,868,85,143,7,0,4,2,1,58,1,4,0,0,563,868,142,546,3,0,63,0,2,2,5,0,7,0,0,98
1956:Q2,-205,76,-989,6,0,2,1,1,24,0,3,0,0,671,-205,-991,652,4,-3,31,0,3,3,5,0,6,0,0,85
1956:Q3,611,68,-343,4,0,2,0,1,13,1,2,0,0,863,611,-344,809,3,35,14,0,3,3,6,0,7,0,0,75
1956:Q4,882,-95,1121,6,0,5,3,2,17,2,7,0,0,-186,882,1118,-208,3,0,23,0,2,3,7,0,7,0,0,-73
1957:Q1,1016,35,230,5,0,3,1,0,128,0,4,0,0,610,1016,230,593,4,75,52,0,2,3,6,0,8,0,0,43
1957:Q2,873,46,-424,2,0,0,1,1,22,0,3,0,0,1222,873,-425,1203,7,-7,24,0,3,3,6,0,7,0,0,52
1957:Q3,524,8,41,5,0,1,0,1,12,0,3,0,0,453,524,40,431,2,0,16,0,3,3,7,0,8,0,0,14
1957:Q4,553,5,452,7,0,5,6,5,19,-1,-7,0,0,62,553,451,38,3,0,23,0,2,4,9,0,9,0,0,14
1958:Q1,1143,68,684,5,0,0,1,1,55,0,0,0,0,329,1143,683,313,2,0,57,0,3,2,6,0,6,0,0,71
1958:Q2,751,75,38,3,0,1,0,0,10,0,0,0,0,624,751,36,601,0,-4,20,0,2,4,6,0,8,0,0,78
1958:Q3,1321,71,855,4,0,1,0,0,13,0,0,0,0,377,1321,854,354,10,-6,15,0,3,3,7,0,8,0,0,73
1958:Q4,899,-137,1216,6,0,-1,-5,-5,18,-1,2,0,0,-194,899,1213,-217,4,0,22,0,2,4,8,0,7,0,0,-144
1959:Q1,-72,100,-790,11,0,1,0,0,67,0,-1,0,0,540,-72,-792,516,5,3,72,0,3,4,6,0,9,0,0,102
1959:Q2,-1442,122,-2368,6,0,2,1,1,25,1,1,0,0,767,-1442,-2370,743,2,3,27,0,3,3,8,0,9,0,0,130
1959:Q3,-1004,92,-1628,3,0,2,1,0,17,1,2,0,0,506,-1004,-1630,484,12,-7,14,0,3,4,8,0,8,0,0,100
1959:Q4,-374,-163,238,4,0,6,1,1,26,0,7,0,0,-494,-374,234,-516,5,2,22,0,3,3,8,0,9,0,0,-144
1960:Q1,619,74,-136,8,0,3,0,1,99,1,3,0,0,566,619,-136,544,6,0,99,0,2,4,8,0,10,0,0,82
1960:Q2,-397,45,-905,5,0,4,2,1,21,1,6,0,0,423,-397,-906,323,-1,82,21,0,2,4,9,0,9,0,0,60
1960:Q3,324,62,-138,3,0,4,2,2,29,2,7,0,0,351,324,-139,328,12,4,14,0,3,4,8,0,10,0,0,80
1960:Q4,1904,11,203,6,0,4,-2,-1,27,3,13,0,0,1640,1904,202,1537,4,79,25,0,4,4,10,0,10,0,0,29
1961:Q1,-493,60,-1404,14,0,4,2,1,98,1,5,0,0,726,-493,-1406,697,5,0,108,0,3,4,10,0,11,0,0,75
1961:Q2,569,81,-232,2,0,3,0,1,19,1,2,0,0,692,569,-234,661,1,4,20,0,3,3,9,0,12,0,0,90
1961:Q3,1097,42,259,7,0,2,1,1,13,1,1,0,0,770,1097,256,738,15,-11,19,0,3,4,11,0,11,0,0,51
1961:Q4,2111,57,1521,13,0,-2,-11,-10,15,1,-7,0,0,534,2111,1519,332,4,172,24,0,3,5,10,0,12,0,0,30
1962:Q1,801,36,252,8,0,2,0,1,14,0,4,0,0,484,801,251,453,5,1,17,0,3,4,11,0,12,0,0,44
1962:Q2,138,68,-635,5,0,3,1,1,11,1,3,0,0,680,138,-636,648,1,2,13,0,3,5,11,0,13,0,0,78
1962:Q3,910,45,223,4,0,2,1,1,8,1,2,0,0,623,910,223,585,16,-11,11,0,4,5,12,0,13,0,0,52
1962:Q4,1825,67,631,5,0,8,6,5,16,2,11,0,0,1074,1825,630,917,4,124,18,0,3,3,12,0,14,0,0,100
1963:Q1,1388,48,413,11,0,2,0,1,11,1,3,0,0,898,1388,412,857,5,2,20,0,4,5,13,0,14,0,0,56
1963:Q2,692,106,-329,3,0,0,1,0,15,0,-1,0,0,897,692,-330,858,0,9,14,0,3,5,12,0,14,0,0,107
1963:Q3,1464,99,715,6,0,0,-1,0,22,0,-2,0,0,625,1464,714,581,19,-13,27,0,4,5,14,0,16,0,0,97
1963:Q4,2172,-55,1281,10,0,-6,-5,-5,-30,1,-9,0,0,990,2172,1279,887,4,9,33,0,3,5,14,0,15,0,0,-77
1964:Q1,1371,69,527,11,0,0,0,0,10,0,-2,0,0,756,1371,526,712,5,-14,35,0,4,4,15,0,16,0,0,68
1964:Q2,684,84,-436,5,0,2,1,1,15,0,2,0,0,1010,684,-438,916,1,51,22,0,4,5,14,0,17,0,0,92
1964:Q3,1450,42,486,5,0,1,1,1,-12,1,2,0,0,923,1450,485,876,21,-44,21,0,4,6,15,0,17,0,0,49
1964:Q4,2815,56,1715,6,0,-2,-7,-6,15,1,2,0,0,1035,2815,1713,924,8,54,26,0,4,5,17,0,18,0,0,46
1965:Q1,2319,137,612,12,0,2,1,1,30,1,1,0,0,1522,2319,611,1473,8,0,38,0,4,6,16,0,19,0,0,144
1965:Q2,1373,2,-63,5,0,-2,-1,-1,31,-1,-7,0,0,1410,1373,-65,1363,20,-5,24,0,4,4,17,0,19,0,0,-8
1965:Q3,2207,130,1101,3,0,-3,-1,-1,21,-1,-8,0,0,966,2207,1099,913,16,-5,19,0,3,6,18,0,20,0,0,118
1965:Q4,3034,102,2021,7,0,-8,-1,-1,17,0,-21,0,0,918,3034,2018,857,7,0,21,0,6,8,20,0,23,0,0,74
1966:Q1,1260,111,70,9,0,-3,-1,-1,98,-1,-6,0,0,984,1260,70,935,12,52,42,0,4,6,19,0,21,0,0,99
1966:Q2,1543,78,-131,2,0,4,1,1,96,1,6,0,0,1485,1543,-132,1436,14,38,44,0,5,5,19,0,22,0,0,92
1966:Q3,2822,-30,1627,4,0,3,2,2,47,1,6,0,0,1160,2822,1626,1093,18,14,31,0,4,6,21,0,24,0,0,-15
1966:Q4,3478,98,1812,4,0,15,9,8,23,2,29,0,0,1478,3478,1811,1533,8,-110,20,0,5,6,21,0,22,0,0,162
1967:Q1,2975,155,1409,8,0,4,1,1,32,0,3,0,0,1362,2975,1406,1273,12,33,44,0,18,8,7,0,7,0,0,167
1967:Q2,311,170,-772,7,0,1,1,1,6,1,-3,0,0,899,311,-776,798,24,17,31,0,19,8,6,0,9,0,0,175
1967:Q3,1613,108,211,4,0,2,1,1,21,1,-4,0,0,1268,1613,207,1133,9,80,26,0,20,9,8,0,8,0,0,113
1967:Q4,1372,115,-34,9,0,0,-5,-4,19,0,-11,0,0,1283,1372,-38,1180,12,41,32,0,22,8,7,0,9,0,0,99
1968:Q1,3904,278,2390,14,0,2,1,1,43,1,-3,0,0,1177,3904,2387,1076,11,40,58,0,24,9,7,0,9,0,0,283
1968:Q2,1369,105,-162,5,0,3,1,2,59,1,2,0,0,1353,1369,-165,1244,32,54,38,0,25,9,7,0,8,0,0,117
1968:Q3,2074,94,504,2,0,3,1,1,-172,0,8,0,0,1633,2074,500,1545,8,-146,3,0,27,10,8,0,8,0,0,111
1968:Q4,1402,137,294,11,0,2,-7,-4,-83,0,-2,0,0,1054,1402,290,948,56,-120,41,0,30,9,8,0,10,0,0,130
1969:Q1,3902,245,1090,11,900,3,1,2,63,0,1,0,0,1586,3902,1086,1486,14,22,79,0,31,10,8,0,10,900,0,256
1969:Q2,1819,172,-1244,18,900,5,2,2,51,2,3,0,0,1908,1819,-1248,1777,29,55,58,0,32,10,8,0,8,900,0,190
1969:Q3,2652,193,-197,7,900,5,1,3,25,1,3,0,0,1711,2652,-201,1589,9,50,32,0,36,10,8,0,9,900,0,210
1969:Q4,2362,286,340,3,900,13,9,11,69,4,20,0,0,707,2362,335,569,12,57,72,0,39,12,8,0,10,900,0,348
1970:Q1,6710,466,3243,12,900,5,2,2,-131,2,0,0,0,2209,6710,3236,1814,14,66,129,0,40,10,8,0,9,900,0,484
1970:Q2,2177,176,-1522,4,900,4,2,2,47,1,-2,0,0,2565,2177,-1528,2405,18,50,71,0,43,11,8,0,10,900,0,189
1970:Q3,2331,290,-1526,6,1800,4,1,1,20,2,-2,0,0,1735,2331,-1532,1574,6,48,60,0,46,10,8,0,9,1800,0,302
1970:Q4,2351,167,-693,11,1800,6,0,1,34,3,3,0,0,1019,2351,-700,826,24,69,63,0,50,13,9,0,10,1800,0,187
1971:Q1,1208,165,1311,15,900,4,2,1,40,1,4,0,0,-1235,1208,1309,-1400,17,35,85,0,53,11,9,0,10,900,0,179
1971:Q2,2805,119,-603,12,900,5,1,3,-6,2,6,0,0,2366,2805,-606,2182,20,49,34,0,57,12,8,0,10,900,0,139
1971:Q3,5201,-249,1235,5,1800,4,2,2,4,1,5,0,0,2392,5201,1232,2153,6,99,54,0,59,12,8,0,10,1800,0,-232
1971:Q4,1375,226,-293,8,900,-1,-15,-11,56,0,3,0,0,502,1375,-297,280,36,64,84,0,67,14,10,0,11,900,0,206
1972:Q1,-922,-185,928,19,900,5,2,2,101,2,4,0,0,-2700,-922,924,-2903,10,44,169,0,69,12,8,0,11,900,0,-166
1972:Q2,-188,189,-3091,11,900,4,1,2,48,2,2,0,0,1744,-188,-3095,1508,35,69,85,0,74,13,9,0,10,900,0,204
1972:Q3,4173,294,-109,6,1800,4,2,2,15,1,3,0,0,2155,4173,-113,1929,7,48,81,0,79,13,9,0,10,1800,0,310
1972:Q4,428,440,-2977,15,1800,-3,-17,-14,76,1,-8,0,0,1115,428,-2982,786,45,110,121,0,93,18,15,0,18,1800,0,404
1973:Q1,-15889,751,-2318,14,0,4,1,1,216,2,422,0,0,-14982,-15889,-2082,-15270,28,90,276,0,91,14,9,0,10,185,0,760
1973:Q2,4891,904,-284,13,900,14,6,7,130,4,316,0,0,2881,4891,-66,2597,62,76,158,0,96,15,9,0,11,980,0,953
1973:Q3,7917,373,4769,9,-450,14,6,6,137,5,951,0,0,2097,7917,4973,1779,52,103,173,0,103,14,9,0,10,278,0,423
1973:Q4,10829,39,6959,15,900,24,-19,-12,63,11,285,0,0,2564,10829,7140,2209,28,104,143,0,115,16,13,0,14,960,0,87
1974:Q1,-2338,1435,-5046,28,1350,14,-61,6,208,5,443,0,0,-720,-2338,-4880,-1066,23,97,307,0,118,16,9,0,12,1610,0,1416
1974:Q2,-3083,405,-7894,6,1800,57,-62,-52,217,-1,254,0,0,2187,-3083,-7727,1788,105,142,214,0,126,15,10,0,10,1806,0,428
1974:Q3,-732,1256,-8315,8,1350,56,-61,-53,182,-1,477,0,0,4369,-732,-8159,4011,49,82,244,0,135,17,9,0,12,1590,0,1278
1974:Q4,-1432,506,-6761,11,900,102,-57,-31,135,-5,367,0,0,3401,-1432,-6617,2895,49,216,206,0,144,16,10,0,11,981,0,657
1975:Q1,2729,90,-3520,5,1350,56,36,31,95,0,485,0,0,4101,2729,-3393,3638,40,152,178,0,155,16,10,0,12,1700,0,221
1975:Q2,1837,610,-5158,7,1800,5,36,31,10,0,269,0,0,4227,1837,-5062,3779,31,119,111,0,165,18,10,0,11,1965,0,690
1975:Q3,1187,-13,-2687,5,1800,5,36,31,61,1,311,0,0,1637,1187,-2589,1090,31,200,167,0,176,17,10,0,12,2005,0,68
1975:Q4,6121,1058,-1737,15,1350,-47,37,30,192,0,844,0,0,4379,6121,-1612,3835,157,183,184,0,188,17,10,0,12,2060,0,1087
1976:Q1,1040,1079,-5179,16,900,5,35,43,185,1,-76,0,0,4031,1040,-5480,3486,57,155,291,0,202,18,11,0,12,1120,0,1168
1976:Q2,253,702,-4371,14,810,25,52,44,74,2,300,0,0,2601,253,-4350,1820,58,364,189,0,216,20,10,0,12,1052,0,862
1976:Q3,3138,632,-2363,6,990,26,52,44,63,1,170,0,0,3517,3138,-2429,2756,36,344,177,0,231,19,10,0,13,1188,0,793
1976:Q4,3436,315,-1588,18,1386,69,73,66,159,3,498,0,0,2437,3436,-1460,1590,127,238,270,0,302,32,26,0,29,1655,0,627
1977:Q1,-2601,614,-6975,7,1224,25,52,44,367,2,-123,0,0,2162,-2601,-7112,1481,76,185,487,0,263,20,11,0,13,1197,0,778
1977:Q2,2219,655,-3959,10,900,27,22,18,78,1,391,0,0,4076,2219,-3831,3322,50,227,239,0,283,20,11,0,12,1120,0,766
1977:Q3,4166,698,-599,16,900,27,22,19,48,1,218,0,0,2816,4166,-646,2009,18,243,263,0,302,22,10,0,13,1120,0,812
1977:Q4,9557,401,2912,13,2743,39,52,42,204,2,-95,0,0,3244,9557,2752,2412,127,215,322,0,333,23,14,0,15,2741,0,603
1978:Q1,4460,973,-3107,19,677,27,22,18,529,1,310,0,0,4991,4460,-2987,4259,79,292,690,0,170,32,42,0,-25,833,0,1075
1978:Q2,1638,1650,-6276,8,2061,34,58,49,200,4,-85,0,0,3935,1638,-6228,3328,116,142,328,0,176,34,44,0,-25,1887,0,1836
1978:Q3,2588,1894,-3361,6,868,35,58,50,207,4,263,0,0,2564,2588,-3254,1884,95,192,367,0,182,35,46,0,-24,986,0,2079
1978:Q4,5653,975,-2462,16,1592,61,83,73,287,9,210,0,0,4809,5653,-2619,4009,86,241,496,0,209,40,51,0,-20,1884,0,1276
1979:Q1,6920,889,-1446,35,533,119,151,49,418,4,317,0,0,5851,6920,-1439,5152,62,163,669,0,194,37,50,0,-23,822,0,1233
1979:Q2,-1067,2103,-12168,13,380,118,151,128,260,9,664,0,0,7275,-1067,-12003,6573,122,146,439,0,202,38,51,0,-23,727,0,2661
1979:Q3,3810,2125,-7802,9,1934,118,150,129,265,10,324,0,0,6548,3810,-7707,5824,89,133,496,0,208,40,54,0,-22,2011,0,2684
1979:Q4,3412,2054,-7940,10,2770,152,198,145,608,17,278,0,0,5120,3412,-7797,4340,216,110,747,0,238,45,60,0,-18,2623,0,2848
1980:Q1,-4388,1848,-12532,14,624,329,151,129,-166,-84,-539,0,0,5838,-4388,-13751,4982,140,216,45,0,223,42,59,0,-21,1041,0,2636
1980:Q2,3198,3800,-16177,10,2113,663,77,201,282,83,9294,0,0,2852,3198,-15946,2003,125,171,532,0,230,44,60,0,-21,2257,9175,4568
1980:Q3,-3322,2633,-13115,15,1434,756,69,107,156,206,730,0,0,3687,-3322,-13382,2682,91,287,470,0,239,46,64,0,-21,1743,719,3740
1980:Q4,7318,1999,-2519,19,97,-721,107,103,410,130,801,0,0,6892,7318,-2541,5959,271,121,590,0,274,52,71,0,-17,950,-895,2483
1981:Q1,8246,2336,-101,24,2586,854,62,31,298,-317,-50,0,0,2523,8246,-178,1543,100,195,654,0,254,49,69,0,-19,1517,1565,2497
1981:Q2,13499,3259,-305,19,2625,-1347,73,105,389,21,2942,0,0,5718,13499,-425,4576,154,323,705,0,265,50,72,0,-19,3317,279,4202
1981:Q3,15407,3390,5043,11,1495,488,126,88,280,125,3483,0,0,878,15407,4531,-296,154,316,617,0,272,51,74,0,-19,2436,2902,4369
1981:Q4,8584,6928,3935,21,4610,364,263,409,414,-140,-9493,0,0,1273,8584,3300,41,255,308,696,0,290,56,79,0,-17,5103,-10456,8929
1982:Q1,-3805,-557,-10267,20,-1686,1287,34,109,261,-80,1342,0,0,5732,-3805,-10632,4028,189,213,795,0,433,53,212,0,90,-804,1115,503
1982:Q2,-12016,845,-20138,29,-3370,1850,-24,166,177,170,2110,0,0,6169,-12016,-20205,4854,-43,285,607,0,308,34,195,0,135,-1995,2130,1679
1982:Q3,3297,1782,-16793,14,11113,1965,-28,-22,85,-184,456,0,0,4909,3297,-16801,3780,89,257,440,0,326,11,269,0,-164,10596,2297,2197
1982:Q4,-1740,603,-11164,18,6522,-2046,237,25,335,298,1242,0,0,2190,-1740,-10959,2399,150,252,311,0,-136,22,-254,0,-201,7030,-2162,1808
1983:Q1,-7711,822,-11948,34,-3853,-597,-14,30,-23,-87,1227,0,0,6698,-7711,-12261,4838,24,415,562,0,193,7,601,0,69,-2813,-895,1549
1983:Q2,-6886,1188,-15131,28,-451,591,-4,-12,75,141,933,0,0,5756,-6886,-15069,4682,-23,225,441,0,455,64,-31,0,46,-183,993,1514
1983:Q3,221,842,-15807,25,7753,0,211,-13,-25,174,481,0,0,6580,221,-16006,5452,35,349,286,0,327,45,20,0,66,8119,-190,1718
1983:Q4,11128,2400,-9443,19,7640,2835,47,63,177,-507,1631,0,0,6266,11128,-9448,5105,33,380,767,0,60,61,-8,0,64,8397,3285,2432
1984:Q1,666,2490,-7176,34,-5155,80,41,-122,226,963,2052,0,0,7234,666,-7493,6037,6,324,667,0,104,-7,550,0,-187,-4099,679,4086
1984:Q2,-16052,4091,-19563,42,-4144,-4221,-51,-61,217,56,-439,0,0,8022,-16052,-20058,6712,8,311,1190,0,311,27,-447,0,169,-2730,-5950,4406
1984:Q3,13071,2210,-18937,56,15348,5822,-129,-78,159,675,1790,0,0,6156,13071,-18499,5113,38,376,278,0,274,46,352,0,-106,14715,7148,3337
1984:Q4,3820,3615,-15303,29,10430,-76,75,984,285,-142,543,0,0,3381,3820,-15486,2274,28,415,635,0,16,197,138,0,-8,11104,-714,5222
1985:Q1,1254,3520,-10864,61,-436,1935,-54,-111,364,-77,2470,0,0,4446,1254,-10810,4147,16,335,870,0,-456,-57,14,0,2,627,3054,3512
1985:Q2,-1432,2622,-16467,34,2369,-253,-72,60,212,220,1495,0,0,8349,-1432,-16108,7106,-121,340,829,0,336,111,-8,0,2,3008,280,2794
1985:Q3,11654,2703,-8661,32,8426,1,213,330,100,-244,5958,0,0,2797,11654,-8516,2514,-105,336,-304,0,297,-1,158,0,34,8338,5279,3625
1985:Q4,31349,4434,16377,28,3261,1718,109,-67,125,-348,1970,0,0,3742,31349,16117,3918,-84,290,93,0,-361,-9,-64,0,112,4608,2099,4630
1986:Q1,15765,1659,-3699,40,8815,3113,-91,-344,158,-84,842,0,-45,5400,15765,-3264,3579,-200,208,587,0,228,-80,1263,0,13,7707,4226,1497
1986:Q2,15966,5145,-1306,-14,2264,-6546,8,113,245,-56,10325,44,-1568,7311,15966,-565,5931,21,394,461,0,314,-363,801,0,-17,1920,3032,4036
1986:Q3,16965,6303,302,42,3535,6172,34,1172,60,444,-4302,0,-1588,4790,16965,174,4766,-196,715,-91,0,450,72,-865,0,41,4042,772,7084
1986:Q4,10486,9363,-4510,25,4591,2624,167,703,68,1293,-1736,-2,-1247,-853,10486,-4843,1594,-226,165,-1818,0,-472,62,-8,0,-57,5082,-498,11505
1987:Q1,11475,7996,-7724,42,4095,663,-135,279,413,-483,2835,-1,-2595,6090,11475,-6914,4964,-205,189,1030,0,782,7,-249,0,27,4911,874,6059
1987:Q2,-2440,8196,-9625,45,-10257,3103,398,289,298,1228,45,0,-3681,7521,-2440,-9875,7513,-92,282,-541,0,373,4,337,0,-12,-11202,4226,6547
1987:Q3,16932,9502,-6510,48,4869,2354,50,-127,125,-986,-742,1,42,8307,16932,-6185,7295,-146,407,593,0,211,29,92,0,-1,5652,40,8946
1987:Q4,21076,3826,-2665,38,1597,1761,-587,465,458,-78,2608,34,6125,7494,21076,-5443,7409,-28,333,-569,0,235,-8,-1027,0,1645,1852,4442,12235
1988:Q1,16264,15774,-6324,48,-185,5757,277,296,515,638,4214,0,-7757,3012,16264,-6061,882,-74,279,995,0,869,71,936,0,-383,-591,8260,11082
1988:Q2,25014,17738,-4932,15,6645,4452,127,-228,338,59,1444,1,-5273,4628,25014,-4917,4247,11,298,-63,0,421,-44,314,0,-203,7670,5790,11490
1988:Q3,22161,12214,-7901,-13,5860,2512,101,326,541,-342,4055,25,-4306,9090,22161,-7837,7748,100,325,338,0,569,92,534,0,-88,6089,4969,9323
1988:Q4,4707,13958,-10638,16,3911,2390,532,919,570,-691,-1016,-20,-1147,-4077,4707,-10418,-4736,24,412,183,0,469,-152,365,0,-56,3802,535,14279
1989:Q1,24542,4012,-735,18,5282,4189,-94,488,188,2320,2415,0,-3696,10155,24542,-890,7997,-341,261,1118,0,384,-112,1027,0,27,5729,6225,3117
1989:Q2,12620,9183,-9607,14,4414,-1389,241,-55,-363,2672,810,-1,-2008,8709,12620,-10437,3901,-396,257,177,0,372,-103,4404,0,-252,4505,-527,10719
1989:Q3,8087,14250,-11627,53,-1192,-1626,649,381,-46,-2977,1266,0,-415,9372,8087,-11465,5408,-69,314,165,0,481,-179,3267,0,-8,-603,-1801,12578
1989:Q4,3679,15186,-8000,45,-130,2983,595,167,-374,3511,-4222,-35,-3916,-2130,3679,-8655,-2480,68,341,-1676,0,-373,202,1278,0,181,-1003,-1439,17236
1990:Q1,30705,12256,5313,70,4985,-2277,257,330,-1247,-661,1236,21,-59,10481,30705,5073,12037,-71,324,-323,0,604,72,-3439,0,100,4735,-1320,12913
1990:Q2,27227,10331,4942,31,3955,-1765,175,-158,-516,696,2716,1,-578,7396,27227,4471,7796,-72,307,-323,0,-155,-10,-655,0,23,3743,643,11458
1990:Q3,36114,18252,8406,55,1082,6021,286,40,-481,-1989,-1915,3,-8087,14441,36114,8037,11255,-73,461,-933,1,308,360,2554,0,82,1483,3720,8859
1990:Q4,17991,9715,8006,24,618,-2753,1095,1428,-287,-371,-423,89,-4509,5359,17991,5909,7947,-26,212,-358,1,582,160,-3533,0,111,-2497,556,8927
1991:Q1,31041,10816,4248,78,3236,-396,2069,345,-324,-2162,2806,1,-3168,13492,31041,4816,7087,-73,283,477,1,156,138,5126,0,51,3048,440,9491
1991:Q2,17691,-5166,4054,44,2313,-4448,-73,-37,-92,7168,2246,1,3114,8568,17691,4273,11942,58,425,-621,1,248,13,-3664,0,118,2233,-2209,4875
1991:Q3,36459,326,11372,20,3289,2229,680,1133,-3,-4477,3746,6,6454,11684,36459,11766,10396,58,341,175,2,-269,-155,976,0,177,2760,5364,4868
1991:Q4,36134,-702,10080,87,2578,3742,-455,6,-286,595,3767,-42,7798,8967,36134,10026,10385,140,455,-1522,2,-232,539,-1097,0,98,2459,6617,8265
1992:Q1,37329,3875,8760,93,5116,1065,184,299,-151,584,6099,-6,-2142,13553,37329,8733,7935,-70,314,327,2,197,131,4509,0,150,5820,5660,3621
1992:Q2,38709,4613,7947,87,9942,4192,72,368,-326,326,3130,0,-2263,10621,38709,7737,10714,-91,306,273,2,232,189,-1490,0,247,10028,6957,3605
1992:Q3,40252,814,12833,145,6924,412,52,-108,321,628,7269,-2,3455,7509,40252,13316,10373,93,381,895,3,-3619,-31,-176,0,56,7338,6440,5183
1992:Q4,28087,-3277,2487,77,6837,1726,66,462,-16,483,5111,9,7819,6303,28087,2414,4894,-2,426,136,5,36,-21,351,0,539,7704,3990,7615
1993:Q1,40656,1982,15953,133,8860,-9135,72,-942,308,-1657,11740,2,712,12628,40656,16951,13764,104,223,614,5,645,71,-2551,0,194,10002,-2898,3532
