1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q4,3989,0,0,0,0,0,0,42,0,3947,3989
1967:Q1,4046,0,0,0,0,0,0,-52,0,4098,4046
1967:Q2,4776,0,0,0,0,0,0,1118,0,3658,4776
1967:Q3,4156,0,0,0,0,0,0,31,0,4125,4156
1967:Q4,4279,0,0,0,0,0,0,218,0,4061,4279
1968:Q1,4288,0,0,0,0,0,0,42,0,4246,4288
1968:Q2,5068,0,0,0,0,0,0,1269,0,3799,5068
1968:Q3,4441,0,0,0,0,0,0,-9,0,4450,4441
1968:Q4,4600,0,0,0,0,0,0,34,0,4566,4600
1969:Q1,4773,0,0,0,0,0,0,127,0,4646,4773
1969:Q2,5491,0,0,0,0,0,0,1116,0,4375,5491
1969:Q3,5115,0,0,0,0,0,0,305,0,4810,5115
1969:Q4,5083,0,0,0,0,0,0,-29,0,5112,5083
1970:Q1,5760,0,0,0,0,0,0,38,0,5722,5760
1970:Q2,6769,0,0,0,0,0,0,1725,0,5044,6769
1970:Q3,6301,0,0,0,0,0,0,136,0,6165,6301
1970:Q4,6619,0,0,0,0,0,0,482,0,6137,6619
1971:Q1,6680,0,0,0,0,0,0,198,0,6482,6680
1971:Q2,7564,0,0,0,0,0,0,1857,0,5707,7564
1971:Q3,6935,0,0,0,0,0,0,231,0,6704,6935
1971:Q4,7293,0,0,0,0,0,0,557,0,6736,7293
1972:Q1,7159,0,0,0,0,0,0,-82,0,7241,7159
1972:Q2,8120,0,0,0,0,0,0,2134,0,5986,8120
1972:Q3,7338,0,0,0,0,0,0,270,0,7068,7338
1972:Q4,7477,0,0,0,0,0,0,671,0,6806,7477
1973:Q1,7457,0,0,0,0,0,0,-182,0,7639,7457
1973:Q2,8412,0,0,0,0,0,0,2315,0,6097,8412
1973:Q3,7504,0,0,0,0,0,0,-304,0,7808,7504
1973:Q4,7738,0,0,0,0,0,0,306,0,7432,7738
1974:Q1,7688,0,0,0,0,0,0,-386,0,8074,7688
1974:Q2,8720,0,0,0,0,0,0,3799,0,4921,8720
1974:Q3,7582,0,1501,1501,0,0,0,-2287,0,8368,7582
1974:Q4,7779,0,0,0,0,0,0,112,0,7667,7779
1975:Q1,7805,0,-1501,-1501,0,0,0,1092,0,8214,7805
1975:Q2,8771,0,0,0,0,0,0,5096,0,3675,8771
1975:Q3,7569,0,0,0,0,0,0,-1081,0,8650,7569
1975:Q4,7802,0,38,38,0,0,0,61,0,7703,7802
1976:Q1,8087,0,36,36,0,0,0,-774,0,8825,8087
1976:Q2,9230,0,22,22,0,0,0,6336,0,2872,9230
1976:Q3,7823,0,28,28,0,0,0,-1397,0,9192,7823
1976:Q4,8364,0,18,18,0,0,0,327,0,8019,8364
1977:Q1,8359,0,10,10,0,0,0,-1201,0,9550,8359
1977:Q2,9814,0,-146,-146,0,0,0,1608,0,8352,9814
1977:Q3,8670,0,32,32,0,0,0,6142,0,2496,8670
1977:Q4,9058,0,17,17,0,0,0,113,0,8928,9058
1978:Q1,9676,0,11,11,0,0,0,-1277,0,10942,9676
1978:Q2,11327,0,18,18,0,0,0,1441,0,9868,11327
1978:Q3,10077,0,33,33,0,0,0,6195,0,3849,10077
1978:Q4,10999,0,23,23,0,0,0,583,0,10393,10999
1979:Q1,10276,0,16,16,0,0,0,-1724,0,11984,10276
1979:Q2,11748,0,30,30,0,0,0,1465,0,10253,11748
1979:Q3,10477,0,40,40,0,0,0,7521,0,2916,10477
1979:Q4,11098,0,-221,-221,0,0,0,873,0,10446,11098
1980:Q1,10566,0,22,22,0,0,0,-2120,0,12664,10566
1980:Q2,11856,0,29,29,0,0,0,1168,0,10659,11856
1980:Q3,10612,0,22,22,0,0,0,9544,0,1046,10612
1980:Q4,11123,0,26,26,0,0,0,233,0,10864,11123
1981:Q1,10893,0,34,34,0,0,0,-2778,0,13637,10893
1981:Q2,12382,0,73,73,0,0,0,1141,0,11168,12382
1981:Q3,11014,0,-211,-211,0,0,0,11453,0,-228,11014
1981:Q4,11306,0,0,0,0,0,0,284,0,11022,11306
1982:Q1,11502,0,0,0,0,0,0,-2866,0,14368,11502
1982:Q2,13094,0,0,0,0,0,0,2032,0,11062,13094
1982:Q3,11737,0,0,0,0,0,0,12171,0,-434,11737
1982:Q4,11745,0,0,0,0,0,0,729,0,11016,11745
1983:Q1,12340,0,0,0,0,0,0,-2871,0,15211,12340
1983:Q2,13405,0,0,0,0,0,0,2361,0,11044,13405
1983:Q3,12111,0,0,0,0,0,0,12765,0,-654,12111
1983:Q4,13215,0,0,0,0,0,0,2287,0,10928,13215
1984:Q1,14478,0,0,0,0,0,0,-2147,0,16625,14478
1984:Q2,15563,0,0,0,0,0,0,3907,0,11656,15563
1984:Q3,14470,0,0,0,0,0,0,13417,0,1053,14470
1984:Q4,14725,0,0,0,0,0,0,3298,0,11427,14725
1985:Q1,15530,0,0,0,0,0,0,8601,0,6929,15530
1985:Q2,14852,0,0,0,0,0,0,3976,0,10876,14852
1985:Q3,15001,0,0,0,0,0,0,13902,0,1099,15001
1985:Q4,15063,0,14194,14194,0,0,0,-805,0,1674,15063
1986:Q1,16337,0,-25,-25,0,0,0,-2403,0,18765,16337
1986:Q2,15912,0,-14169,-14169,0,0,0,19636,0,10445,15912
1986:Q3,16043,0,15000,15000,0,0,0,-3528,0,4571,16043
1986:Q4,16101,0,0,0,0,0,0,15041,0,1060,16101
1987:Q1,15614,0,0,0,0,0,0,-3099,0,18713,15614
1987:Q2,15400,0,0,0,0,0,0,5661,0,9739,15400
1987:Q3,15190,0,0,0,0,0,0,13597,0,1593,15190
1987:Q4,15164,0,-155,-155,0,0,0,14264,0,1055,15164
1988:Q1,15812,0,0,0,0,0,0,-3991,0,19803,15812
1988:Q2,15982,0,155,155,0,0,0,6815,0,9012,15982
1988:Q3,15902,0,0,0,0,0,0,13264,0,2638,15902
1988:Q4,15810,0,-155,-155,0,0,0,16692,0,-727,15810
1989:Q1,16121,0,0,0,0,0,0,-4554,0,20675,16121
1989:Q2,16650,0,155,155,0,0,0,7859,0,8636,16650
1989:Q3,16360,0,0,0,0,0,0,12989,0,3371,16360
1989:Q4,16529,0,0,0,0,0,0,18108,0,-1579,16529
1990:Q1,16483,0,0,0,0,0,0,-5249,0,21732,16483
1990:Q2,16553,0,0,0,0,0,0,7037,0,9516,16553
1990:Q3,16618,0,0,0,0,0,0,13673,0,2945,16618
1990:Q4,16539,0,0,0,0,0,0,17893,0,-1354,16539
1991:Q1,16966,0,0,0,0,0,0,-6010,0,22976,16966
1991:Q2,17355,0,0,0,0,0,0,9370,0,7985,17355
1991:Q3,17437,0,0,0,0,0,0,14633,0,2804,17437
1991:Q4,17291,0,0,0,0,0,0,20365,0,-3074,17291
1992:Q1,17505,0,0,0,0,0,0,-6314,0,23819,17505
1992:Q2,17797,0,0,0,0,0,0,9689,0,8108,17797
1992:Q3,17844,0,0,0,0,0,0,15528,0,2316,17844
1992:Q4,17604,0,0,0,0,0,0,20884,0,-3280,17604
1993:Q1,17254,0,0,0,0,0,0,-7966,0,25220,17254
1993:Q2,17054,0,0,0,0,0,0,9563,0,7491,17054
1993:Q3,16804,0,0,0,0,0,0,14847,0,1957,16804
1993:Q4,16385,0,0,0,0,0,0,20634,0,-4249,16385
1994:Q1,16946,0,0,0,0,0,0,-7916,0,24862,16946
1994:Q2,16781,0,0,0,0,0,0,9425,0,7356,16781
1994:Q3,17281,0,0,0,0,0,0,14510,0,2771,17281
1994:Q4,16807,0,0,0,0,0,0,21623,0,-4816,16807
1995:Q1,17269,0,0,0,0,0,0,-8614,0,25883,17269
1995:Q2,17735,0,0,0,0,0,0,10026,0,7709,17735
1995:Q3,17759,0,0,0,0,0,0,14699,0,3060,17759
1995:Q4,17047,0,0,0,0,0,0,4715,0,12332,17047
1996:Q1,17434,0,0,0,0,0,0,4518,0,12916,17434
1996:Q2,17771,0,0,0,0,0,0,11800,0,5971,17771
1996:Q3,17347,0,0,0,0,0,0,13138,0,4209,17347
1996:Q4,17055,0,0,0,0,0,0,25604,0,-8549,17055
1997:Q1,17538,0,0,0,0,0,0,-9855,0,27393,17538
1997:Q2,17435,0,0,0,0,0,0,9503,0,7932,17435
1997:Q3,17341,0,0,0,0,0,0,15562,0,1779,17341
1997:Q4,16871,0,0,0,0,0,0,25091,0,-8220,16871
1998:Q1,17540,0,0,0,0,0,0,-11224,0,28764,17540
1998:Q2,19011,0,0,0,0,0,0,11063,0,7948,19011
1998:Q3,17946,0,0,0,0,0,0,14744,0,3202,17946
1998:Q4,17951,0,0,0,0,0,0,26635,0,-8684,17951
1999:Q1,18251,0,0,0,0,0,0,-10357,0,28608,18251
1999:Q2,18509,0,0,0,0,0,0,10182,0,8327,18509
1999:Q3,18547,0,0,0,0,0,0,14732,0,3815,18547
1999:Q4,18310,0,0,0,0,0,0,26565,0,-8255,18310
2000:Q1,17610,0,0,0,0,0,0,-11083,0,28693,17610
2000:Q2,18334,0,0,0,0,0,0,10379,0,7955,18334
2000:Q3,18427,0,0,0,0,0,0,14034,0,4393,18427
2000:Q4,18420,0,0,0,0,0,0,7572,0,10848,18420
2001:Q1,18591,0,0,0,0,0,0,8339,0,10252,18591
2001:Q2,19686,0,0,0,0,0,0,11641,0,8045,19686
2001:Q3,18502,0,0,0,0,0,0,13318,0,5184,18502
2001:Q4,18420,0,0,0,0,0,0,27537,0,-9117,18420
2002:Q1,18555,0,0,0,0,0,0,-12033,0,30588,18555
2002:Q2,18346,0,0,0,0,0,0,8834,0,9512,18346
2002:Q3,18623,0,0,0,0,0,0,11114,1500,6009,18623
2002:Q4,15593,0,0,0,0,0,0,16614,8287,-9308,15593
2003:Q1,17742,0,0,0,0,0,0,-22496,9499,30739,17742
2003:Q2,19481,1,0,0,0,0,0,10841,-1,8640,19481
2003:Q3,19842,0,7289,1138,0,0,6151,9502,-6190,9241,19842
2003:Q4,20712,36,633,107,0,0,526,26820,-1103,-5674,20712
2004:Q1,19549,35,67,13,0,0,54,-13783,-115,33345,19549
2004:Q2,20195,36,359,52,0,0,307,8049,-562,12313,20195
2004:Q3,20957,36,-116,-710,910,0,-316,15115,-67,5989,20957
2004:Q4,20550,68,-291,-949,76,0,582,32553,-630,-11150,20550
2005:Q1,20917,69,35,-1,-4,0,40,-11555,-242,32610,20917
2005:Q2,21329,68,28,-6,-4,0,38,8753,-65,12545,21329
2005:Q3,20560,68,97,337,1287,0,-1527,14034,-27,6388,20560
2005:Q4,20517,28,161,15,42,0,104,28750,-277,-8145,20517
2006:Q1,20168,28,436,47,89,0,300,-14147,-816,34667,20168
2006:Q2,20053,28,-28,-7,-21,0,0,4548,-163,15668,20053
2006:Q3,19852,27,-201,-172,-26,0,-3,14939,170,4917,19852
2006:Q4,19402,-13,620,48,234,0,338,30420,-770,-10855,19402
2007:Q1,20189,-14,127,11,25,0,91,-15287,-343,35706,20189
2007:Q2,20069,-13,554,47,134,0,373,-10568,-633,30729,20069
2007:Q3,20143,-14,-378,994,-249,0,-1123,16215,265,4055,20143
2007:Q4,19877,33,-336,-94,-102,0,-140,42950,200,-22970,19877
2008:Q1,19774,33,-707,-192,-212,0,-303,-15089,354,35183,19774
2008:Q2,19896,33,49,28,11,0,10,6572,-298,13540,19896
2008:Q3,19879,32,551,455,187,0,-91,18831,-798,1263,19879
2008:Q4,19353,203,-2050,-579,-589,0,-882,52996,1482,-33278,19353
2009:Q1,20090,202,-538,-106,-147,0,-285,-22065,-251,42742,20090
2009:Q2,18777,203,-1785,-1873,155,0,-67,6417,-992,14934,18777
2009:Q3,18781,202,743,1409,-370,0,-296,15960,-1349,3225,18781
2009:Q4,19125,-199,240,133,44,0,63,63701,-617,-44000,19125
2010:Q1,19807,-200,276,131,53,0,92,-16657,-187,36575,19807
2010:Q2,20320,-200,-2508,-2041,-145,0,-322,5926,670,16432,20320
2010:Q3,20327,-199,-272,-120,-186,0,34,16676,167,3955,20327
2010:Q4,20457,-17,578,244,74,0,260,61429,-968,-40565,20457
2011:Q1,21313,-17,172,76,23,0,73,-14124,-688,35970,21313
2011:Q2,21678,-17,-1970,-1878,-29,0,-63,-84850,-182,108697,21678
2011:Q3,21406,-17,-787,-791,-333,0,337,107190,-425,-84555,21406
2011:Q4,22224,-17,205,76,28,0,101,64343,-541,-41766,22224
2012:Q1,21335,-17,414,189,57,0,168,-16450,-1086,38474,21335
2012:Q2,21248,-16,-1899,-1538,-76,0,-285,7629,-71,15605,21248
2012:Q3,21115,-17,-618,-365,-235,74,-92,19732,-8,2026,21115
2012:Q4,20909,15,115,45,10,1,59,30827,-320,-9728,20909
2013:Q1,21440,16,263,76,26,2,159,11455,-702,10408,21440
2013:Q2,21479,16,-1245,-1386,8,2,131,-85770,-458,108936,21479
2013:Q3,21181,15,70,-7,-35,-5,117,-16808,-444,38348,21181
2013:Q4,21299,91,9627,9422,35,3,167,181471,-536,-169354,21299
2014:Q1,21487,91,-119,-26,-11,-2,-80,-12573,-399,34487,21487
2014:Q2,21685,90,-1351,-1369,8,0,10,4196,-377,19127,21685
2014:Q3,21337,91,-214,83,-222,-11,-64,19275,-229,2414,21337
2014:Q4,21031,-5,-167,-76,-14,-1,-76,59296,-163,-37930,21031
2015:Q1,20775,-6,-106,-35,-5,0,-66,-48834,-410,70131,20775
2015:Q2,20437,-5,-1150,-1267,0,0,117,-63350,-439,85381,20437
2015:Q3,19937,-5,114,-333,48,-1,400,-23431,-565,43824,19937
2015:Q4,19367,-25,2869,2735,14,0,120,209926,-420,-192983,19367
2016:Q1,19611,-25,-252,-57,-14,-1,-180,-14872,123,34637,19611
2016:Q2,18997,-24,-2111,-2011,-5,-1,-94,2325,-51,18858,18997
2016:Q3,18862,-25,389,25,210,22,132,17572,-688,1614,18862
2016:Q4,18372,59,271,85,17,3,166,80726,-563,-62121,18372
2017:Q1,18700,60,102,31,12,1,58,-42213,-731,61482,18700
2017:Q2,18161,59,-1529,-1548,7,0,12,-70062,-493,90186,18161
2017:Q3,18053,60,-360,-76,-24,-11,-249,121623,51,-103321,18053
2017:Q4,17762,-50,135,42,18,1,74,60700,-633,-42390,17762
2018:Q1,18115,-51,57,-1,-7,0,65,6584,-458,11983,18115
2018:Q2,17850,-50,-1041,-1116,1,0,74,1621,-283,17603,17850
2018:Q3,17499,-50,-61,-219,183,-21,-4,33271,-164,-15497,17499
2018:Q4,17299,-40,-650,-189,-104,-5,-352,84776,464,-67251,17299
2019:Q1,17523,-39,119,52,33,1,33,-40345,-576,58364,17523
2019:Q2,17721,-39,-1603,-1540,1,0,-64,-75617,-88,95068,17721
2019:Q3,17317,-40,-108,-160,36,-3,19,133623,-171,-115987,17317
2019:Q4,16804,40,271,80,41,2,148,95695,-763,-78439,16804
2020:Q1,16629,39,-1224,-416,-223,-8,-577,-10270,493,27591,16629
2020:Q2,15970,39,-1395,-1433,81,2,-45,-9168,-698,27192,15970
2020:Q3,16033,39,-338,-274,-140,-7,83,36452,-440,-19680,16033
2020:Q4,16126,129,373,100,62,2,209,86554,-1343,-69587,16126
2021:Q1,17922,129,655,125,59,2,469,-6220,-841,24199,17922
2021:Q2,16997,129,-1091,-1177,26,1,59,13001,-756,5714,16997
2021:Q3,18535,129,-1451,-189,-406,-11,-845,-11240,1332,29765,18535
2021:Q4,17846,-227,208,36,20,1,151,172621,-266,-154490,17846
2022:Q1,18065,-227,165,15,-1,1,150,4111,-496,14512,18065
2022:Q2,17704,-227,-1445,-1278,-43,-2,-122,22927,54,-3605,17704
2022:Q3,17889,-227,-9,-242,2,-3,234,50415,-595,-31695,17889
2022:Q4,18362,47,116,30,18,0,68,161227,-480,-142548,18362
2023:Q1,18892,48,-4,-1,4,0,-7,-45598,-459,64905,18892
2023:Q2,18551,47,787,671,13,1,102,39088,-517,-20854,18551
2023:Q3,18056,47,-282,-96,109,-5,-290,42526,26,-24261,18056
2023:Q4,18484,47,37,11,23,0,3,215774,-40,-197334,18484
2024:Q1,18507,48,157,25,17,1,114,-7459,-703,26464,18507
