date,LM263192305.Q,LM263192313.Q,LM263092313.Q,LM103092305.Q,LM763092305.Q,LM513092305.Q,LM543092375.Q,LM613092305.Q,LM663092305.Q,LM733092305.Q,LM103192305.Q,LM115114305.Q,LM753192305.Q,LM513192305.Q,LM543192375.Q,LM613192305.Q,LM663192305.Q,LM733192305.Q,LM503192305.Q,LM263092305.Q,LM263092323.Q,LM263192323.Q,LM263192005.Q,LM263092001.Q
1945:Q4,281,ND,ND,272,1,2,4,1,1,0,309,11,36,65,57,4,35,0,0,517,ND,ND,7227,2507
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,281,ND,ND,271,1,3,4,1,1,0,305,11,37,66,57,4,36,0,0,516,ND,ND,7227,2503
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,325,ND,ND,314,1,3,4,1,2,0,324,12,37,66,57,4,37,0,0,537,ND,ND,8366,2603
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,374,ND,ND,362,1,3,4,2,2,0,359,13,38,66,58,5,36,0,0,575,ND,ND,9625,2787
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,698,ND,ND,675,3,4,6,5,5,0,699,21,49,85,74,6,44,0,0,978,ND,ND,17944,4741
1955:Q2,718,ND,ND,693,3,5,6,5,6,0,723,21,50,85,74,6,45,0,0,1004,ND,ND,18469,4865
1955:Q3,733,ND,ND,707,4,5,6,5,6,0,740,22,50,86,75,6,46,0,0,1025,ND,ND,18852,4966
1955:Q4,754,ND,ND,728,4,5,6,5,6,0,746,22,53,93,80,6,47,0,0,1047,ND,ND,19395,5076
1956:Q1,777,ND,ND,750,4,5,7,5,6,0,769,23,53,93,81,6,48,0,0,1073,ND,ND,19981,5199
1956:Q2,804,ND,ND,775,4,5,7,6,7,0,789,23,54,93,81,7,48,0,0,1095,ND,ND,20679,5306
1956:Q3,838,ND,ND,809,4,5,7,6,7,0,804,24,55,94,81,7,49,0,0,1114,ND,ND,21540,5400
1956:Q4,875,ND,ND,846,4,5,7,6,7,0,819,24,54,95,82,6,46,0,0,1126,ND,ND,22505,5459
1957:Q1,900,ND,ND,870,5,5,7,6,7,0,827,25,54,95,83,7,47,0,0,1138,ND,ND,23140,5513
1957:Q2,949,ND,ND,917,5,5,7,7,8,0,838,25,55,95,83,7,48,0,0,1151,ND,ND,24411,5578
1957:Q3,968,ND,ND,936,5,5,7,7,8,0,840,25,55,96,83,7,49,0,0,1155,ND,ND,24882,5596
1957:Q4,988,ND,ND,955,5,6,7,7,8,0,873,25,52,93,80,6,49,0,0,1178,ND,ND,25394,5710
1958:Q1,1001,ND,ND,965,5,6,8,8,9,0,890,26,53,93,80,6,49,0,0,1197,ND,ND,25736,5800
1958:Q2,1026,ND,ND,990,5,6,8,8,9,0,910,26,53,93,80,6,49,0,0,1217,ND,ND,26385,5898
1958:Q3,1041,ND,ND,1005,5,6,8,8,9,0,928,27,53,93,80,6,49,0,0,1236,ND,ND,26777,5990
1958:Q4,1066,ND,ND,1028,6,6,8,8,10,0,930,27,58,103,89,7,48,0,0,1262,ND,ND,27409,6115
1959:Q1,1088,ND,ND,1049,6,6,8,9,10,0,956,27,58,103,89,7,48,0,0,1288,ND,ND,27971,6244
1959:Q2,1119,ND,ND,1080,6,6,8,9,10,0,987,28,59,103,89,7,49,0,0,1322,ND,ND,28769,6408
1959:Q3,1139,ND,ND,1099,6,6,8,9,11,0,1010,29,60,103,90,7,49,0,0,1348,ND,ND,29295,6534
1959:Q4,1160,ND,ND,1118,6,6,9,10,11,0,1017,29,61,107,93,7,49,0,0,1363,ND,ND,29827,6604
1960:Q1,1183,ND,ND,1140,6,7,9,10,11,0,1035,30,61,108,93,7,50,0,0,1384,ND,ND,30416,6707
1960:Q2,1197,ND,ND,1153,6,7,9,10,12,0,1045,30,62,108,94,8,52,0,0,1399,ND,ND,30773,6782
