date,FU263192305.Q,FU263192313.Q,FU263092313.Q,FU103092305.Q,FU763092305.Q,FU513092305.Q,FU543092375.Q,FU613092305.Q,FU663092305.Q,FU733092305.Q,FU103192305.Q,FU115114305.Q,FU753192305.Q,FU513192305.Q,FU543192375.Q,FU613192305.Q,FU663192305.Q,FU733192305.Q,FU503192305.Q,FU263092305.Q,FU263092323.Q,FU263192323.Q,FU263192005.Q,FU263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q4,-23346,-16928,6417,-19947,-398,-832,-181,-242,-1746,0,4501,14,-809,-528,-1045,1847,-90,596,0,4486,3795,-691,-70582,40514
2006:Q1,-13381,13682,27063,-11680,-714,-604,-163,292,-512,0,-4753,21,-57,1077,-482,337,-362,-59,0,-4278,6722,10999,63873,44719
2006:Q2,-8491,396,8887,-7266,-570,-443,-78,203,-337,0,14950,-62,337,1050,1557,711,627,27,0,19197,31112,11915,34235,69036
2006:Q3,904,2732,1828,853,-389,-10,20,269,161,0,13053,29,815,1400,387,586,657,-12,0,16915,18189,1274,76626,59951
2006:Q4,-422,-5104,-4683,-625,-303,-248,8,390,356,0,20063,82,786,4010,15,861,1324,32,0,27173,21027,-6146,57928,73620
2007:Q1,-19613,2907,22520,-17183,-53,-729,-97,1279,-2830,0,121,-11,-1901,-3041,-544,-28,356,69,0,-4979,33447,38427,106545,50862
2007:Q2,-13300,-3133,10166,-12470,-50,-460,-79,1442,-1683,0,11417,12,-1020,-247,377,1108,61,430,0,12138,16379,4241,92094,71471
2007:Q3,-2396,6301,8697,-2262,277,-170,14,1135,-1390,0,16420,-28,463,2,-74,720,56,19,0,17578,33454,15875,88158,90403
2007:Q4,17970,16586,-1385,14634,1025,592,141,1964,-386,0,11981,25,-5313,-1029,-413,1169,-221,-189,0,6010,26369,20358,118192,14978
2008:Q1,2438,18961,16523,1666,456,-272,15,618,-45,0,17888,-23,-185,-1208,-48,991,-56,-29,0,17330,14462,-2867,107171,91665
2008:Q2,4506,10847,6341,3691,439,-173,-22,588,-17,0,23628,39,-801,-146,-981,237,86,-65,0,21997,31353,9357,98661,71554
2008:Q3,-26164,-13714,12450,-21859,-706,-1001,-174,-1037,-1387,0,-6198,33,-2719,-1700,-1040,295,1919,2,0,-9408,-3869,5539,76973,68609
2008:Q4,-11829,-45141,-33312,-10811,412,-636,-121,-238,-435,0,-11131,-54,-873,-1988,228,-49,-831,12,0,-14686,-6075,8610,38136,86624
2009:Q1,22119,21010,-1108,17361,1879,596,118,589,0,1576,-10621,-28,1581,-1412,204,636,-1482,1028,0,-10094,-4864,5230,82723,2994
