1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7228,385,-444,0,0,-113,942,6744,553,414,-247,6024,75,25,50,24,0,7228,4429,2143,1637,506,119,414,256,36,80,65,0,19,-2,88,0,-30,0,-335,-335,0,202
1952:Q1,14788,968,-708,0,0,56,1620,13628,4176,900,-132,8684,160,56,104,32,0,14788,5652,3316,3264,52,5472,900,-256,52,-280,4,0,20,-40,20,0,-32,0,-20,-20,0,-276
1952:Q2,3516,1920,368,0,0,24,1528,1424,-728,-596,424,2324,136,44,92,36,0,3516,352,1356,1992,-636,-2180,-596,328,76,248,-36,0,20,40,24,0,-44,0,492,492,0,3764
1952:Q3,11480,1268,-692,0,0,744,1216,10328,4656,1356,1248,3068,-152,-56,-96,36,0,11480,4684,-460,348,-808,6560,1300,-40,92,-48,-36,0,20,-32,24,0,-60,0,1936,1936,0,-2500
1952:Q4,-3668,1200,1600,0,0,-720,320,-4952,-1776,-132,-708,-2336,64,20,44,20,0,-3668,-2124,-2960,-2476,-484,-368,-312,440,108,324,-8,0,20,60,24,0,-88,0,-1408,-1408,0,3064
1953:Q1,4836,144,-1196,0,0,-188,1528,3508,-2268,76,-476,6176,1176,-12,1188,8,0,4836,12500,-3984,-3648,-336,-3920,-112,-516,92,-624,36,0,24,16,16,0,-76,0,-676,-676,0,1544
1953:Q2,-10848,-48,-620,0,0,76,496,-9688,-9244,676,-272,-848,-1108,8,-1116,-4,0,-10848,-5808,4900,5192,-292,-11036,480,-56,72,-168,72,0,36,-8,20,0,-80,0,-188,-188,0,860
1953:Q3,17812,3052,1804,0,0,-60,1308,14824,11816,1196,-156,1968,-64,-4,-60,0,0,17812,3688,-1232,-1068,-164,16368,972,484,44,328,76,0,36,52,20,0,-72,0,-220,-220,0,-2248
1953:Q4,-11672,-3520,-2196,0,0,-348,-976,-8236,-3484,596,-404,-4944,80,28,52,4,0,-11672,-5244,-832,-840,8,-7540,320,884,12,740,40,0,28,112,20,0,-68,0,-724,-724,0,1464
1954:Q1,2072,1360,1844,0,0,260,-744,656,-900,1516,-216,256,28,-4,32,28,0,2072,3392,-2548,-2784,236,764,1280,-784,-16,-620,8,0,16,-212,36,0,4,0,40,40,0,-72
1954:Q2,5384,-828,-256,0,0,232,-804,6104,792,-1328,204,6436,68,20,48,40,0,5384,2904,3888,3392,496,-172,-1432,228,-44,164,-20,0,8,20,36,0,64,0,456,456,0,-488
1954:Q3,8264,-560,-768,0,0,-164,372,8732,-3936,-84,-884,13636,44,8,36,48,0,8264,9688,4688,4132,556,-4196,-8,120,-64,40,-20,0,0,96,-48,0,116,0,-1040,-1040,0,-988
1954:Q4,2836,376,188,0,0,-72,260,2256,4148,1320,1404,-4616,164,52,112,40,0,2836,-7664,2788,2376,412,2248,1644,452,-84,516,-4,0,-4,-12,-104,0,144,0,1384,1384,0,1984
1955:Q1,5048,264,1252,0,0,-432,-556,4788,-4848,-296,-940,10872,-40,-20,-20,36,0,5048,8644,3084,2764,320,-6180,-52,-624,-28,-716,40,0,-12,-40,44,0,88,0,-1392,-1392,0,1568
1955:Q2,1492,-1708,-2616,0,0,-12,920,3064,3876,116,264,-1192,108,36,72,28,0,1492,-3632,752,476,276,4736,-24,280,12,112,72,0,-24,8,92,0,8,0,288,288,0,-908
1955:Q3,3768,708,248,0,0,4,456,3060,-4104,1224,-204,6144,-36,-16,-20,36,0,3768,6592,1284,1020,264,-2072,668,444,48,284,76,0,-24,-20,148,0,-68,0,-216,-216,0,-2932
1955:Q4,-984,1348,324,0,0,100,924,-2428,3224,440,504,-6596,44,12,32,52,0,-984,-6924,-176,-448,272,2436,-516,696,68,420,44,0,-20,132,188,0,-136,0,616,616,0,2884
1956:Q1,9880,-408,448,0,0,-240,-616,10180,6196,1708,424,1852,44,16,28,64,0,9880,6768,-3272,-3420,148,5032,672,-1048,24,-860,16,0,4,-160,16,0,-88,0,200,200,0,1528
1956:Q2,-2500,1972,-544,0,0,-172,2688,-4664,-3244,1040,296,-2756,116,40,76,76,0,-2500,-4,-40,-116,76,-2932,244,20,-36,144,-8,0,12,-64,-4,0,-24,0,164,164,0,48
1956:Q3,-1464,-2020,148,0,0,112,-2280,356,-4084,-1912,-392,6744,112,40,72,88,0,-1464,3428,508,368,140,-2864,-2496,-12,-100,-8,-12,0,20,48,-4,0,44,0,-240,-240,0,212
1956:Q4,1772,552,168,0,0,-36,420,1056,1228,-132,780,-820,60,16,44,104,0,1772,-2840,2320,2000,320,-388,-532,940,-160,788,4,0,28,176,4,0,100,0,760,760,0,1512
1957:Q1,10196,316,176,0,0,108,32,9804,8204,304,-1292,2588,-48,-4,-44,124,0,10196,4856,-344,-824,480,9548,-124,-920,-108,-828,36,0,40,-188,44,0,84,0,-1188,-1188,0,-1632
1957:Q2,-7400,492,-500,0,0,440,552,-8108,-6836,2516,2032,-5820,72,32,40,144,0,-7400,-3236,-368,-924,556,-7484,1848,432,-44,272,60,0,56,28,24,0,36,0,2504,2504,0,-1096
1957:Q3,3028,580,404,0,0,-328,504,2172,1012,-3452,-8,4620,128,0,128,148,0,3028,2832,2920,2212,708,1112,-4424,144,28,32,60,0,56,-44,28,0,-16,0,-336,-336,0,780
1957:Q4,-7736,-1244,24,0,0,-60,-1208,-6792,-1720,1608,468,-7148,164,8,156,136,0,-7736,-8048,592,-328,920,-2632,260,820,92,568,48,0,36,128,16,0,-68,0,416,416,0,856
1958:Q1,11216,416,264,0,0,-412,564,10876,6092,-288,-1336,6408,-212,16,-228,136,0,11216,7840,-664,-2200,1536,5468,-1528,-444,104,-488,36,0,20,-116,40,0,-40,0,-1732,-1732,0,2276
1958:Q2,14044,-824,-1140,0,0,60,256,14856,15096,3680,996,-4916,-132,48,-180,144,0,14044,-8028,3228,996,2232,12924,3036,408,92,160,28,0,12,100,16,0,0,0,1104,1104,0,1372
1958:Q3,-14300,1212,120,0,0,172,920,-15784,-28484,-3100,-1580,17380,148,12,136,124,0,-14300,13960,6020,4100,1920,-25928,-3244,68,64,28,24,0,0,-120,24,0,48,0,-1396,-1396,0,-3780
1958:Q4,12420,-172,-48,0,0,-164,40,12404,8704,648,1804,1248,116,0,116,72,0,12420,-2860,1940,1340,600,8768,896,932,32,596,32,0,-4,184,4,0,88,0,1640,1640,0,1104
1959:Q1,6092,1628,560,0,0,144,924,3612,-1460,3712,-428,1788,804,60,744,12,36,6092,8020,-1636,-976,-660,-1580,4268,-508,12,-592,36,0,-12,-168,140,0,76,0,-224,-224,0,-2248
1959:Q2,620,-1096,-1168,0,0,-36,108,648,668,-1228,656,552,1120,68,1052,-56,4,620,4020,-2548,-580,-1968,-332,-444,308,0,-48,44,0,-28,148,144,0,48,0,688,688,0,-1072
1959:Q3,5308,1892,384,0,0,48,1460,2384,-100,240,-428,2672,1092,76,1016,-60,0,5308,7792,-4040,-1792,-2248,816,1488,-40,-12,-192,44,0,-28,-32,168,0,12,0,-304,-304,0,-404
1959:Q4,-3920,-176,-360,0,0,140,44,-2356,4092,-604,184,-6028,-1376,52,-1428,-12,0,-3920,-10116,-1720,-200,-1520,3728,1372,920,-32,604,32,0,-24,180,180,0,-20,0,376,376,0,1520
1960:Q1,860,-1196,16,0,0,-488,-724,1900,-20,388,-1756,3288,108,-12,120,44,4,860,4644,-2028,-992,-1036,128,2160,-896,-12,-728,12,0,8,-220,48,0,-4,0,-2256,-2256,0,-892
1960:Q2,4172,-952,-32,0,0,132,-1052,4928,4604,-1344,1072,596,120,-16,136,76,0,4172,276,-980,-208,-772,4304,-704,492,-4,244,-8,0,24,176,52,0,8,0,1188,1188,0,-404
1960:Q3,4960,1136,-24,0,0,-256,1416,3632,-2720,1836,124,4392,96,-16,112,96,0,4960,6100,404,960,-556,-1244,920,-48,0,-20,0,0,28,-168,76,0,36,0,-148,-148,0,-1024
1960:Q4,-2368,156,-92,0,0,104,144,-2776,1716,-16,1056,-5532,156,-16,172,92,4,-2368,-3112,-3928,-3520,-408,984,-2428,988,-4,588,40,0,28,192,88,0,56,0,1144,1144,0,3984
1961:Q1,6632,184,48,0,0,224,-88,6256,-4584,208,1828,8804,80,28,52,112,0,6632,6460,1748,1856,-108,-5530,-2280,-312,20,-392,88,0,32,-284,152,0,72,0,2080,2080,0,4466
1961:Q2,1756,1920,-268,0,0,-104,2292,-612,356,-196,-416,-356,316,24,292,132,0,1756,360,1432,1240,192,-894,-1344,696,28,152,132,0,36,136,140,0,72,0,-496,-496,0,2002
1961:Q3,14712,12,164,0,0,452,-604,14784,4544,1472,536,8232,-220,-84,-136,136,0,14712,3100,1104,832,272,8192,1544,580,40,156,136,0,36,0,148,0,64,0,904,904,0,-712
1961:Q4,996,1084,156,0,0,-300,1228,-368,-312,788,1800,-2644,148,-84,232,128,4,996,-11064,8520,8404,116,-1932,1968,1072,44,332,100,0,32,368,148,0,48,0,1416,1416,0,1016
1962:Q1,5576,548,-172,0,0,-128,848,4704,2752,-1656,1192,2416,204,68,136,120,0,5576,9276,-5320,-5380,60,1808,-320,-816,92,-692,68,0,32,-416,92,0,8,0,1132,1132,0,-184
1962:Q2,5028,4176,792,0,0,364,3020,564,3204,-912,-280,-1448,172,72,100,112,4,5028,-1460,1620,1584,36,2432,-356,432,136,-24,40,0,36,180,92,0,-28,0,156,156,0,2204
1962:Q3,464,-2600,-676,0,0,-320,-1604,3268,-3640,1640,-1800,7068,-324,-116,-208,120,0,464,-2020,5864,5872,-8,-820,1500,476,128,304,32,0,32,-56,96,0,-60,0,-2236,-2236,0,-2300
1962:Q4,10420,588,416,0,0,76,96,9880,2532,244,1504,5600,-192,-92,-100,140,4,10420,-7624,12120,12204,-84,394,-456,1200,68,672,48,0,20,372,100,0,-80,0,1488,1488,0,3298
1963:Q1,2996,4304,1104,0,0,-292,3492,-1144,-48,1020,-1080,-1036,-324,96,-420,160,0,2996,20840,-18464,-18368,-96,178,244,-1432,8,-908,56,0,16,-480,-140,0,16,0,-1276,-1276,0,2906
1963:Q2,10260,3892,32,0,0,0,3860,6128,6324,-920,1336,-612,56,8,48,180,4,10260,904,2064,2268,-204,6792,-1260,296,-44,64,56,0,8,344,-144,0,12,0,1344,1344,0,120
1963:Q3,5000,-204,248,0,0,-156,-296,5308,-5460,1044,-72,9796,-288,-96,-192,184,0,5000,4168,3320,3516,-196,-5800,1064,156,-64,416,68,0,4,-184,-148,0,64,0,-324,-324,0,2416
1963:Q4,2488,3208,-328,0,0,144,3392,-1056,-3256,3352,1112,-2264,168,64,104,164,4,2488,-7196,8552,8636,-84,-2940,3696,548,-56,464,84,0,-4,216,-160,0,4,0,1320,1320,0,-1492
1964:Q1,6460,2296,1164,0,0,-168,1300,3860,2704,3804,380,-3028,144,84,60,160,0,6460,3960,-9136,-9140,4,1136,2180,-832,-32,-688,116,0,0,-300,-16,0,88,0,296,296,0,8856
1964:Q2,7684,568,-220,0,0,88,700,6152,3480,-7648,1300,9020,804,16,788,156,4,7684,6384,4056,3940,116,4520,-5520,304,-24,-60,192,0,0,248,-32,0,-20,0,1404,1404,0,-3464
1964:Q3,22556,2852,-436,0,0,-84,3372,18476,-1216,4200,784,14708,1080,212,868,148,0,22556,13468,3328,3172,156,954,4100,-44,-28,140,28,0,0,-148,-16,0,-20,0,912,912,0,-162
1964:Q4,-1040,2492,872,0,0,376,1244,-4572,-5120,940,868,-1260,912,-20,932,124,4,-1040,1544,456,324,132,-4762,4288,884,-60,696,140,0,-8,144,-16,0,-12,0,1224,1224,0,-4674
1965:Q1,4088,2236,272,0,0,-272,2236,1140,3452,1176,-288,-3200,620,44,576,92,0,4088,3344,-3072,-3176,104,2012,-2756,-1528,-64,-808,-560,0,0,-256,136,0,24,0,-972,-516,-456,7060
1965:Q2,8828,-652,-172,0,0,52,-532,9968,11252,-3136,-340,2192,-540,-36,-504,48,4,8828,3644,-1404,-1524,120,9192,-3480,68,-88,-28,-96,0,0,108,128,0,44,0,-104,-324,220,912
1965:Q3,7636,4364,200,0,0,76,4088,4088,-17060,3492,800,16856,-880,-28,-852,64,0,7636,21968,-1736,-1844,108,-14738,3084,268,-84,68,128,0,4,-40,148,0,44,0,1080,848,232,-2290
1965:Q4,8612,1620,-932,0,0,-128,2680,6728,-1584,1368,500,6444,116,120,-4,144,4,8612,-2000,7872,7788,84,-2764,844,1808,-64,828,724,0,20,128,164,0,8,0,1020,492,528,1832
1966:Q1,2820,3724,940,0,0,560,2224,-1080,-5768,2496,-460,2652,-48,-4,-44,220,4,2820,6732,-9612,-9624,12,-5376,1992,-1520,-12,-1720,64,0,32,-116,156,0,76,0,340,96,244,10264
1966:Q2,18924,3428,1488,0,0,700,1240,13976,23520,-1040,-612,-7892,1228,84,1144,292,0,18924,-5704,-2308,-2280,-28,23154,-1388,-84,24,96,-664,0,40,232,124,0,64,0,476,172,304,4778
1966:Q3,-7260,2848,1380,0,0,-492,1960,-10392,-22120,16,912,10800,-32,-16,-16,312,4,-7260,13500,-2212,-2180,-32,-14228,-168,-12,28,248,-288,0,56,-232,104,0,72,0,620,404,216,-4760
1966:Q4,3348,-496,-3152,0,0,48,2608,3980,2236,1740,904,-900,-416,-104,-312,280,0,3348,-7196,11364,11356,8,-4974,1724,2056,-8,1552,156,0,76,128,72,0,80,0,1428,848,580,-1054
1967:Q1,11672,4512,2680,0,0,-84,1916,7120,-2156,-1136,-404,10816,-256,-32,-224,292,4,11672,13096,-1140,-1232,92,-2186,864,-396,-32,-956,264,0,156,-140,64,0,248,0,-380,-520,140,1814
1967:Q2,2916,6348,2940,0,0,72,3336,-5376,1004,688,-336,-6732,1632,64,1568,312,0,2916,-3576,1380,1260,120,2964,-1432,616,-64,304,60,0,32,-40,60,0,264,0,-36,-200,164,3000
1967:Q3,32356,-3396,-3160,0,0,104,-340,35796,2172,-468,936,33156,-352,52,-404,304,4,32356,22920,6932,6784,148,2808,2580,364,-56,188,172,0,-136,-40,84,0,152,0,1304,1092,212,-4552
1967:Q4,14336,4092,1040,0,0,-128,3180,10476,-52,2984,1048,6496,-504,16,-520,268,4,14336,8724,3484,3316,168,-1662,932,772,-24,580,48,0,-312,232,88,0,160,0,1360,936,424,726
1968:Q1,3436,3196,-236,0,0,208,3224,-1416,-3468,984,-328,1396,1436,160,1276,220,0,3436,4356,4404,4280,124,-8038,-2380,-1040,48,-1648,-92,0,248,-212,80,0,536,0,56,40,16,6078
1968:Q2,2576,2820,-1152,0,0,-68,4040,-3028,1932,976,-312,-5624,2696,252,2444,84,4,2576,-5808,828,656,172,-754,2100,1560,108,244,316,0,152,92,48,0,600,0,92,-128,220,4558
1968:Q3,37024,-608,-1388,0,0,-112,892,41100,9016,-4416,792,35708,-3652,444,-4096,184,0,37024,28976,2032,1856,176,15412,-4656,1724,108,836,132,0,104,12,36,0,496,0,1404,1124,280,-7868
1968:Q4,17400,764,-1500,0,0,296,1968,12064,-8376,7704,944,11792,4044,-32,4076,520,8,17400,8188,4212,4064,148,-15690,2292,1412,44,992,128,0,-208,120,68,0,268,0,1848,1208,640,15138
1969:Q1,-3788,5732,600,0,0,-292,5424,-16960,-1520,-300,-44,-15096,7340,112,7228,100,0,-3788,-7520,7496,7388,108,-3104,-476,-708,-4,-1340,-40,0,480,52,56,0,88,0,-128,-224,96,652
1969:Q2,8716,2580,2152,0,0,60,368,5540,4088,-420,-44,1916,432,-48,480,160,4,8716,-8672,8632,8552,80,4028,-536,-1196,-56,-520,16,0,-728,88,72,0,-68,0,448,-32,480,6012
1969:Q3,11588,1668,-1132,0,0,-36,2836,8644,-564,916,744,7548,1112,144,968,160,4,11588,7552,4684,4620,64,4624,828,868,-64,248,-20,0,56,712,108,0,-172,0,1252,852,400,-8220
1969:Q4,15740,3136,664,0,0,-132,2604,21428,-1828,2532,820,19904,-8932,12,-8944,104,4,15740,1744,1868,1804,64,664,7700,672,-40,1420,80,0,-80,-656,112,0,-164,0,1696,700,996,1396
1970:Q1,29652,11460,4268,0,0,316,6876,1892,5176,-148,80,-3216,15808,4,15804,488,4,29652,18480,460,348,112,16146,-160,-1244,68,-628,20,0,-292,-280,124,0,-256,0,588,400,188,-4618
1970:Q2,15936,-2092,-2648,0,0,-184,740,19208,7000,-64,52,12220,-1528,16,-1544,344,4,15936,19632,-2824,-2932,108,2006,-84,-592,136,-384,-444,0,280,52,156,0,-388,0,364,-116,480,-2566
1970:Q3,44140,4948,-3332,0,0,-180,8460,33816,1112,872,1048,30784,5108,44,5064,268,0,44140,39388,188,84,104,-1800,-4072,500,144,196,440,0,-128,28,196,0,-376,0,1348,912,436,8588
1970:Q4,-38724,-2044,184,0,0,-76,-2152,-34300,-1752,160,916,-33624,-2668,48,-2716,280,8,-38724,-47200,6360,6248,112,-2234,448,2220,96,1312,312,0,456,52,224,0,-232,0,1640,888,752,42
1971:Q1,27580,10084,3128,0,0,232,6724,11288,-13180,244,-1216,25440,6320,-24,6344,-120,8,27580,34788,-5900,-6012,112,-4570,5288,-368,92,-836,372,0,-144,52,228,0,-132,0,-716,-1008,292,-942
1971:Q2,40876,1584,1292,0,0,-128,420,32996,14660,-324,-1308,19968,6388,336,6052,-100,8,40876,18496,5368,5260,108,12136,-960,332,84,-268,24,0,272,-72,216,0,76,0,-428,-1100,672,5932
1971:Q3,29592,5632,-1876,0,0,4,7504,25504,1300,-480,308,24376,-2580,-300,-2280,1032,4,29592,28340,-4332,-4468,136,92,1952,1528,72,100,148,0,120,772,204,0,112,0,340,12,328,1672
1971:Q4,-25856,664,1044,0,0,368,-748,-17628,6144,168,232,-24172,-9516,724,-10240,616,8,-25856,-28248,-500,-692,192,6344,-2344,1436,60,1024,252,0,392,-536,204,0,40,0,1948,1324,624,-4492
1972:Q1,32648,-2232,-5580,0,0,-760,4108,52276,-5888,4180,1388,52596,-17096,164,-17260,-308,8,32648,24304,4216,3976,240,-11870,4084,-1400,48,-2396,432,0,620,-320,200,0,16,0,988,792,196,12326
1972:Q2,13144,360,-2200,0,0,92,2468,18240,-344,-3076,1508,20152,-5164,408,-5572,-300,8,13144,15884,836,524,312,-2288,-3372,1420,40,656,232,0,176,100,196,0,20,0,2684,2008,676,-2020
1972:Q3,27932,3408,44,0,0,-276,3640,24184,1828,3324,1344,17688,-620,1332,-1952,956,4,27932,-504,7928,7624,304,-6024,3196,936,24,376,424,0,-96,20,196,0,-8,0,2816,2400,416,19584
1972:Q4,23908,10984,3312,0,0,560,7112,2352,7228,-736,1328,-5468,9608,-680,10288,956,8,23908,14156,-2480,-2696,216,16272,-836,3384,12,2236,852,0,176,8,192,0,-92,0,2256,1208,1048,-8844
1973:Q1,24316,8876,6196,0,0,292,2388,19880,2116,388,-1036,18412,-4568,-696,-3872,116,12,24316,20416,-1372,-1888,516,9420,256,-1888,0,-1828,396,0,-620,140,188,0,-164,0,-1084,-1440,356,-1432
1973:Q2,24904,3436,-2524,0,0,-20,5980,17776,-5776,-820,2424,21948,4032,1344,2688,-352,12,24904,28564,776,232,544,-8948,-1012,432,-24,-92,508,0,208,-96,188,0,-260,0,4580,3748,832,512
1973:Q3,-19288,-6288,-10080,0,0,252,3540,-9376,-8948,-416,924,-936,-4488,-484,-4004,864,0,-19288,-15408,4200,3604,596,-25224,-748,684,-20,-264,1296,0,-256,16,184,0,-272,0,1104,692,412,16104
1973:Q4,36544,7404,4416,0,0,-800,3788,22360,8576,1148,6592,6044,6080,2788,3292,696,4,36544,15836,4148,3560,588,17728,652,3068,-8,2540,460,0,-224,332,180,0,-212,0,10736,8580,2156,-15624
1974:Q1,4300,7868,-12,0,0,476,7404,-2268,-5112,404,1832,608,-1192,-876,-316,-116,8,4300,12372,368,-1396,1764,-3082,-32,-2496,28,-2308,596,0,-740,-104,176,0,-144,0,1952,1432,520,-4782
1974:Q2,17832,3548,-3960,0,0,104,7404,-312,-2728,4008,1812,-3404,14704,2604,12100,-120,12,17832,7448,1616,652,964,-6422,3872,456,48,-168,944,0,-216,-216,172,0,-108,0,5460,4520,940,5402
1974:Q3,-4364,7484,2272,0,0,1036,4176,-1052,-4724,-4472,324,7820,-11024,-2080,-8944,228,0,-4364,-10004,9996,10612,-616,-10740,-4348,1312,56,204,1012,0,-140,88,172,0,-80,0,108,-720,828,9312
1974:Q4,10056,8872,3456,0,0,-724,6140,-1148,-7668,-148,4316,2352,2128,2480,-352,196,8,10056,12136,-7008,-5264,-1744,2026,240,3368,84,1984,1092,0,-64,180,168,0,-76,0,7728,6072,1656,-8434
1975:Q1,12836,13016,6308,0,0,316,6392,4044,-3652,2292,-6080,11484,-4940,-1496,-3444,700,16,12836,-13652,28964,29084,-120,9740,2756,-1008,-676,-1540,1040,0,252,-200,164,0,-48,0,-6808,-7260,452,-7156
1975:Q2,53036,5844,-204,0,0,-592,6640,38624,-5204,-1964,3112,42680,7840,1244,6596,712,16,53036,46716,6988,6768,220,-5408,-1600,1228,172,-268,1156,0,60,-16,164,0,-40,0,5108,3764,1344,4
1975:Q3,-1828,9644,5100,0,0,-592,5136,-7084,-1548,-812,-872,-3852,-5164,52,-5216,768,8,-1828,-14824,5248,4368,880,-1098,-512,260,288,-1008,1072,0,-144,-104,160,0,-4,0,-440,-1412,972,9538
1975:Q4,13592,14332,6676,0,0,712,6944,-6104,3636,944,2004,-12688,4568,928,3640,788,8,13592,-12944,3124,1780,1344,7718,1260,4420,616,2520,868,0,-84,308,156,0,36,0,5676,3644,2032,4338
1976:Q1,34484,13864,6624,0,0,-352,7592,19996,-3744,-2880,-1828,28448,468,-788,1256,-72,228,34484,23744,12840,11736,1104,5934,-2620,-1640,-780,-2516,868,0,-40,16,152,0,660,0,-2008,-2968,960,-1766
1976:Q2,40716,12524,7788,0,0,660,4076,26308,7532,-308,684,18400,1780,1224,556,-84,188,40716,24388,2704,1276,1428,11268,-168,1944,516,500,348,0,80,-80,148,0,432,0,4456,2568,1888,-3876
1976:Q3,532,5108,-2008,0,0,-104,7220,-6156,1868,1940,2952,-12916,772,100,672,604,204,532,-14068,7312,5040,2272,-848,1916,-1556,496,-1356,-340,0,-124,-192,148,0,-188,0,3916,2948,968,3860
1976:Q4,24720,11016,-64,0,0,448,10632,6436,-6012,-2796,4908,10336,6448,4876,1572,612,208,24720,9336,3712,728,2984,-934,-2968,3192,684,2464,-436,0,48,72,144,0,216,0,11692,10232,1460,690
1977:Q1,41132,3400,-1252,0,0,-784,5436,40740,852,2972,-2792,39708,-3276,-2980,-296,-48,316,41132,47720,-4260,-6408,2148,2134,2752,-3316,-580,-2964,-44,0,-120,-4,140,0,256,0,-6132,-6556,424,2234
1977:Q2,34112,23552,17440,0,0,640,5472,6740,-4112,300,1064,9488,3676,456,3220,-240,384,34112,8520,10184,7800,2384,5914,152,1992,520,652,272,0,256,-40,140,0,192,0,4128,2160,1968,3222
1977:Q3,36136,11944,-2592,0,0,-184,14720,14376,7412,556,-840,7248,9700,1248,8452,-264,380,36136,14532,8932,6032,2900,-1568,424,888,-268,452,508,0,80,192,136,0,-212,0,1460,224,1236,11468
1977:Q4,8900,-19780,-26984,0,0,212,6992,26504,13016,1104,9272,3112,1976,4288,-2312,-140,340,8900,-10940,10872,7576,3296,-8216,968,4524,1420,2604,564,0,-160,128,132,0,-164,0,15948,13772,2176,-4256
1978:Q1,13296,11508,824,0,0,-184,10868,3532,-15828,-176,-4016,23552,-2104,-2248,144,-76,436,13296,52460,-12416,-15608,3192,-5926,-292,-4112,-2020,-3040,436,0,208,-160,128,0,336,0,-5340,-6448,1108,-11078
1978:Q2,67348,25436,15900,0,0,-140,9676,38476,16040,300,1304,20832,2936,-1020,3956,-120,620,67348,18232,12800,9568,3232,18686,240,1976,572,648,348,0,220,136,124,0,-72,0,2388,144,2244,13026
1978:Q3,39492,21120,13272,0,0,-368,8216,15856,-2204,-12,-2676,20748,2172,-240,2412,32,312,39492,13668,12844,9544,3300,4326,112,2356,1592,-428,352,0,128,-200,124,0,788,0,-1252,-3284,2032,7438
