date,FL224090005.Q,FL223020043.Q,FL223030043.Q,FL223034005.Q,FL222051043.Q,LM224022045.Q,FL223069143.Q,LM223061143.Q,LM223061743.Q,LM223062043.Q,LM223063045.Q,FL223065043.Q,LM223064145.Q,LM223064205.Q,FL223090005.Q,FL223095505.Q,FL223073045.Q,FL223093005.Q,FL224190005.Q,FL224190043.Q,FL222000075.Q,FL223073045.Q,FL224090045.Q,FL224090055.Q
1945:Q4,12983,69,0,0,0,2508,0,1519,0,849,140,18,7,0,10381,0,10381,0,12983,12983,2602,10381,12983,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,15150,77,0,0,0,2766,0,1671,0,935,160,21,8,0,12278,0,12278,0,15150,15150,2872,12278,15150,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,17776,85,0,0,0,3087,0,1860,0,1037,190,25,10,0,14569,0,14569,0,17777,17777,3208,14569,17776,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,20365,91,0,0,0,3506,0,2073,0,1166,267,35,13,0,16720,0,16720,0,20366,20366,3646,16720,20365,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,23047,101,0,0,0,4008,0,2257,0,1349,402,52,20,0,18866,0,18866,0,23048,23048,4182,18866,23047,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,25881,119,0,0,0,4632,0,2498,0,1549,585,75,29,0,21026,0,21026,0,25882,25882,4856,21026,25881,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,28206,138,0,0,0,5331,0,2918,0,1712,701,105,41,0,22591,0,22591,0,28208,28208,5617,22591,28206,0
1952:Q1,28702,143,0,0,0,5572,0,3070,5,1751,746,113,44,0,22830,0,22830,0,28705,28705,5875,22830,28702,0
1952:Q2,29535,148,0,0,0,5749,0,3148,10,1794,797,122,47,0,23469,0,23469,0,29538,29538,6069,23469,29535,0
1952:Q3,30368,153,0,0,0,6089,0,3313,15,1838,923,131,49,0,23946,0,23946,0,30371,30371,6425,23946,30368,0
1952:Q4,31201,158,0,0,0,6287,0,3374,20,1883,1010,141,56,0,24559,0,24559,0,31204,31204,6645,24559,31201,0
1953:Q1,31986,164,0,0,0,6561,0,3465,22,1933,1141,152,59,0,25050,0,25050,0,31989,31989,6939,25050,31986,0
1953:Q2,32771,173,0,0,0,6932,0,3655,23,1986,1268,163,63,0,25440,0,25440,0,32774,32774,7334,25440,32771,0
1953:Q3,33557,182,0,0,0,7291,0,3830,24,2042,1395,175,68,0,25841,0,25841,0,33560,33560,7719,25841,33557,0
1953:Q4,34343,189,0,0,0,7514,0,3860,25,2103,1526,188,75,0,26377,0,26377,0,34346,34346,7969,26377,34343,0
1954:Q1,35319,193,0,0,0,7898,0,4043,28,2166,1661,202,82,0,26944,0,26944,0,35322,35322,8378,26944,35319,0
1954:Q2,36294,195,0,0,0,8305,0,4234,31,2232,1808,217,84,0,27493,0,27493,0,36297,36297,8804,27493,36294,0
1954:Q3,37269,195,0,0,0,8606,0,4310,34,2302,1960,233,89,0,28146,0,28146,0,37272,37272,9126,28146,37269,0
1954:Q4,38244,194,0,0,0,8912,0,4383,38,2376,2115,249,99,0,28790,0,28790,0,38248,38248,9458,28790,38244,0
1955:Q1,39331,191,0,0,0,9188,0,4438,43,2456,2251,266,113,0,29573,0,29573,0,39334,39334,9761,29573,39331,0
1955:Q2,40416,185,0,0,0,9459,0,4478,48,2542,2391,283,148,0,30341,0,30341,0,40419,40419,10078,30341,40416,0
1955:Q3,41501,179,0,0,0,9788,0,4566,53,2632,2537,301,180,0,31053,0,31053,0,41504,41504,10451,31053,41501,0
1955:Q4,42586,174,0,0,0,10139,0,4666,58,2723,2692,318,200,0,31755,0,31755,0,42590,42590,10835,31755,42586,0
1956:Q1,43858,175,0,0,0,10594,0,4879,60,2816,2839,336,217,0,32536,0,32536,0,43862,43862,11326,32536,43858,0
1956:Q2,45129,178,0,0,0,10840,0,4903,62,2911,2964,352,201,0,33558,0,33558,0,45133,45133,11575,33558,45129,0
1956:Q3,46400,183,0,0,0,11073,0,4929,64,3009,3071,371,189,0,34584,0,34584,0,46404,46404,11820,34584,46400,0
1956:Q4,47670,190,0,0,0,11286,0,4944,67,3110,3165,395,200,0,35599,0,35599,0,47675,47675,12076,35599,47670,0
1957:Q1,48929,200,0,0,0,11631,0,5061,74,3214,3282,425,215,0,36458,0,36458,0,48934,48934,12476,36458,48929,0
1957:Q2,50190,214,0,0,0,11974,0,5114,82,3322,3456,460,277,0,37265,0,37265,0,50194,50194,12929,37265,50190,0
1957:Q3,51450,228,0,0,0,12380,0,5147,89,3431,3713,499,294,0,38049,0,38049,0,51454,51454,13405,38049,51450,0
1957:Q4,52709,237,0,0,0,12718,0,5058,97,3539,4024,540,300,0,38914,0,38914,0,52714,52714,13800,38914,52709,0
1958:Q1,54272,242,0,0,0,13197,0,5104,102,3648,4343,584,320,0,39929,0,39929,0,54276,54276,14347,39929,54272,0
1958:Q2,55834,245,0,0,0,13439,0,4950,107,3760,4622,631,340,0,41179,0,41179,0,55838,55838,14659,41179,55834,0
1958:Q3,57396,245,0,0,0,13818,0,4960,112,3868,4878,681,365,0,42287,0,42287,0,57400,57400,15113,42287,57396,0
1958:Q4,58958,244,0,0,0,14227,0,5021,117,3963,5126,736,400,0,43351,0,43351,0,58962,58962,15611,43351,58958,0
1959:Q1,59400,241,0,0,0,14634,0,5102,124,4048,5360,792,415,0,43318,0,43318,0,59404,59404,16086,43318,59400,0
1959:Q2,59842,234,0,0,0,14953,0,5126,132,4124,5571,847,453,0,43355,0,43355,0,59846,59846,16491,43355,59842,0
1959:Q3,60282,227,0,0,0,15459,0,5350,139,4192,5778,911,460,0,43225,0,43225,0,60287,60287,17062,43225,60282,0
1959:Q4,60723,221,0,0,0,15845,0,5462,146,4251,5986,992,500,0,43165,0,43165,0,60728,60728,17563,43165,60723,0
1960:Q1,62603,223,0,0,0,16338,0,5663,159,4305,6211,1091,491,0,44460,0,44460,0,62608,62608,18148,44460,62603,0
1960:Q2,64484,229,0,0,0,16717,0,5724,171,4356,6466,1209,532,0,45797,0,45797,0,64489,64489,18692,45797,64484,0
1960:Q3,66365,236,0,0,0,16998,0,5653,184,4393,6768,1333,521,0,47277,0,47277,0,66370,66370,19093,47277,66365,0
1960:Q4,68245,243,0,0,0,17437,0,5711,196,4406,7124,1450,600,0,48515,0,48515,0,68250,68250,19735,48515,68245,0
1961:Q1,70220,251,0,0,0,17992,0,5855,214,4399,7524,1564,704,0,49709,0,49709,0,70224,70224,20515,49709,70220,0
1961:Q2,72194,260,0,0,0,18435,0,5872,233,4374,7956,1680,735,0,51084,0,51084,0,72198,72198,21114,51084,72194,0
1961:Q3,74168,269,0,0,0,18853,0,5865,252,4330,8406,1793,792,0,52461,0,52461,0,74172,74172,21711,52461,74168,0
1961:Q4,76141,277,0,0,0,19186,0,5800,271,4263,8852,1896,900,0,53882,0,53882,0,76146,76146,22264,53882,76141,0
1962:Q1,76076,285,0,0,0,19830,0,6025,325,4175,9305,1990,931,0,53040,0,53040,0,76081,76081,23041,53040,76076,0
1962:Q2,76011,294,0,0,0,20248,0,6075,343,4058,9772,2074,753,0,52642,0,52642,0,76016,76016,23374,52642,76011,0
1962:Q3,75947,302,0,0,0,20671,0,6125,380,3930,10236,2155,845,0,51974,0,51974,0,75952,75952,23978,51974,75947,0
1962:Q4,75883,307,0,0,0,20969,0,6100,395,3804,10670,2242,1000,0,51365,0,51365,0,75888,75888,24523,51365,75883,0
1963:Q1,77621,311,0,0,0,21386,0,6200,387,3682,11117,2331,1122,0,52471,0,52471,0,77625,77625,25154,52471,77621,0
1963:Q2,79358,313,0,0,0,22017,0,6475,381,3553,11608,2420,1249,0,53359,0,53359,0,79362,79362,26003,53359,79358,0
1963:Q3,81095,314,0,0,0,22492,0,6550,351,3426,12165,2512,1375,0,54402,0,54402,0,81099,81099,26697,54402,81095,0
1963:Q4,82831,313,0,0,0,22944,0,6510,347,3304,12783,2612,1500,0,55462,0,55462,0,82836,82836,27374,55462,82831,0
1964:Q1,84855,313,0,0,0,23660,0,6725,341,3194,13400,2716,1657,0,56509,0,56509,0,84860,84860,28351,56509,84855,0
1964:Q2,86878,313,0,0,0,24387,0,6975,375,3089,13948,2822,1782,0,57574,0,57574,0,86883,86883,29309,57574,86878,0
1964:Q3,88902,313,0,0,0,24881,0,7066,369,2991,14455,2937,1906,0,58865,0,58865,0,88907,88907,30042,58865,88902,0
1964:Q4,90925,311,0,0,0,25255,0,7030,381,2900,14944,3070,2000,0,60289,0,60289,0,90931,90931,30642,60289,90925,0
1965:Q1,93304,311,0,0,0,26054,0,7417,376,2820,15441,3221,2094,0,61624,0,61624,0,93309,93309,31685,61624,93304,0
1965:Q2,95683,311,0,0,0,26689,0,7590,381,2748,15970,3389,2074,0,63220,0,63220,0,95688,95688,32468,63220,95683,0
1965:Q3,98060,312,0,0,0,27096,0,7351,485,2684,16576,3567,2326,0,64759,0,64759,0,98066,98066,33307,64759,98060,0
1965:Q4,100438,317,0,0,0,27515,0,7153,492,2625,17245,3746,2500,0,66360,0,66360,0,100445,100445,34085,66360,100438,0
1966:Q1,103372,325,0,0,0,28357,0,7312,502,2579,17964,3936,2580,0,68174,0,68174,0,103378,103378,35204,68174,103372,0
1966:Q2,106306,335,0,0,0,28941,0,7046,622,2543,18730,4143,2633,0,70254,0,70254,0,106312,106312,36058,70254,106306,0
1966:Q3,109238,349,0,0,0,29837,0,7166,671,2513,19487,4344,2527,0,72181,0,72181,0,109245,109245,37064,72181,109238,0
1966:Q4,112171,368,0,0,0,30432,0,7115,652,2481,20184,4516,2800,0,74055,0,74055,0,112179,112179,38124,74055,112171,0
1967:Q1,115027,407,0,0,0,30920,0,6800,669,2461,20990,4681,3292,0,75727,0,75727,0,115035,115035,39308,75727,115027,0
1967:Q2,117882,415,17,0,0,31595,0,6646,744,2442,21763,4847,3420,0,77588,0,77588,0,117891,117891,40303,77588,117882,0
1967:Q3,120739,381,69,0,0,32328,0,6308,759,2424,22837,4925,3740,0,79296,0,79296,0,120748,120748,41452,79296,120739,0
1967:Q4,123594,303,161,0,0,33277,0,6165,785,2406,23921,5003,3900,0,80950,0,80950,0,123604,123604,42654,80950,123594,0
1968:Q1,128552,365,108,0,0,33818,0,6219,758,2437,24404,5148,3847,0,85266,0,85266,0,128562,128562,43296,85266,128552,0
1968:Q2,133509,403,75,0,0,34599,0,6120,1028,2372,25079,5269,4696,0,88467,0,88467,0,133519,133519,45052,88467,133509,0
1968:Q3,138467,429,146,0,0,35358,0,6023,1138,2384,25813,5275,5232,0,92027,0,92027,0,138477,138477,46450,92027,138467,0
1968:Q4,143424,377,230,0,0,36278,0,5921,1410,2382,26565,5362,5800,0,95377,0,95377,0,143435,143435,48058,95377,143424,0
1969:Q1,148817,497,52,0,0,37074,0,5850,1437,2386,27401,5426,6091,0,99677,0,99677,0,148828,148828,49151,99677,148817,0
1969:Q2,154210,315,143,0,0,38022,0,5815,1465,2368,28374,5475,6458,0,103797,0,103797,0,154221,154221,50424,103797,154210,0
1969:Q3,159603,329,211,0,0,39122,0,5696,1552,2348,29526,5550,6699,0,107692,0,107692,0,159614,159614,51922,107692,159603,0
1969:Q4,164994,309,170,0,0,39893,0,5437,1566,2331,30559,5575,7300,0,111747,0,111747,0,165007,165007,53260,111747,164994,0
1970:Q1,169835,236,138,0,0,40853,0,5335,1592,2308,31618,5650,7750,0,115208,0,115208,0,169848,169848,54640,115208,169835,0
1970:Q2,174676,306,209,0,0,41683,0,5179,1609,2159,32736,5808,6754,0,119916,0,119916,0,174689,174689,54773,119916,174676,0
